index,cardinality,distortion
0,447,0.210914
1,617,0.169023
2,534,0.159197
3,493,0.161856
4,549,0.189280
5,624,0.203566
6,1484,0.141207
7,810,0.177830
8,693,0.178281
9,390,0.215872
10,237,0.229565
11,273,0.223457
12,476,0.197227
13,359,0.208016
14,327,0.242238
15,272,0.235523
16,563,0.222155
17,310,0.240107
18,368,0.222814
19,290,0.221544
20,608,0.193748
21,328,0.215504
22,460,0.199434
23,351,0.213748
24,582,0.214784
25,343,0.236123
26,597,0.205546
27,441,0.257806
28,988,0.187467
29,326,0.294234
30,503,0.280380
31,385,0.290640
32,488,0.174416
33,361,0.265822
34,265,0.253659
35,580,0.169997
36,363,0.227860
37,336,0.201702
38,230,0.344082
39,198,0.322053
40,441,0.314085
41,773,0.234835
42,543,0.273315
43,593,0.208568
44,444,0.179735
45,786,0.151534
46,634,0.188938
47,856,0.137663
48,227,0.284762
49,150,0.225121
50,249,0.235093
51,207,0.242563
52,486,0.221138
53,262,0.236742
54,548,0.196772
55,222,0.249330
56,1556,0.125842
57,1704,0.135190
58,1276,0.158487
59,1075,0.156990
60,942,0.173668
61,1057,0.159964
62,2131,0.123228
63,1784,0.121114
