codeword,minDistortion
53,0.085270
53,0.075544
49,0.132818
55,0.104545
53,0.110145
54,0.111419
54,0.072619
54,0.089643
54,0.077299
54,0.059091
54,0.089148
2,0.101989
54,0.094498
49,0.108934
2,0.109311
2,0.101199
2,0.093089
2,0.135407
2,0.093275
24,0.127314
3,0.091388
3,0.107278
20,0.109473
20,0.097847
22,0.147246
24,0.178125
24,0.103650
24,0.096131
24,0.157288
24,0.132108
25,0.086500
29,0.129200
25,0.126198
25,0.129728
25,0.089948
25,0.144101
28,0.105670
28,0.124806
29,0.168850
29,0.115524
28,0.136815
30,0.110523
54,0.100058
48,0.094028
31,0.134790
31,0.101159
31,0.152978
39,0.180183
39,0.231230
39,0.238668
39,0.158795
39,0.088379
39,0.125576
39,0.143610
39,0.127050
39,0.103574
39,0.156788
50,0.123703
50,0.138105
50,0.159998
50,0.162912
50,0.114164
50,0.159770
50,0.141225
50,0.191567
50,0.136168
50,0.184819
50,0.107285
50,0.143494
50,0.147859
48,0.126444
50,0.141482
51,0.101158
48,0.090745
54,0.096325
54,0.065827
54,0.106705
53,0.092112
54,0.064516
54,0.095943
54,0.081679
54,0.064448
54,0.131725
54,0.113374
54,0.081386
367,0.060318
367,0.083773
510,0.100443
511,0.141989
283,0.097562
281,0.141485
282,0.215916
282,0.207708
282,0.157944
288,0.140733
288,0.184903
277,0.175159
279,0.224726
437,0.237148
74,0.183361
75,0.224427
75,0.156465
465,0.136866
403,0.168462
402,0.092819
402,0.154505
401,0.164907
401,0.141698
412,0.156506
401,0.158438
415,0.121816
439,0.156566
439,0.153617
439,0.103978
439,0.108944
436,0.086788
75,0.090708
75,0.140061
75,0.072414
75,0.083740
74,0.154663
73,0.134133
83,0.251036
85,0.192209
85,0.130863
85,0.123835
93,0.082511
93,0.118795
116,0.132540
116,0.082483
121,0.144598
146,0.148339
169,0.167418
179,0.155739
179,0.125348
179,0.136627
179,0.090959
179,0.104050
179,0.157304
179,0.091468
175,0.094116
175,0.096062
180,0.091411
180,0.136570
175,0.136883
174,0.143472
179,0.127452
179,0.113190
179,0.097338
179,0.074232
179,0.093097
179,0.104444
179,0.103132
179,0.073775
179,0.207832
486,0.168193
486,0.128221
486,0.187557
194,0.220566
188,0.244014
201,0.156352
216,0.393096
250,0.260573
251,0.237988
251,0.195932
251,0.172006
251,0.191047
251,0.213267
251,0.252351
303,0.162443
469,0.089135
469,0.107586
506,0.113546
302,0.098564
470,0.097787
471,0.181767
470,0.084024
471,0.158076
471,0.114206
70,0.084682
471,0.119198
70,0.101459
471,0.077808
470,0.114339
69,0.068952
69,0.087702
70,0.110833
70,0.115153
71,0.074028
71,0.075967
71,0.108754
475,0.066036
492,0.062623
509,0.096212
509,0.083839
509,0.127775
508,0.081333
502,0.106897
487,0.094861
493,0.117220
479,0.079100
487,0.088412
487,0.091684
479,0.106086
358,0.114020
463,0.117329
494,0.149835
487,0.124443
463,0.119139
509,0.067909
509,0.095478
367,0.099152
507,0.115514
509,0.090239
511,0.060634
509,0.092299
509,0.146961
509,0.106691
54,0.071900
51,0.110371
54,0.087007
54,0.095602
54,0.099031
54,0.142733
54,0.086867
54,0.095115
54,0.092188
26,0.136768
26,0.150141
1,0.160650
2,0.087196
2,0.061270
3,0.104076
20,0.120034
20,0.087832
22,0.122320
26,0.080746
26,0.090822
26,0.136295
26,0.088460
26,0.143184
26,0.103599
26,0.087035
26,0.107327
26,0.081350
26,0.123190
26,0.108655
26,0.131550
26,0.121836
26,0.062625
26,0.113426
26,0.115511
26,0.146902
26,0.139612
30,0.173161
26,0.108098
26,0.108321
26,0.092218
25,0.149148
54,0.107523
53,0.105273
54,0.119745
54,0.112529
49,0.113622
49,0.095312
49,0.098469
49,0.126769
49,0.161379
49,0.113570
49,0.075933
49,0.127822
49,0.147162
49,0.150374
49,0.175444
49,0.113835
49,0.119317
49,0.132612
49,0.109187
48,0.086417
50,0.074513
48,0.104134
48,0.084040
48,0.103131
51,0.097053
50,0.085323
48,0.138757
48,0.118625
48,0.156519
51,0.114526
50,0.102779
51,0.070672
48,0.089872
48,0.094080
50,0.094928
51,0.107638
48,0.081924
51,0.133895
48,0.090570
48,0.147275
49,0.135539
54,0.102780
54,0.105205
54,0.095136
54,0.056018
54,0.119651
49,0.068404
24,0.126474
53,0.083901
53,0.071146
54,0.088154
54,0.105446
449,0.105753
53,0.076828
54,0.065677
53,0.086871
53,0.137745
265,0.190418
265,0.139970
0,0.141872
0,0.122791
0,0.176260
0,0.107822
2,0.102286
2,0.128998
20,0.132323
20,0.107146
20,0.049489
21,0.085705
21,0.080207
21,0.077984
21,0.094964
20,0.106726
20,0.108087
21,0.077342
21,0.042387
20,0.104425
20,0.111101
20,0.090907
21,0.096331
24,0.074846
21,0.099001
21,0.096584
21,0.116060
21,0.114720
20,0.105680
20,0.093733
20,0.127619
20,0.111862
21,0.103964
21,0.121436
21,0.081473
21,0.125772
24,0.094679
20,0.094600
21,0.089984
24,0.116101
21,0.093022
24,0.096651
24,0.073990
21,0.109415
21,0.087325
24,0.083883
24,0.105819
24,0.115996
24,0.079226
24,0.071704
24,0.104496
24,0.064678
24,0.116110
24,0.088554
24,0.137341
25,0.109804
25,0.058167
25,0.066467
25,0.119207
25,0.117060
25,0.103213
25,0.074521
25,0.099534
24,0.066280
25,0.078599
28,0.084377
28,0.143746
28,0.079308
28,0.089669
24,0.094651
48,0.095047
48,0.107518
51,0.091583
48,0.090053
48,0.088162
48,0.083970
54,0.084143
50,0.088445
54,0.064152
51,0.085656
51,0.082561
51,0.085297
48,0.098346
51,0.108826
51,0.081206
48,0.076771
49,0.103248
51,0.111684
48,0.095128
48,0.112197
54,0.087698
54,0.082672
54,0.074617
54,0.139310
54,0.183538
53,0.089284
53,0.110046
53,0.087800
53,0.096626
52,0.114922
265,0.059422
265,0.092397
257,0.102842
264,0.097793
265,0.104911
265,0.117436
266,0.105115
267,0.080197
0,0.060665
0,0.139945
20,0.119740
24,0.110858
25,0.062727
25,0.088335
25,0.073895
24,0.099792
24,0.112204
20,0.127728
20,0.096896
20,0.117590
24,0.113741
24,0.115229
24,0.057406
24,0.050443
24,0.079454
24,0.087371
25,0.126133
25,0.088875
25,0.069410
25,0.147343
25,0.169214
26,0.140933
28,0.115017
31,0.128043
39,0.102931
49,0.077345
50,0.120721
48,0.091248
48,0.080445
48,0.126533
50,0.111428
50,0.135036
448,0.173198
54,0.076069
49,0.079371
49,0.089625
50,0.174121
49,0.101267
48,0.099592
48,0.086752
48,0.089874
48,0.078886
48,0.126900
48,0.094884
48,0.084905
50,0.115116
50,0.100154
51,0.091414
51,0.093653
48,0.128322
54,0.139964
54,0.103364
24,0.128262
53,0.078985
53,0.062007
53,0.068123
53,0.113633
471,0.107491
470,0.102268
509,0.119240
302,0.087730
511,0.065641
379,0.082685
365,0.146747
365,0.101271
365,0.108975
365,0.088020
365,0.088245
500,0.110395
459,0.163541
368,0.265960
378,0.183635
347,0.113062
346,0.163144
346,0.133427
346,0.156417
346,0.162885
346,0.237477
346,0.280201
325,0.230629
290,0.216495
344,0.117315
325,0.129773
325,0.097822
325,0.199735
325,0.145103
280,0.246826
261,0.269034
270,0.231946
308,0.260701
308,0.139353
308,0.240274
316,0.121083
392,0.177058
408,0.186916
424,0.181848
425,0.120788
428,0.117902
428,0.088187
428,0.098822
428,0.131351
425,0.143698
424,0.155813
424,0.081283
424,0.106523
425,0.125260
428,0.180247
442,0.146710
442,0.203046
75,0.153117
78,0.219464
80,0.136186
84,0.141022
84,0.108978
115,0.266374
129,0.309698
129,0.151788
151,0.103348
151,0.119755
158,0.106976
157,0.086687
157,0.151242
151,0.116840
151,0.142704
151,0.120941
151,0.109885
151,0.114372
151,0.100469
159,0.142874
179,0.115309
195,0.170402
199,0.164179
199,0.136710
494,0.132857
494,0.121076
199,0.103377
199,0.102791
508,0.101067
508,0.082117
491,0.116559
199,0.145367
491,0.096773
381,0.143815
380,0.129311
381,0.094355
383,0.100538
381,0.102962
230,0.129325
286,0.122147
302,0.102587
286,0.127025
301,0.115456
303,0.089667
303,0.109908
303,0.123015
469,0.104403
