index,cardinality,distortion
0,0,NaN
1,0,NaN
2,0,NaN
3,0,NaN
4,0,NaN
5,0,NaN
6,0,NaN
7,0,NaN
8,0,NaN
9,0,NaN
10,0,NaN
11,0,NaN
12,0,NaN
13,0,NaN
14,0,NaN
15,0,NaN
16,0,NaN
17,0,NaN
18,0,NaN
19,0,NaN
20,0,NaN
21,0,NaN
22,0,NaN
23,0,NaN
24,0,NaN
25,0,NaN
26,0,NaN
27,0,NaN
28,0,NaN
29,0,NaN
30,0,NaN
31,0,NaN
32,0,NaN
33,0,NaN
34,0,NaN
35,0,NaN
36,0,NaN
37,0,NaN
38,0,NaN
39,0,NaN
40,0,NaN
41,0,NaN
42,0,NaN
43,0,NaN
44,0,NaN
45,0,NaN
46,0,NaN
47,0,NaN
48,0,NaN
49,0,NaN
50,0,NaN
51,0,NaN
52,0,NaN
53,0,NaN
54,0,NaN
55,0,NaN
56,0,NaN
57,0,NaN
58,0,NaN
59,0,NaN
60,0,NaN
61,0,NaN
62,0,NaN
63,0,NaN
64,0,NaN
65,0,NaN
66,0,NaN
67,0,NaN
68,0,NaN
69,0,NaN
70,0,NaN
71,0,NaN
72,0,NaN
73,0,NaN
74,0,NaN
75,0,NaN
76,0,NaN
77,0,NaN
78,0,NaN
79,0,NaN
80,0,NaN
81,0,NaN
82,0,NaN
83,0,NaN
84,0,NaN
85,0,NaN
86,0,NaN
87,0,NaN
88,0,NaN
89,0,NaN
90,0,NaN
91,0,NaN
92,0,NaN
93,0,NaN
94,0,NaN
95,0,NaN
96,0,NaN
97,0,NaN
98,0,NaN
99,0,NaN
100,0,NaN
101,0,NaN
102,0,NaN
103,0,NaN
104,0,NaN
105,0,NaN
106,0,NaN
107,0,NaN
108,0,NaN
109,0,NaN
110,0,NaN
111,0,NaN
112,0,NaN
113,0,NaN
114,0,NaN
115,0,NaN
116,0,NaN
117,0,NaN
118,0,NaN
119,0,NaN
120,0,NaN
121,0,NaN
122,0,NaN
123,0,NaN
124,0,NaN
125,0,NaN
126,0,NaN
127,0,NaN
128,3,0.079744
129,1,-0.000000
130,8,0.075853
131,4,0.060703
132,7,0.084588
133,6,0.053878
134,3,0.042415
135,4,0.066581
136,42,0.101807
137,40,0.097136
138,36,0.091926
139,23,0.082623
140,16,0.093437
141,19,0.109944
142,33,0.088507
143,42,0.095180
144,8,0.084185
145,17,0.085320
146,16,0.075000
147,20,0.084587
148,11,0.076401
149,17,0.100273
150,8,0.067088
151,18,0.081655
152,12,0.093383
153,20,0.084840
154,15,0.075563
155,9,0.062003
156,2,0.027145
157,2,0.027277
158,3,0.045160
159,1,0.000000
160,5,0.075045
161,8,0.080328
162,7,0.091119
163,3,0.050955
164,14,0.087997
165,13,0.072072
166,16,0.087993
167,11,0.074012
168,5,0.081965
169,3,0.040700
170,3,0.041606
171,3,0.039163
172,2,0.028222
173,2,0.032743
174,1,0.000000
175,3,0.039323
176,6,0.095733
177,10,0.071192
178,14,0.074294
179,11,0.078085
180,10,0.078038
181,8,0.088476
182,9,0.089584
183,9,0.071998
184,12,0.095017
185,12,0.083184
186,19,0.088800
187,26,0.093324
188,6,0.076900
189,5,0.058987
190,5,0.069031
191,5,0.046597
192,1,-0.000000
193,1,0.000000
194,5,0.073746
195,5,0.071282
196,4,0.053893
197,8,0.082327
198,4,0.057768
199,5,0.063614
200,2,0.028381
201,3,0.050926
202,10,0.073907
203,7,0.059420
204,5,0.073585
205,8,0.088623
206,8,0.073756
207,5,0.075273
208,8,0.091747
209,8,0.078386
210,5,0.052086
211,5,0.046622
212,20,0.083806
213,20,0.093665
214,12,0.079099
215,16,0.084761
216,16,0.077128
217,15,0.071278
218,24,0.081772
219,13,0.084388
220,11,0.080240
221,17,0.079609
222,24,0.094185
223,29,0.088137
224,6,0.089065
225,14,0.089779
226,14,0.088421
227,6,0.075181
228,3,0.060864
229,5,0.066710
230,9,0.079657
231,9,0.092092
232,14,0.087953
233,18,0.088463
234,18,0.080245
235,10,0.083235
236,8,0.059578
237,8,0.059515
238,6,0.060160
239,4,0.046470
240,1,0.000000
241,0,NaN
242,2,0.038517
243,1,-0.000000
244,1,0.000000
245,0,NaN
246,1,0.000000
247,1,-0.000000
248,8,0.073783
249,6,0.059252
250,10,0.087297
251,5,0.066448
252,3,0.028037
253,1,0.000000
254,2,0.024866
255,2,0.035577
