codeword,minDistortion
195,0.067124
195,0.050775
196,0.062547
197,0.083282
195,0.066771
196,0.046167
196,0.054299
197,0.101657
199,0.090414
196,0.052558
193,0.000000
194,0.068837
195,0.081203
194,0.071360
194,0.058158
192,-0.000000
200,0.027524
197,0.096416
204,0.082957
204,0.051299
201,0.063444
204,0.051920
204,0.066804
202,0.105327
203,0.062172
202,0.049235
202,0.056357
202,0.044823
202,0.070459
203,0.059309
207,0.092092
205,0.083767
203,0.051712
207,0.096090
203,0.069458
203,0.069680
205,0.095567
205,0.078517
205,0.080499
207,0.053182
207,0.048839
203,0.047351
200,0.029238
202,0.069656
202,0.083177
202,0.079197
206,0.058642
206,0.054207
204,0.114945
205,0.077076
206,0.069008
203,0.056256
201,0.045722
201,0.043612
205,0.080292
205,0.108908
205,0.104359
202,0.104892
202,0.075944
206,0.058959
207,0.086163
206,0.065774
194,0.066099
206,0.044115
206,0.101569
206,0.137774
197,0.055060
198,0.056164
199,0.067883
198,0.052061
199,0.055450
199,0.062609
197,0.075882
197,0.077654
198,0.070082
195,0.090539
194,0.104276
199,0.041713
198,0.052766
197,0.103097
197,0.065564
137,0.087077
136,0.081514
137,0.113177
137,0.140882
137,0.104574
137,0.084710
136,0.107120
136,0.065419
136,0.084143
136,0.076376
136,0.047567
136,0.108073
137,0.075920
137,0.061477
137,0.089154
136,0.097940
136,0.122660
136,0.216103
136,0.133494
136,0.098720
136,0.091580
136,0.080193
136,0.100651
136,0.136315
137,0.079757
137,0.103091
136,0.076476
136,0.104678
136,0.073353
136,0.120606
136,0.125150
136,0.096110
186,0.105637
166,0.082578
166,0.064657
166,0.127081
166,0.079059
166,0.057745
166,0.088491
166,0.101429
166,0.064925
166,0.063285
167,0.075870
167,0.101657
166,0.092756
166,0.104845
167,0.074865
167,0.070536
167,0.043703
163,0.047429
163,0.035347
167,0.084774
168,0.086758
168,0.091850
166,0.143562
164,0.118692
166,0.091713
167,0.067966
165,0.054612
165,0.085722
167,0.065664
167,0.059266
165,0.051822
165,0.052909
165,0.083764
165,0.061383
165,0.062065
164,0.148904
164,0.106513
164,0.039817
164,0.105888
164,0.069516
164,0.065315
164,0.057793
162,0.066306
164,0.073861
162,0.076954
162,0.060648
164,0.079557
160,0.060379
160,0.068715
163,0.070090
162,0.078837
162,0.105174
162,0.065424
160,0.072905
160,0.076484
164,0.057889
164,0.098094
164,0.118317
165,0.105318
165,0.071375
165,0.085043
165,0.078714
165,0.060595
165,0.083611
164,0.091794
166,0.064991
166,0.099713
166,0.081050
167,0.087047
167,0.082789
161,0.109528
161,0.045529
161,0.050540
161,0.056855
161,0.073684
161,0.074599
161,0.083681
136,0.091788
137,0.093493
137,0.072272
137,0.068294
136,0.127390
137,0.097372
137,0.112279
136,0.111935
137,0.152353
137,0.142427
137,0.140700
137,0.076384
137,0.069036
137,0.054107
136,0.083873
137,0.089324
137,0.062146
137,0.105867
137,0.088096
137,0.127530
137,0.088593
137,0.081559
136,0.093178
137,0.102451
136,0.106164
137,0.111905
161,0.148212
136,0.126238
136,0.121771
137,0.080029
137,0.126434
136,0.083006
136,0.107495
137,0.089695
137,0.086807
136,0.127365
137,0.115816
136,0.077306
137,0.137191
222,0.105678
136,0.042190
137,0.064809
137,0.095874
138,0.114445
138,0.077295
136,0.088453
136,0.085293
141,0.074790
141,0.085257
141,0.126533
141,0.082603
143,0.078269
143,0.079589
157,0.029516
157,0.025038
156,0.031237
156,0.023053
158,0.044606
158,0.039944
158,0.050930
159,0.000000
176,0.085435
176,0.168202
141,0.198780
141,0.184208
141,0.140990
141,0.089093
138,0.103757
143,0.078206
141,0.098438
141,0.107245
142,0.130473
140,0.163390
242,0.038425
242,0.038610
240,0.000000
243,-0.000000
244,0.000000
246,0.000000
247,-0.000000
248,0.123653
248,0.105337
250,0.106936
250,0.075731
250,0.113912
251,0.038730
251,0.084135
250,0.087235
250,0.058622
250,0.077935
250,0.066139
250,0.098681
251,0.054575
251,0.075351
249,0.068542
249,0.037996
249,0.064815
249,0.059007
248,0.064125
248,0.068441
248,0.047168
248,0.053182
248,0.049050
248,0.079309
249,0.063099
249,0.062050
250,0.108682
250,0.079095
251,0.079451
252,0.038371
252,0.015146
252,0.030595
253,0.000000
254,0.026848
254,0.022883
255,0.033028
255,0.038126
128,0.054202
128,0.060014
129,-0.000000
128,0.125017
140,0.108049
142,0.069174
143,0.069414
143,0.129110
142,0.110632
142,0.103079
138,0.126634
151,0.145529
138,0.101847
138,0.080386
138,0.094758
138,0.116395
138,0.098560
138,0.086003
140,0.108147
140,0.078742
140,0.072421
140,0.086873
140,0.063433
140,0.077944
140,0.100396
140,0.094926
140,0.061949
140,0.101250
140,0.081899
139,0.082160
187,0.122413
186,0.062919
139,0.076575
139,0.094560
191,0.046134
191,0.032573
191,0.023934
191,0.058423
190,0.053862
190,0.056964
139,0.093377
139,0.067134
139,0.070723
139,0.050053
139,0.051681
139,0.075344
139,0.080685
138,0.070090
142,0.065325
142,0.098053
142,0.076364
140,0.123273
139,0.123246
139,0.083276
139,0.078113
139,0.106967
138,0.064873
138,0.112702
139,0.071014
139,0.089189
190,0.059964
138,0.086598
138,0.095035
191,0.071922
138,0.120859
142,0.070755
142,0.074790
138,0.094292
142,0.081108
138,0.068892
142,0.089703
139,0.091029
139,0.065207
139,0.127240
139,0.082456
139,0.063822
139,0.098857
138,0.080198
153,0.097158
138,0.080760
138,0.058197
138,0.084117
138,0.151051
130,0.098658
138,0.095017
138,0.086138
138,0.108368
138,0.085941
138,0.076625
138,0.088669
138,0.111037
141,0.112914
141,0.083597
138,0.106974
138,0.062243
138,0.063170
138,0.099157
142,0.126081
142,0.107151
142,0.083298
142,0.073448
142,0.068794
138,0.071803
139,0.077621
142,0.075555
142,0.079776
142,0.094761
222,0.099716
222,0.095389
222,0.138243
223,0.074771
136,0.102680
136,0.075067
136,0.082722
221,0.117774
221,0.067975
221,0.077353
136,0.173347
220,0.099321
220,0.070444
220,0.044467
220,0.076213
220,0.104323
221,0.077971
221,0.064379
220,0.070445
221,0.075944
221,0.044265
221,0.047137
221,0.117634
221,0.068079
221,0.087115
221,0.074737
221,0.084495
221,0.079521
221,0.105919
221,0.052290
221,0.110768
220,0.069685
220,0.071618
220,0.072910
137,0.074826
222,0.084358
222,0.089409
223,0.063230
223,0.070258
223,0.081392
222,0.074987
218,0.088603
218,0.063837
218,0.092443
218,0.097240
218,0.077011
218,0.079693
218,0.078790
218,0.115495
218,0.124234
218,0.076808
218,0.067786
218,0.081453
218,0.057763
219,0.056996
218,0.091204
216,0.070019
216,0.087603
218,0.045368
217,0.065757
217,0.071082
217,0.081286
218,0.123561
218,0.057021
218,0.051938
218,0.114224
219,0.090932
217,0.080228
218,0.100935
217,0.051527
216,0.071782
216,0.056598
216,0.054338
216,0.080282
216,0.063670
218,0.070936
217,0.064193
219,0.056953
219,0.075051
218,0.061732
217,0.054427
217,0.068420
216,0.075899
216,0.070206
216,0.085431
216,0.086846
217,0.085694
216,0.081972
216,0.116844
216,0.086002
217,0.083603
217,0.088256
219,0.130837
217,0.057520
216,0.073345
216,0.073217
217,0.102134
217,0.059715
