codeword,minDistortion
0,0.397363
0,0.473840
0,0.695435
0,0.434168
0,0.512855
0,0.427200
0,0.412925
0,0.460214
0,0.383707
0,0.508243
0,0.634772
0,0.539604
0,0.542864
0,0.571801
0,0.778337
0,0.532507
0,0.334027
0,0.560760
0,0.889520
0,1.112198
0,0.728222
0,0.619726
0,0.540200
0,0.583152
0,0.423843
0,0.554653
0,0.490228
0,0.441970
0,0.438557
0,0.424466
0,0.453525
0,0.432887
0,0.448858
0,0.587557
0,0.581335
0,0.675135
0,0.743800
0,0.782643
0,0.687646
0,0.763187
0,1.048978
0,1.346481
0,0.908817
0,1.056752
0,1.572088
0,1.305137
0,1.217381
0,0.718266
0,0.734656
0,0.681469
0,1.071243
0,0.819939
0,0.704048
0,0.604392
0,0.659525
0,0.845665
0,0.743483
0,0.623881
0,0.419949
0,0.320043
0,0.389389
0,0.516704
0,0.584160
0,0.577033
0,0.402990
0,0.535331
0,0.520943
0,0.446829
0,0.336785
0,0.447334
0,0.659151
0,0.476701
0,0.407393
0,0.499393
0,0.759061
0,0.534832
0,0.337732
0,0.462747
0,0.422288
0,0.466808
0,0.369779
0,0.471022
0,0.407563
0,0.512784
0,0.401321
0,0.324324
0,0.360595
0,0.397513
0,0.385509
0,0.386392
0,0.815938
0,0.645645
0,0.555641
0,0.742659
0,0.958597
0,0.741480
0,0.740360
0,0.614724
0,0.737705
0,0.734553
0,0.636710
0,0.646413
0,0.643264
0,0.458204
0,0.630462
0,0.928414
0,0.666460
0,0.551214
0,0.660903
0,0.822636
0,0.792258
0,0.712483
0,0.682942
0,0.573761
0,0.471985
0,0.534380
0,0.515666
0,0.694252
0,0.625270
0,0.543656
0,0.813888
0,0.939143
0,1.059028
0,0.965591
0,1.220245
0,0.567914
0,0.302462
0,0.490834
0,0.510993
0,0.504991
0,0.313665
0,0.335265
0,0.320861
0,0.347200
0,0.490766
0,0.742914
0,0.950396
0,0.772031
0,0.689807
0,0.763057
0,0.798429
0,0.829007
0,1.018706
0,1.044673
0,0.869299
0,0.551561
0,0.544433
0,0.614467
0,0.664257
0,0.442022
0,0.254163
0,0.289883
0,0.307702
0,0.479394
0,0.568544
0,0.597094
0,0.522705
0,0.519224
0,0.561875
0,0.550557
0,0.432209
0,0.514681
0,0.472876
0,0.438284
0,0.550588
0,0.459856
0,0.647859
0,0.552560
0,0.433720
0,0.527461
0,0.331850
0,0.501656
0,0.443769
0,0.434803
0,0.448129
0,0.566521
0,0.453288
0,0.478237
0,0.451384
0,0.330430
0,0.368214
0,0.440227
0,0.411080
0,0.413722
0,0.472105
0,0.410863
0,0.407325
0,0.513477
0,0.397192
0,0.378955
0,0.328487
0,0.314704
0,0.391027
0,0.480707
0,0.546960
0,0.720347
0,0.583115
0,0.532636
0,0.475526
0,0.550414
0,0.694953
0,0.580694
0,0.632418
0,0.769339
0,0.687470
0,0.799954
0,0.970813
0,0.957256
0,0.761818
0,1.142140
0,0.985410
0,0.762671
0,0.938283
0,0.664445
0,0.848294
0,0.683603
0,0.787722
0,1.051014
0,1.073587
1,1.162087
0,1.295050
0,0.860232
0,0.927891
0,0.884263
0,1.052134
0,0.510078
0,0.518401
0,0.513524
0,0.525005
0,0.654592
0,0.498753
0,0.541954
0,0.504801
0,0.416491
0,0.570933
0,0.465808
0,0.711097
0,0.880634
0,0.526679
0,0.527624
0,0.548183
0,0.640629
0,0.590934
0,0.524361
0,0.461881
0,0.466418
0,0.605831
0,0.511626
0,0.743646
0,0.619196
0,0.625587
0,0.637141
0,0.634183
0,0.688177
0,0.463696
0,0.495085
0,0.508712
0,0.691286
0,0.635700
0,0.409597
0,0.435666
0,0.356411
0,0.746421
0,0.601228
0,0.561617
0,0.427161
0,0.437375
0,0.490180
0,0.456434
0,0.377121
0,0.531463
0,0.543455
0,0.392504
0,0.473905
0,0.390973
0,0.391028
0,0.406628
0,0.444802
0,0.502188
0,0.304004
0,0.426545
0,0.511978
0,0.413319
0,0.509696
0,0.484187
0,0.365760
0,0.415609
0,0.524282
0,0.392700
0,0.510473
0,0.420462
0,0.440400
0,0.567900
0,0.430019
0,0.367269
0,0.503063
0,0.473300
0,0.365550
0,0.305493
0,0.446341
0,0.498537
0,0.549714
0,0.513094
0,0.425695
0,0.410664
0,0.453458
0,0.512931
0,0.474187
0,0.400448
0,0.395494
0,0.516914
0,0.542618
0,0.424412
0,0.403754
0,0.348742
0,0.493622
0,0.482753
0,0.453413
0,0.512213
0,0.424545
0,0.483876
0,0.407001
0,0.459236
0,0.587478
0,0.351188
0,0.441205
0,0.517065
0,0.623144
0,0.289495
0,0.264601
0,0.266333
1,0.367169
0,0.275898
0,0.233624
0,0.212390
0,0.223614
0,0.272708
0,0.218745
0,0.286711
0,0.245034
0,0.232445
0,0.307921
0,0.389340
0,0.344865
0,0.318578
0,0.333223
0,0.361900
0,0.384577
0,0.350970
0,0.357032
1,0.338148
1,0.511923
0,0.391298
1,0.377938
1,0.591114
1,0.576414
1,0.587852
1,0.467550
1,0.436385
1,0.433124
1,0.492878
1,0.511943
0,0.331767
0,0.353357
0,0.383561
1,0.369650
1,0.356100
1,0.380229
1,0.348428
0,0.396474
0,0.272549
0,0.287034
0,0.272674
0,0.428520
0,0.505158
0,0.460644
0,0.383460
0,0.261922
0,0.352124
0,0.301971
0,0.278684
0,0.278772
0,0.274461
0,0.342622
0,0.255061
0,0.284048
0,0.324157
0,0.348912
0,0.329259
0,0.314148
0,0.241790
0,0.240212
0,0.267487
1,0.315648
1,0.335849
0,0.328849
0,0.367079
1,0.325502
0,0.292246
0,0.399652
1,0.346764
1,0.500689
0,0.441678
0,0.485755
0,0.345491
0,0.392948
0,0.404738
0,0.372380
0,0.291521
0,0.262925
0,0.281626
0,0.340548
1,0.560641
1,0.412776
