index,cardinality,distortion
0,69,0.107311
1,72,0.099966
2,26,0.101465
3,32,0.118093
4,8,0.104786
5,16,0.106913
6,39,0.102204
7,45,0.120768
8,23,0.126156
9,20,0.123120
10,28,0.140344
11,17,0.099316
12,13,0.094347
13,14,0.125494
14,11,0.085289
15,8,0.139198
16,30,0.106721
17,23,0.111495
18,20,0.130519
19,18,0.122222
20,82,0.102799
21,44,0.106278
22,57,0.104971
23,87,0.097004
24,16,0.108407
25,11,0.142473
26,17,0.127202
27,13,0.084866
28,23,0.113614
29,25,0.109321
30,11,0.097720
31,11,0.103881
32,11,0.126579
33,7,0.092676
34,9,0.114502
35,15,0.084960
36,17,0.092327
37,9,0.087869
38,12,0.136671
39,22,0.118366
40,13,0.142469
41,14,0.137826
42,10,0.133066
43,27,0.125457
44,12,0.127174
45,6,0.162617
46,3,0.098635
47,3,0.091919
48,9,0.129285
49,6,0.088376
50,16,0.101436
51,17,0.118442
52,11,0.156724
53,8,0.138604
54,8,0.146047
55,9,0.125146
56,7,0.123420
57,6,0.103139
58,7,0.148347
59,10,0.146183
60,11,0.164930
61,12,0.143127
62,11,0.109931
63,7,0.149209
64,16,0.131048
65,45,0.109191
66,10,0.122529
67,17,0.107707
68,13,0.140754
69,11,0.111955
70,10,0.164042
71,10,0.106949
72,11,0.111257
73,21,0.116502
74,10,0.119661
75,20,0.112968
76,6,0.102669
77,16,0.108777
78,7,0.132870
79,9,0.146330
80,30,0.133161
81,4,0.061135
82,28,0.120309
83,9,0.161286
84,21,0.127865
85,22,0.128191
86,9,0.111200
87,7,0.162433
88,18,0.127423
89,11,0.127513
90,16,0.116827
91,13,0.099826
92,9,0.132618
93,5,0.145309
94,26,0.112112
95,10,0.148686
96,22,0.167878
97,12,0.114762
98,8,0.131454
99,17,0.131470
100,5,0.123868
101,6,0.117607
102,4,0.130356
103,5,0.108786
104,28,0.115240
105,16,0.104073
106,9,0.088295
107,23,0.108695
108,14,0.104617
109,5,0.102311
110,10,0.101838
111,9,0.120830
112,9,0.111275
113,9,0.116727
114,7,0.129759
115,12,0.123801
116,3,0.173693
117,3,0.127103
118,4,0.246575
119,5,0.116217
120,4,0.231733
121,4,0.187462
122,5,0.162808
123,4,0.171348
124,8,0.223132
125,11,0.134657
126,9,0.147121
127,9,0.129722
128,13,0.145323
129,9,0.154560
130,6,0.114515
131,10,0.110420
132,9,0.156876
133,21,0.107292
134,7,0.116177
135,5,0.108125
136,2,0.048447
137,4,0.054135
138,3,0.063413
139,5,0.058240
140,3,0.038568
141,3,0.052721
142,2,0.079500
143,2,0.122087
144,21,0.127015
145,13,0.114629
146,13,0.115601
147,17,0.148141
148,30,0.128140
149,36,0.100620
150,26,0.127852
151,19,0.122175
152,14,0.154354
153,13,0.133376
154,8,0.108041
155,11,0.099310
156,7,0.074091
157,5,0.059448
158,3,0.064187
159,3,0.058289
160,11,0.123216
161,9,0.121457
162,7,0.085870
163,10,0.087823
164,10,0.137775
165,8,0.095850
166,29,0.098844
167,17,0.167025
168,3,0.137429
169,17,0.119368
170,6,0.112786
171,13,0.102298
172,13,0.231791
173,10,0.125948
174,11,0.147963
175,6,0.185610
176,34,0.116112
177,28,0.116484
178,34,0.100489
179,42,0.104064
180,15,0.162955
181,22,0.152634
182,35,0.104040
183,30,0.135488
184,29,0.114980
185,22,0.127593
186,17,0.126448
187,23,0.133844
188,33,0.095422
189,36,0.102964
190,30,0.119491
191,40,0.100329
192,9,0.142842
193,21,0.108922
194,12,0.092471
195,13,0.111123
196,25,0.112141
197,30,0.103187
198,50,0.093829
199,22,0.104144
200,31,0.111771
201,50,0.105606
202,32,0.106261
203,28,0.104636
204,18,0.114424
205,60,0.103802
206,68,0.103143
207,53,0.108673
208,32,0.129942
209,34,0.118404
210,49,0.102616
211,32,0.104568
212,83,0.101689
213,74,0.096927
214,38,0.103164
215,82,0.100556
216,20,0.119923
217,35,0.109311
218,84,0.099871
219,73,0.105530
220,85,0.096529
221,88,0.094119
222,98,0.097393
223,86,0.098621
224,11,0.115510
225,18,0.125602
226,23,0.129409
227,17,0.146195
228,48,0.108336
229,24,0.086698
230,33,0.108386
231,17,0.106548
232,15,0.153226
233,16,0.097069
234,11,0.117315
235,10,0.128298
236,7,0.115595
237,31,0.100746
238,15,0.111771
239,18,0.109985
240,42,0.109265
241,49,0.101687
242,52,0.096145
243,46,0.095987
244,35,0.109779
245,47,0.100523
246,24,0.119270
247,15,0.137833
248,16,0.103900
249,21,0.117278
250,13,0.098445
251,11,0.092701
252,15,0.130173
253,13,0.113850
254,19,0.101002
255,4,0.085144
