codeword,minDistortion
32,0.072596
32,0.122984
32,0.107769
32,0.126318
32,0.126124
32,0.123686
32,0.074195
32,0.107799
32,0.122459
32,0.088860
32,0.074818
32,0.088766
32,0.091761
32,0.098027
34,0.121448
32,0.135039
32,0.104846
32,0.080740
32,0.100721
32,0.076318
32,0.074783
32,0.104882
32,0.096217
32,0.105410
32,0.143744
32,0.102143
32,0.095307
38,0.132830
32,0.129536
32,0.120736
32,0.086758
32,0.156297
38,0.131694
38,0.184953
32,0.185894
34,0.122345
38,0.120744
34,0.166248
32,0.096566
38,0.166724
32,0.161246
32,0.130454
32,0.105727
32,0.111745
32,0.097649
34,0.112112
32,0.101106
32,0.116924
32,0.165713
34,0.150726
32,0.132414
32,0.135082
32,0.080539
34,0.112133
32,0.159812
32,0.186543
34,0.097277
34,0.093677
34,0.089443
34,0.103666
34,0.063524
32,0.098695
32,0.079210
34,0.096084
34,0.130749
32,0.127512
32,0.158538
32,0.133573
33,0.161224
34,0.074924
32,0.090167
34,0.122715
32,0.073724
32,0.112681
34,0.115293
34,0.127369
32,0.105430
34,0.065223
34,0.094755
34,0.115631
34,0.102447
34,0.084067
34,0.090737
34,0.146249
34,0.086177
34,0.111328
34,0.109043
34,0.113149
32,0.098439
32,0.121754
34,0.093528
32,0.071303
32,0.110910
32,0.093869
34,0.122464
34,0.046097
32,0.110246
32,0.136795
32,0.098639
34,0.110395
32,0.103135
32,0.120737
32,0.109905
32,0.104469
32,0.108761
32,0.104802
32,0.118003
32,0.092311
32,0.138215
32,0.085047
32,0.092231
32,0.111370
32,0.080189
32,0.102830
32,0.086564
32,0.099007
32,0.110122
32,0.078985
32,0.122978
32,0.124948
32,0.113588
32,0.100348
32,0.082150
32,0.087243
32,0.118900
32,0.150218
32,0.111651
32,0.106780
32,0.099371
32,0.114708
32,0.046007
34,0.137249
34,0.158571
34,0.131097
34,0.164784
34,0.149732
34,0.094644
34,0.101634
34,0.155293
34,0.108137
34,0.118025
34,0.121933
34,0.116582
34,0.109039
