index,cardinality,distortion
0,62,0.104645
1,75,0.105505
2,34,0.134442
3,57,0.102127
4,41,0.108711
5,29,0.113242
6,38,0.113215
7,46,0.113403
8,17,0.163531
9,23,0.163110
10,19,0.143219
11,17,0.118823
12,8,0.153165
13,9,0.145210
14,13,0.104071
15,10,0.101325
16,18,0.124095
17,21,0.128243
18,23,0.125823
19,19,0.125551
20,13,0.195028
21,18,0.131057
22,14,0.119654
23,6,0.172310
24,17,0.105975
25,24,0.116672
26,34,0.124614
27,29,0.112303
28,18,0.112114
29,34,0.111698
30,9,0.078052
31,31,0.096025
32,33,0.105329
33,36,0.116227
34,22,0.112503
35,24,0.134548
36,22,0.098171
37,52,0.096047
38,43,0.099802
39,28,0.115338
40,34,0.104101
41,22,0.101851
42,30,0.095695
43,24,0.106756
44,32,0.108599
45,34,0.112006
46,27,0.099607
47,28,0.116084
48,15,0.102680
49,13,0.094723
50,31,0.120503
51,19,0.115657
52,16,0.096903
53,26,0.083045
54,28,0.100158
55,28,0.112615
56,24,0.125591
57,44,0.105042
58,33,0.106630
59,18,0.112254
60,40,0.095367
61,38,0.099135
62,19,0.117878
63,24,0.114838
64,44,0.114676
65,67,0.110199
66,15,0.174725
67,21,0.145840
68,11,0.126676
69,21,0.123548
70,24,0.112565
71,32,0.108942
72,18,0.106434
73,42,0.092092
74,33,0.109315
75,23,0.084095
76,21,0.088740
77,27,0.108531
78,23,0.118697
79,21,0.107158
80,21,0.149790
81,26,0.125709
82,35,0.112576
83,9,0.122639
84,26,0.108040
85,30,0.096034
86,37,0.115891
87,30,0.106169
88,43,0.127030
89,47,0.110705
90,107,0.097850
91,49,0.123169
92,69,0.109572
93,46,0.113598
94,54,0.108698
95,63,0.105847
96,29,0.116003
97,25,0.107310
98,39,0.102248
99,29,0.108188
100,26,0.129768
101,33,0.098766
102,32,0.099652
103,15,0.086856
104,24,0.109922
105,17,0.109032
106,23,0.107406
107,25,0.111315
108,25,0.094457
109,35,0.083962
110,28,0.118500
111,21,0.089486
112,10,0.172092
113,14,0.164221
114,8,0.105487
115,5,0.081123
116,6,0.186957
117,10,0.089231
118,9,0.127662
119,19,0.121497
120,18,0.121501
121,38,0.107260
122,21,0.095963
123,36,0.098713
124,14,0.100567
125,15,0.105450
126,23,0.107772
127,23,0.105617
128,7,0.144851
129,5,0.070356
130,11,0.115748
131,22,0.123800
132,19,0.156693
133,16,0.126128
134,22,0.141964
135,44,0.138731
136,10,0.136741
137,13,0.108473
138,21,0.115488
139,23,0.101191
140,33,0.135424
141,37,0.149553
142,22,0.088899
143,15,0.095651
144,27,0.142316
145,25,0.122074
146,15,0.113984
147,21,0.120770
148,19,0.114937
149,20,0.125883
150,30,0.125331
151,39,0.118132
152,47,0.130418
153,8,0.083522
154,46,0.108292
155,21,0.103813
156,17,0.169979
157,16,0.142558
158,56,0.102480
159,52,0.110511
160,30,0.114109
161,19,0.170683
162,39,0.118406
163,46,0.124343
164,50,0.125631
165,41,0.135448
166,55,0.108851
167,27,0.139343
168,19,0.126436
169,21,0.120575
170,40,0.104851
171,42,0.114491
172,16,0.105982
173,12,0.101169
174,23,0.091184
175,23,0.071203
176,7,0.087722
177,4,0.069647
178,18,0.115742
179,8,0.105386
180,17,0.166016
181,32,0.152268
182,21,0.134252
183,23,0.105461
184,38,0.141802
185,17,0.116269
186,28,0.118324
187,35,0.093850
188,47,0.103315
189,35,0.106502
190,42,0.120232
191,26,0.124504
192,39,0.121942
193,28,0.117015
194,13,0.095313
195,17,0.078489
196,28,0.118387
197,19,0.109532
198,32,0.119964
199,48,0.120975
200,17,0.193389
201,14,0.191188
202,24,0.194020
203,28,0.223012
204,52,0.129240
205,46,0.104550
206,37,0.101111
207,52,0.112051
208,8,0.209741
209,10,0.207052
210,13,0.137159
211,6,0.212622
212,6,0.155958
213,8,0.075780
214,9,0.074699
215,10,0.085341
216,19,0.107816
217,29,0.108550
218,22,0.151192
219,19,0.166177
220,41,0.125997
221,22,0.149026
222,25,0.141480
223,29,0.153705
224,16,0.120743
225,34,0.124366
226,28,0.177054
227,16,0.129086
228,23,0.103259
229,39,0.102376
230,37,0.112535
231,23,0.117792
232,39,0.105958
233,30,0.099399
234,43,0.107305
235,74,0.101141
236,41,0.103603
237,37,0.100740
238,20,0.103023
239,19,0.132014
240,38,0.112262
241,48,0.101475
242,43,0.114237
243,25,0.125373
244,41,0.109146
245,33,0.113135
246,63,0.100303
247,56,0.097544
248,30,0.104898
249,26,0.124002
250,38,0.104297
251,31,0.111176
252,33,0.113037
253,32,0.091444
254,16,0.109148
255,43,0.118889
256,6,0.074562
257,8,0.061220
258,7,0.055399
259,5,0.062773
260,14,0.108409
261,27,0.112636
262,42,0.107000
263,49,0.109738
264,14,0.092687
265,10,0.101017
266,24,0.106732
267,30,0.103935
268,51,0.121903
269,38,0.120876
270,22,0.090875
271,19,0.085119
272,35,0.110494
273,66,0.104016
274,70,0.112396
275,62,0.107295
276,29,0.099394
277,39,0.102472
278,43,0.092935
279,53,0.099756
280,44,0.105150
281,38,0.096751
282,68,0.110686
