codeword,minDistortion
894,0.066371
894,0.109782
890,0.073427
889,0.093112
894,0.100022
885,0.101662
892,0.123894
892,0.097096
774,0.098035
774,0.076963
774,0.053749
774,0.068578
774,0.089327
775,0.086398
781,0.089680
783,0.099746
759,0.076097
765,0.074321
765,0.038495
765,0.049938
766,0.087400
759,0.099161
759,0.081096
758,0.106613
753,0.036107
753,0.046031
748,0.141489
792,0.188780
808,0.090943
812,0.049836
812,0.052113
812,0.047102
812,0.046730
812,0.065182
814,0.058742
814,0.093870
813,0.078956
815,0.082136
813,0.087573
813,0.055248
813,0.069774
813,0.075786
813,0.082878
813,0.078399
813,0.096097
813,0.074944
809,0.073072
809,0.039250
809,0.055346
809,0.062239
809,0.042801
809,0.066777
809,0.048744
809,0.059967
805,0.057473
805,0.072213
805,0.043232
805,0.033774
805,0.045155
806,0.065559
808,0.084092
806,0.051852
805,0.091444
806,0.058502
806,0.079175
806,0.055517
806,0.065366
806,0.042221
806,0.050395
806,0.067371
807,0.042091
807,0.015663
807,0.052386
814,0.077085
815,0.071361
815,0.065339
827,0.046641
827,0.087233
901,0.105871
901,0.120279
921,0.116771
930,0.145292
931,0.128089
931,0.172445
512,0.111282
513,0.054884
513,0.052415
514,0.191582
515,0.000000
881,0.181911
796,0.149239
796,0.175739
823,0.165338
823,0.083363
822,0.098186
823,0.084325
823,0.080217
823,0.113720
823,0.080296
823,0.121820
823,0.087865
823,0.093181
823,0.075915
823,0.088862
885,0.063673
823,0.123306
823,0.148507
823,0.124700
887,0.102406
823,0.082245
817,0.095377
884,0.057360
887,0.086341
886,0.119580
884,0.080104
885,0.094548
886,0.097568
823,0.064914
822,0.085919
823,0.099629
822,0.084903
818,0.116839
822,0.074918
822,0.099695
820,0.086394
820,0.087640
820,0.058010
820,0.088757
821,0.073366
822,0.085187
822,0.066043
822,0.056070
822,0.105806
821,0.074782
828,0.074400
828,0.082944
820,0.080909
912,0.073301
916,0.107175
916,0.093780
886,0.070362
894,0.075070
885,0.161622
892,0.095802
884,0.079694
884,0.128449
884,0.068697
886,0.060370
884,0.089167
894,0.088730
894,0.063879
886,0.094475
886,0.071044
890,0.062652
890,0.080938
891,0.079737
886,0.092475
870,0.084253
890,0.065159
895,0.086000
891,0.080821
891,0.094855
866,0.079297
718,0.141748
718,0.088079
718,0.139860
718,0.083628
718,0.100829
718,0.074766
718,0.085756
718,0.109030
718,0.114567
718,0.105902
718,0.073922
718,0.112063
718,0.086694
732,0.126505
732,0.104703
733,0.068579
842,0.080075
842,0.080638
842,0.084874
843,0.092673
843,0.039761
843,0.061983
843,0.052916
843,0.054912
843,0.065742
845,0.055620
845,0.065499
847,0.074987
847,0.035471
847,0.074288
851,0.156303
852,0.074565
852,0.075201
854,0.089156
854,0.094514
855,0.070532
855,0.087535
861,0.060422
861,0.062712
862,0.085848
980,0.081346
980,0.067560
981,0.046548
981,0.043275
981,0.048532
983,0.090957
989,0.068287
991,0.077458
991,0.109386
1008,0.094043
998,0.117829
1008,0.112696
1009,0.070606
1009,0.112221
1009,0.062170
1009,0.066076
1009,0.068069
1009,0.070075
1009,0.054471
1009,0.065033
1009,0.090486
1009,0.074297
1009,0.059794
1009,0.089017
1009,0.085847
1009,0.068817
1009,0.078219
1009,0.109439
1010,0.085233
1010,0.077085
1011,0.056017
1011,0.053263
1011,0.023703
1011,0.070989
1014,0.070732
1014,0.078574
1014,0.067015
1019,0.067600
1019,0.069643
1019,0.063316
546,0.054453
546,0.064597
546,0.094267
554,0.114887
550,0.088007
551,0.055994
565,0.113131
608,0.208861
628,0.231957
630,0.202828
736,0.093149
737,0.125033
746,0.138862
751,0.066701
751,0.075433
958,0.143831
958,0.089664
949,0.085787
1001,0.126417
859,0.078935
1000,0.118060
1001,0.120743
1001,0.055756
1001,0.045097
1001,0.105346
1001,0.114406
1004,0.098590
1004,0.110681
1005,0.142143
1004,0.128019
1006,0.095302
1005,0.101003
1004,0.066287
1004,0.084611
1005,0.096600
1004,0.056909
1004,0.055228
1004,0.079982
1005,0.098487
1005,0.101447
1005,0.069601
1006,0.088767
1007,0.092837
1003,0.100575
1005,0.074619
1005,0.075323
1005,0.094738
1005,0.080970
1006,0.050548
1006,0.078928
1006,0.067493
1006,0.046554
1006,0.079891
1007,0.107304
1007,0.062322
1007,0.069002
1007,0.085426
1007,0.077785
1007,0.077379
1006,0.145374
1007,0.125089
559,0.079683
559,0.031451
558,0.053524
558,0.070722
559,0.093749
894,0.080959
894,0.121342
894,0.109276
894,0.080855
770,0.085847
886,0.098676
886,0.075619
885,0.083008
885,0.093974
886,0.073276
886,0.053537
886,0.124117
887,0.137300
891,0.085515
890,0.087670
890,0.115123
890,0.103044
1003,0.090087
1003,0.073831
1003,0.089737
894,0.044008
894,0.055064
891,0.075064
1001,0.110554
1001,0.158132
558,0.112888
636,0.058800
636,0.100229
637,0.109642
632,0.104025
633,0.073863
634,0.000000
738,0.051238
738,0.084414
740,0.043602
741,0.034730
741,0.031089
752,0.154551
750,0.084644
920,0.106827
944,0.084383
946,0.097372
947,0.052483
950,0.058298
950,0.039183
950,0.080514
950,0.047158
950,0.060312
947,0.054454
947,0.053437
947,0.071361
946,0.076530
946,0.062777
946,0.080051
946,0.099431
933,0.091818
946,0.080200
946,0.068965
946,0.095103
946,0.075417
927,0.092238
919,0.098523
919,0.080853
919,0.107670
922,0.142331
921,0.106119
920,0.099985
903,0.053398
903,0.068217
903,0.058289
903,0.086647
903,0.102462
921,0.099004
922,0.056684
926,0.106384
927,0.102937
932,0.143015
932,0.105135
947,0.084550
950,0.106106
936,0.065220
747,0.079421
746,0.125672
745,0.093306
745,0.076380
770,0.103229
770,0.133162
956,0.073360
956,0.128457
956,0.117547
581,0.206526
745,0.143222
745,0.060982
745,0.121925
773,0.126727
780,0.115251
780,0.096553
764,0.130058
884,0.091375
889,0.088529
818,0.115771
948,0.081493
949,0.117180
949,0.084149
949,0.087391
949,0.064784
949,0.046732
949,0.078735
949,0.100017
949,0.052206
949,0.127974
948,0.104268
946,0.082265
948,0.101422
948,0.101022
948,0.092784
948,0.098353
948,0.092499
948,0.089916
949,0.095676
949,0.087462
948,0.122027
913,0.128980
913,0.077491
913,0.049735
913,0.071689
915,0.069834
915,0.063959
915,0.097407
915,0.070245
915,0.115223
922,0.137657
922,0.137957
922,0.116139
926,0.093507
927,0.132078
927,0.111966
945,0.124815
951,0.062529
951,0.057836
869,0.122820
884,0.180907
885,0.137853
885,0.113650
887,0.067248
886,0.078630
884,0.089839
885,0.118361
884,0.087306
884,0.085828
884,0.083834
894,0.096952
893,0.099707
886,0.069155
886,0.072254
894,0.061812
894,0.092985
884,0.074193
884,0.102280
1002,0.086447
1002,0.091166
1002,0.072533
1006,0.142791
1006,0.075570
995,0.093071
987,0.091412
983,0.137684
863,0.110345
859,0.072513
857,0.088366
854,0.053406
852,0.056720
852,0.055331
853,0.057724
853,0.086718
860,0.092497
861,0.071024
980,0.084495
983,0.044740
988,0.080593
990,0.087109
997,0.079101
999,0.112063
1011,0.087401
1021,0.064607
1021,0.045430
1021,0.055417
548,0.062700
548,0.052999
1023,0.068803
551,0.054734
563,0.099070
572,0.101475
635,-0.000000
746,0.121394
512,0.109073
514,0.150123
516,0.000000
868,0.227455
893,0.092104
894,0.058683
893,0.063838
893,0.114005
895,0.087004
894,0.091505
