codeword,minDistortion
15,0.126894
15,0.091036
15,0.117194
15,0.119829
15,0.143379
15,0.108361
14,0.128620
15,0.081411
15,0.134906
15,0.160224
14,0.202595
15,0.101168
15,0.118790
15,0.076515
15,0.134070
15,0.111068
15,0.123879
13,0.258102
10,0.439076
10,0.430445
2,0.499872
10,0.497055
2,0.307863
2,0.271810
10,0.189680
10,0.225216
8,0.249049
10,0.357265
10,0.346457
9,0.338782
9,0.394754
10,0.445471
9,0.375640
9,0.385511
9,0.445497
11,0.261437
11,0.238099
14,0.189065
11,0.298238
10,0.220618
10,0.273969
11,0.257765
8,0.257742
11,0.263326
11,0.245131
11,0.267875
11,0.416592
11,0.313502
11,0.248574
11,0.275189
14,0.218379
11,0.163251
11,0.318534
11,0.285011
11,0.226442
11,0.266685
11,0.218694
10,0.305330
10,0.323123
10,0.328341
10,0.125407
2,0.189894
2,0.215138
2,0.318986
2,0.486473
2,0.472290
2,0.448304
2,0.347134
2,0.337139
2,0.444044
2,0.632441
2,0.750813
2,0.432558
2,0.233880
2,0.337669
2,0.263992
2,0.156444
2,0.165616
2,0.194369
2,0.303678
2,0.270096
2,0.276621
2,0.312170
2,0.269762
2,0.232845
2,0.177514
2,0.206067
2,0.177387
2,0.199147
2,0.186953
2,0.192329
2,0.223609
2,0.208757
2,0.263674
2,0.213912
2,0.202836
2,0.212338
2,0.211478
2,0.206407
2,0.205570
2,0.247132
2,0.184311
2,0.272155
2,0.232483
2,0.312440
2,0.290790
2,0.257091
2,0.228687
2,0.193192
2,0.220100
2,0.228202
2,0.188027
2,0.181966
2,0.210291
2,0.187244
2,0.229888
2,0.267701
2,0.251811
2,0.237533
2,0.253855
9,0.290348
14,0.238647
9,0.212628
9,0.332065
9,0.304112
9,0.277888
13,0.238875
13,0.233137
13,0.224147
15,0.180782
14,0.145007
14,0.182004
15,0.154546
15,0.227852
15,0.228403
15,0.274788
15,0.147593
15,0.127703
15,0.163163
15,0.185823
15,0.101411
15,0.146995
15,0.126960
15,0.121479
15,0.094251
15,0.137690
15,0.122312
15,0.103296
15,0.074180
15,0.084356
15,0.093662
15,0.106708
15,0.128054
15,0.140215
15,0.137017
15,0.122111
15,0.144844
15,0.121324
15,0.114563
15,0.168396
15,0.169612
14,0.076533
15,0.100919
15,0.075112
15,0.188717
15,0.158828
15,0.147898
15,0.113797
15,0.112686
15,0.113224
15,0.098461
15,0.095642
15,0.106631
15,0.161365
15,0.157574
15,0.103755
15,0.121212
15,0.107403
15,0.110453
15,0.150739
15,0.192291
15,0.093555
15,0.136801
15,0.144404
15,0.137315
15,0.137793
15,0.129241
15,0.160526
15,0.097923
15,0.099795
1,0.112862
1,0.093485
1,0.100514
1,0.116402
1,0.122206
1,0.150576
1,0.094701
1,0.085614
1,0.155099
1,0.176363
1,0.090882
1,0.130620
1,0.137903
1,0.127268
1,0.171294
1,0.162526
1,0.106545
1,0.129133
1,0.077869
1,0.104975
1,0.116055
1,0.145945
1,0.149600
1,0.112452
1,0.210889
1,0.160897
1,0.179520
1,0.155092
1,0.096420
1,0.114972
1,0.115347
1,0.109278
1,0.156825
1,0.149180
1,0.238726
1,0.266492
1,0.202237
0,0.198096
0,0.237381
0,0.238158
0,0.135723
0,0.129093
0,0.170758
0,0.208984
0,0.184604
0,0.147594
0,0.215485
0,0.237083
0,0.291075
0,0.251128
0,0.229544
0,0.276462
0,0.246021
0,0.198959
0,0.289120
0,0.250036
0,0.286588
0,0.222664
0,0.249490
0,0.278065
0,0.313394
0,0.323103
0,0.230122
0,0.274330
0,0.248022
0,0.236946
0,0.225605
0,0.236000
0,0.248414
0,0.248786
0,0.207620
0,0.214573
0,0.212726
0,0.166554
0,0.206557
0,0.182489
0,0.196148
0,0.154467
0,0.213813
0,0.191354
0,0.182174
0,0.165870
0,0.162630
0,0.148943
0,0.114941
0,0.154943
0,0.174705
0,0.186958
0,0.125505
0,0.141137
0,0.147197
0,0.228157
0,0.136779
1,0.122631
1,0.104633
0,0.121780
0,0.121912
1,0.047981
1,0.088715
0,0.098726
1,0.085064
0,0.129213
1,0.102102
1,0.074265
1,0.136071
0,0.145904
1,0.141353
1,0.111693
1,0.111628
1,0.153272
1,0.166945
1,0.134322
1,0.065844
1,0.088753
1,0.124356
1,0.094831
1,0.080952
1,0.060402
1,0.065331
1,0.089838
1,0.087053
1,0.068292
1,0.106706
1,0.092433
1,0.108962
1,0.096920
1,0.077144
1,0.116032
1,0.120503
1,0.110747
1,0.083529
1,0.100952
1,0.156856
1,0.097502
1,0.130421
1,0.113938
1,0.107335
1,0.103146
1,0.056138
1,0.148251
1,0.085661
1,0.114490
1,0.086177
1,0.062104
1,0.088084
1,0.121698
0,0.089070
0,0.115293
0,0.114932
0,0.106167
0,0.146023
0,0.161723
0,0.171224
0,0.167416
0,0.130643
0,0.128085
0,0.142408
0,0.125841
0,0.130318
0,0.265689
0,0.194049
0,0.166689
0,0.170116
0,0.192991
0,0.159029
0,0.153995
0,0.225766
0,0.133699
0,0.142781
0,0.168307
0,0.096474
0,0.126267
0,0.128313
0,0.156433
0,0.120739
0,0.181022
0,0.196853
0,0.183620
0,0.214042
0,0.172461
0,0.208601
0,0.109563
0,0.150583
0,0.150535
0,0.169593
0,0.133353
0,0.090475
0,0.181359
0,0.145889
0,0.127903
0,0.143374
0,0.152954
0,0.163398
0,0.110798
0,0.127425
0,0.147976
0,0.149811
0,0.154508
0,0.152673
0,0.187259
0,0.182813
0,0.138778
0,0.222646
0,0.170626
0,0.111051
0,0.136286
0,0.180245
0,0.178292
0,0.132826
0,0.152876
0,0.155472
0,0.128616
0,0.124092
0,0.163308
0,0.151466
0,0.108181
0,0.168871
0,0.145140
0,0.198480
0,0.172583
0,0.135668
0,0.128187
0,0.147758
0,0.105555
0,0.185130
0,0.160841
0,0.113403
0,0.094794
0,0.107735
0,0.103562
0,0.195142
0,0.179657
0,0.135920
0,0.117718
0,0.149988
0,0.138253
0,0.147522
0,0.171705
0,0.101209
0,0.141914
0,0.091247
0,0.127210
1,0.101984
1,0.131106
1,0.074383
0,0.126767
0,0.106000
0,0.119086
1,0.097549
1,0.116533
0,0.123963
1,0.148900
1,0.074568
1,0.075690
1,0.084793
1,0.116173
1,0.104875
1,0.133521
1,0.095877
1,0.159459
1,0.132602
1,0.108701
1,0.111107
1,0.095624
1,0.103101
1,0.109156
1,0.158862
1,0.182970
1,0.091034
1,0.142116
1,0.134292
1,0.118269
1,0.115144
1,0.125273
1,0.132662
1,0.085824
1,0.124140
1,0.126542
1,0.138692
1,0.139121
0,0.110793
0,0.133763
0,0.101140
0,0.170174
0,0.149636
1,0.134241
1,0.107333
1,0.107068
0,0.122494
0,0.100454
0,0.135912
1,0.118105
1,0.107551
1,0.104450
0,0.097242
1,0.109566
1,0.139242
1,0.136565
1,0.106077
1,0.066174
1,0.090200
1,0.075225
1,0.137206
1,0.114909
1,0.116568
1,0.130030
1,0.118599
1,0.164916
1,0.188244
1,0.141480
1,0.088240
1,0.165086
1,0.159060
1,0.171487
1,0.136261
1,0.194262
1,0.206167
1,0.172318
1,0.130083
1,0.102023
1,0.143544
1,0.217226
1,0.141366
1,0.145377
1,0.089944
1,0.150095
1,0.148076
1,0.131146
1,0.116947
1,0.160280
1,0.117361
1,0.177517
0,0.144142
0,0.132040
1,0.083589
0,0.119666
0,0.174120
0,0.175126
1,0.169001
0,0.109741
0,0.131141
0,0.159509
0,0.134853
0,0.170815
0,0.159493
0,0.131235
0,0.149059
0,0.148906
0,0.126095
0,0.158997
0,0.099015
0,0.081809
0,0.151080
0,0.254249
0,0.161480
1,0.122230
0,0.149676
1,0.175866
1,0.098070
1,0.146748
1,0.101269
1,0.104922
1,0.103494
1,0.070740
1,0.147536
1,0.112198
1,0.088977
1,0.084679
1,0.130765
1,0.187488
1,0.175912
1,0.115089
1,0.084669
1,0.112267
1,0.136418
1,0.104657
1,0.065104
1,0.101176
1,0.122888
1,0.093053
1,0.105915
1,0.108717
1,0.185736
1,0.101431
1,0.111746
1,0.151429
1,0.108526
1,0.085323
1,0.097598
1,0.109396
1,0.145627
1,0.173198
1,0.146190
1,0.183207
1,0.114216
1,0.099181
1,0.134296
1,0.167397
1,0.116899
1,0.169180
0,0.138701
0,0.134256
1,0.109551
1,0.135708
0,0.142488
0,0.128194
0,0.121367
0,0.098737
0,0.126745
0,0.147463
0,0.094210
0,0.098392
0,0.172898
0,0.075456
0,0.130342
0,0.097309
0,0.128106
0,0.090588
0,0.103001
0,0.110371
1,0.097208
1,0.059479
1,0.084109
1,0.136372
1,0.135902
0,0.118359
0,0.164959
1,0.125936
1,0.163206
1,0.100109
1,0.072320
1,0.118878
1,0.171123
0,0.150292
1,0.091256
1,0.129398
1,0.196223
1,0.163270
1,0.258260
1,0.310479
1,0.215002
1,0.211802
1,0.175426
1,0.258473
1,0.194618
1,0.139468
1,0.161999
1,0.184564
1,0.082592
1,0.087624
1,0.076474
1,0.123193
1,0.077705
0,0.108295
0,0.080840
1,0.063629
1,0.093883
1,0.136560
1,0.072108
1,0.081143
1,0.079432
1,0.080299
0,0.120583
1,0.078129
1,0.106397
1,0.052059
1,0.153218
1,0.111877
1,0.078513
1,0.150101
1,0.107751
1,0.083461
1,0.077197
1,0.113975
1,0.106872
1,0.087711
1,0.171207
1,0.179672
1,0.096174
1,0.155516
1,0.124050
1,0.141117
15,0.124291
15,0.116254
15,0.093703
15,0.140713
15,0.157681
15,0.130688
15,0.133138
