index,cardinality,distortion
0,21,0.093291
1,40,0.098654
2,48,0.091051
3,36,0.103819
4,35,0.089102
5,34,0.095536
6,52,0.094088
7,59,0.103393
8,61,0.089060
9,73,0.095001
10,88,0.087117
11,90,0.091907
12,67,0.100022
13,69,0.101375
14,5,0.088360
15,14,0.112299
16,39,0.091577
17,44,0.096214
18,50,0.095293
19,35,0.101347
20,50,0.094886
21,48,0.095802
22,56,0.097815
23,27,0.104836
24,55,0.091615
25,94,0.086767
26,89,0.088307
27,81,0.096511
28,99,0.090994
29,89,0.092862
30,151,0.087605
31,153,0.091686
32,16,0.143566
33,16,0.177511
34,39,0.143150
35,20,0.147895
36,29,0.155149
37,22,0.144932
38,12,0.135795
39,17,0.095903
40,27,0.141870
41,29,0.116194
42,28,0.125756
43,26,0.138637
44,24,0.142944
45,12,0.102023
46,17,0.133096
47,14,0.097104
48,33,0.088979
49,37,0.094973
50,48,0.090336
51,36,0.102216
52,62,0.089115
53,47,0.087720
54,8,0.075672
55,4,0.064343
56,37,0.088926
57,37,0.091288
58,27,0.089055
59,28,0.085257
60,38,0.093663
61,36,0.092794
62,17,0.105560
63,19,0.094305
64,68,0.089680
65,68,0.091698
66,91,0.086892
67,67,0.081936
68,57,0.090487
69,80,0.090593
70,88,0.085583
71,70,0.096178
72,74,0.092466
73,111,0.087751
74,107,0.083730
75,92,0.087831
76,100,0.084856
77,105,0.090039
78,84,0.088894
79,81,0.089592
80,104,0.092838
81,107,0.090987
82,135,0.084642
83,134,0.086580
84,84,0.099486
85,67,0.088032
86,140,0.086161
87,98,0.084772
88,85,0.090139
89,112,0.088279
90,128,0.087789
91,104,0.088880
92,100,0.084564
93,91,0.092068
94,106,0.087266
95,68,0.098165
96,34,0.085443
97,21,0.101732
98,11,0.086797
99,9,0.069049
100,28,0.083606
101,15,0.081559
102,5,0.102796
103,10,0.083618
104,105,0.088658
105,13,0.095972
106,148,0.088081
107,124,0.091909
108,157,0.086392
109,122,0.088100
110,102,0.085157
111,100,0.093596
112,105,0.093862
113,94,0.102134
114,99,0.100506
115,147,0.094427
116,139,0.084205
117,138,0.086929
118,145,0.092376
119,145,0.092446
120,13,0.117943
121,5,0.104991
122,11,0.096697
123,10,0.102438
124,15,0.192064
125,19,0.128827
126,15,0.148092
127,8,0.155169
128,89,0.100704
129,70,0.113845
130,47,0.105613
131,37,0.132998
132,58,0.119262
133,65,0.117006
134,27,0.146478
135,20,0.111958
136,42,0.123944
137,27,0.152209
138,18,0.125920
139,20,0.115314
140,47,0.148745
141,36,0.144589
142,25,0.200733
143,36,0.164985
144,16,0.169529
145,14,0.112254
146,21,0.150465
147,17,0.203978
148,19,0.220183
149,23,0.153207
150,23,0.146689
151,14,0.130010
152,19,0.163471
153,15,0.129452
154,13,0.162124
155,12,0.189891
156,31,0.122668
157,36,0.161218
158,42,0.117394
159,31,0.115995
160,18,0.160074
161,8,0.146473
162,3,0.042406
163,8,0.079733
164,17,0.158397
165,15,0.152783
166,38,0.158394
167,38,0.203383
168,20,0.142597
169,23,0.154561
170,35,0.136077
171,38,0.144686
172,41,0.146237
173,31,0.171962
174,34,0.134259
175,29,0.196576
176,35,0.147862
177,15,0.124306
178,45,0.132803
179,52,0.140457
180,21,0.103375
181,20,0.100598
182,26,0.142283
183,23,0.124580
184,24,0.103148
185,10,0.137329
186,38,0.126570
187,22,0.137916
188,13,0.121264
189,21,0.126788
190,21,0.163642
191,34,0.149886
192,11,0.147698
193,11,0.077177
194,30,0.151181
195,17,0.152905
196,13,0.081389
197,11,0.083350
198,4,0.056369
199,6,0.068241
200,8,0.141320
201,10,0.061087
202,18,0.127297
203,11,0.159910
204,11,0.157808
205,18,0.126377
206,12,0.121767
207,19,0.139095
208,21,0.207000
209,16,0.160650
210,18,0.150044
211,16,0.171083
212,17,0.183892
213,9,0.067070
214,10,0.117619
215,12,0.089099
216,15,0.166885
217,20,0.105936
218,10,0.176568
219,16,0.136531
220,22,0.167833
221,25,0.175451
222,18,0.176566
223,11,0.128096
224,28,0.121411
225,24,0.156787
226,46,0.173488
227,22,0.167579
228,15,0.147903
229,13,0.127701
230,6,0.177025
231,6,0.074662
232,17,0.176636
233,31,0.200906
234,31,0.181733
235,33,0.172450
236,26,0.179418
237,23,0.161364
238,24,0.187519
239,11,0.218692
240,11,0.181709
241,14,0.196190
242,13,0.168345
243,17,0.135870
244,12,0.156875
245,12,0.195197
246,27,0.200968
247,18,0.160905
248,7,0.088348
249,7,0.142251
250,2,0.188913
251,9,0.132218
252,12,0.128729
253,24,0.249315
254,8,0.193656
255,9,0.138969
256,36,0.120888
257,36,0.130208
258,40,0.123381
259,33,0.138698
260,20,0.163789
261,22,0.160119
262,38,0.125851
263,17,0.154010
264,72,0.114143
265,42,0.127792
266,15,0.086582
267,32,0.133621
268,37,0.129221
269,34,0.132092
270,40,0.121689
271,52,0.138974
272,31,0.159476
273,24,0.120539
274,61,0.137288
275,23,0.178240
276,40,0.134554
277,29,0.164701
278,14,0.110799
279,31,0.129252
280,12,0.227973
281,17,0.161218
282,24,0.121130
283,34,0.171107
284,23,0.149324
285,26,0.138824
286,11,0.109301
287,18,0.145354
288,19,0.125460
289,18,0.120133
290,32,0.102119
291,26,0.128551
292,25,0.125443
293,28,0.106778
294,25,0.148342
295,34,0.116264
296,18,0.153138
297,19,0.161914
298,32,0.138263
299,24,0.126081
300,27,0.113661
301,37,0.114527
302,38,0.152810
303,79,0.109982
304,69,0.090936
305,80,0.094259
306,83,0.096845
307,78,0.101703
308,76,0.104939
309,78,0.107497
310,113,0.100202
311,37,0.110935
312,88,0.104063
313,83,0.112924
314,84,0.106222
315,35,0.159590
316,68,0.117135
317,31,0.132681
318,88,0.109339
319,42,0.128065
320,14,0.127898
321,18,0.130581
322,20,0.121611
323,12,0.098151
324,16,0.142590
325,22,0.121821
326,46,0.143665
327,32,0.183108
328,18,0.134907
329,26,0.135350
330,12,0.079272
331,8,0.076046
332,27,0.133097
333,29,0.135180
334,22,0.136250
335,12,0.103098
336,13,0.146442
337,32,0.158384
338,61,0.127158
339,28,0.129826
340,27,0.125458
341,78,0.140251
342,85,0.125949
343,39,0.133733
344,20,0.216713
345,16,0.171710
346,31,0.173557
347,14,0.144437
348,23,0.187848
349,26,0.192215
350,22,0.198459
351,17,0.184739
352,24,0.117043
353,35,0.118441
354,50,0.111151
355,68,0.118995
356,37,0.136671
357,48,0.125457
358,15,0.106996
359,64,0.136872
360,29,0.132702
361,24,0.131433
362,23,0.158100
363,49,0.136126
364,35,0.152072
365,29,0.160695
366,39,0.140193
367,23,0.139625
368,41,0.145966
369,37,0.128947
370,18,0.101032
371,16,0.107042
372,36,0.138619
373,41,0.154302
374,44,0.141164
375,44,0.118309
376,44,0.128272
377,43,0.110914
378,48,0.117068
379,18,0.133759
380,35,0.166264
381,31,0.170219
382,30,0.141764
383,27,0.176724
384,26,0.120253
385,31,0.119225
386,25,0.134429
387,50,0.144997
388,57,0.137452
389,30,0.109289
390,53,0.133520
391,55,0.118734
392,53,0.119597
393,128,0.117336
394,44,0.161292
395,24,0.123766
396,45,0.121353
397,21,0.167499
398,25,0.132517
399,14,0.167970
400,20,0.130108
401,28,0.134344
402,31,0.149197
403,15,0.142480
404,14,0.124331
405,31,0.133593
406,23,0.142252
407,33,0.178142
408,42,0.154109
409,22,0.159185
410,31,0.154757
411,22,0.130737
412,35,0.183410
413,16,0.171454
414,40,0.152959
415,51,0.157307
416,23,0.140581
417,26,0.126287
418,16,0.123434
419,44,0.141389
420,30,0.136305
421,41,0.128962
422,33,0.124318
423,40,0.132953
424,29,0.151094
425,23,0.152463
426,28,0.157658
427,27,0.184338
428,23,0.167488
429,35,0.151524
430,24,0.181540
431,24,0.214362
432,73,0.124432
433,44,0.148334
434,36,0.140545
435,45,0.159119
436,48,0.132117
437,42,0.145666
438,25,0.135176
439,16,0.181986
440,65,0.147970
441,48,0.151206
442,23,0.156636
443,39,0.142676
444,21,0.166459
445,21,0.147569
446,27,0.176943
447,20,0.148550
448,28,0.118678
449,45,0.129989
450,69,0.109900
451,67,0.123700
452,76,0.108422
453,107,0.101779
454,33,0.133278
455,48,0.140818
456,34,0.153053
457,27,0.115377
458,44,0.139011
459,33,0.152900
460,34,0.123419
461,32,0.162318
462,24,0.177051
463,11,0.154897
464,42,0.128416
465,38,0.122805
466,33,0.144972
467,36,0.152806
468,27,0.141700
469,47,0.156652
470,27,0.174722
471,25,0.117434
472,34,0.130149
473,26,0.146738
474,34,0.132646
475,21,0.091906
476,16,0.089533
477,28,0.180531
478,16,0.152687
479,24,0.164876
480,35,0.127403
481,42,0.123136
482,37,0.132656
483,27,0.149202
484,53,0.125363
485,89,0.124546
486,59,0.128552
487,41,0.138776
488,40,0.124789
489,58,0.123130
490,51,0.114202
491,49,0.131482
492,56,0.131807
493,44,0.152630
494,56,0.146041
495,33,0.125237
496,60,0.130219
497,25,0.152895
498,42,0.143982
499,23,0.165553
500,48,0.112599
501,33,0.110933
502,42,0.141173
503,35,0.134006
504,27,0.154267
505,29,0.135131
506,61,0.134230
507,61,0.139760
508,46,0.126830
509,66,0.132308
510,68,0.136757
511,55,0.132602
512,23,0.133184
513,19,0.149808
514,27,0.136595
515,17,0.147995
516,16,0.149999
517,25,0.157389
518,37,0.141427
519,52,0.137233
520,13,0.191574
521,21,0.183449
522,7,0.084333
523,4,0.142828
524,16,0.140862
525,9,0.116658
526,4,0.137797
527,6,0.125571
528,28,0.148700
529,23,0.158111
530,20,0.130534
