codeword,minDistortion
1928,0.076842
1927,0.092613
1833,0.085156
1932,0.071681
1834,0.065863
1834,0.055758
1834,0.033547
1835,0.097719
1831,0.061123
1830,0.076893
1831,0.068422
1932,0.098459
1833,0.077846
1834,0.077682
1835,0.043248
1835,0.058041
1835,0.070297
1833,0.090921
1833,0.068648
1685,0.030333
1685,0.034359
1832,0.096234
1838,0.067629
1839,0.077698
1839,0.043962
1836,0.044176
1836,0.056268
1836,0.045369
1838,0.076908
1838,0.081076
1836,0.083252
1838,0.048285
1837,0.052571
1837,0.060354
1837,0.040609
1837,0.047232
1837,0.052779
1836,0.056743
1825,0.054897
1839,0.062185
1829,0.042185
1839,0.075280
1838,0.058653
1836,0.057349
1829,0.048109
1838,0.066544
1839,0.069139
1838,0.071448
1824,0.000000
1826,0.000000
1829,0.040192
1677,0.093328
1681,0.061258
1687,0.042298
1686,0.060188
1686,0.033256
1686,0.057950
1684,0.025567
1684,0.023826
1686,0.079968
1687,0.030858
1678,0.000000
1676,-0.000000
1679,-0.000000
1677,0.049981
1672,0.035391
1673,0.019611
1673,0.020436
1672,0.040477
1664,0.023164
1664,0.023825
1666,0.052757
1674,-0.000000
1667,0.027574
1667,0.034099
1670,0.065677
1669,0.089056
1668,-0.000000
1665,0.039346
1665,0.027816
1665,0.057698
1666,0.058304
1825,0.092281
1793,0.066342
1795,0.025135
1795,0.023224
1794,0.030469
1792,0.000000
1794,0.030289
1793,0.054245
1799,0.071109
1799,0.059080
1392,0.000000
1796,-0.000000
1797,0.019443
1797,0.021603
1798,0.089575
1857,0.000000
1832,0.100783
1834,0.061169
1361,0.063348
1361,0.061578
1952,0.088737
1927,0.102404
1833,0.061708
1834,0.079869
1832,0.075952
2029,0.059879
1934,0.067225
1935,0.061461
1935,0.088379
1982,0.073327
1977,0.067781
1977,0.086153
1967,0.109234
1933,0.063271
1933,0.075893
1933,0.074364
1933,0.059448
1982,0.085880
1983,0.059299
1982,0.077056
1982,0.064904
1927,0.102152
1976,0.042176
1978,0.072379
1981,0.089433
1983,0.062080
1981,0.079035
1960,0.066071
1980,0.069038
1980,0.038060
1980,0.061002
1948,0.066241
1949,0.044684
2030,0.074347
1979,0.049010
1969,0.064624
1972,0.055740
1981,0.046096
1979,0.060418
1982,0.078309
1983,0.057639
2036,0.047749
2036,0.069278
1981,0.082485
1982,0.101156
1977,0.048689
1941,0.071086
1976,0.055300
1969,0.076973
1969,0.066201
1977,0.061567
1977,0.051069
1981,0.092158
1982,0.079961
1977,0.049476
1968,0.059836
1968,0.102108
1970,0.105170
1972,0.053582
1972,0.058388
1980,0.081480
1981,0.101532
1974,0.077479
1981,0.058450
1981,0.083766
1975,0.071382
1973,0.076106
1970,0.108796
1971,0.070220
1971,0.056409
1973,0.075724
1974,0.094065
1974,0.085838
1968,0.061173
1968,0.037179
1968,0.053884
1969,0.083983
1975,0.050371
1974,0.064607
1969,0.063754
1970,0.135715
1974,0.066219
1972,0.069379
1973,0.078010
1968,0.047136
1974,0.094836
1973,0.058585
1972,0.043562
1972,0.058479
1974,0.061174
1974,0.051676
1974,0.048963
1973,0.069048
1977,0.079483
1973,0.056063
1975,0.045811
1969,0.067313
1974,0.086652
1975,0.060870
1975,0.047142
1980,0.061779
1971,0.065304
1973,0.062434
1972,0.077785
1977,0.090339
1978,0.069557
1978,0.058098
1979,0.051032
1978,0.028105
1968,0.100006
1961,0.077575
1978,0.114302
1978,0.057569
1979,0.073946
1979,0.041520
1979,0.045850
1979,0.050940
1962,0.060411
1957,0.058300
1970,0.094391
1966,0.064261
1966,0.029942
1966,0.044603
1961,0.069356
1932,0.053079
1962,0.078233
1962,0.069849
1977,0.067235
1966,0.056363
1967,0.054463
1967,0.061374
1963,0.078379
1962,0.083804
1963,0.056482
1963,0.047469
1961,0.049051
1962,0.070784
1967,0.063950
1960,0.051860
1960,0.054372
1962,0.065101
1962,0.055733
1992,0.068556
1960,0.079126
1962,0.052719
1962,0.045589
1962,0.057552
1964,0.048330
1964,0.042305
1967,0.064048
1977,0.056310
1976,0.046558
1965,0.069281
1964,0.040504
1964,0.038511
1934,0.061836
1970,0.084187
1970,0.055107
1969,0.079568
1970,0.051637
1965,0.049924
1967,0.085679
1934,0.041739
1933,0.056244
1933,0.079273
1983,0.055941
1983,0.110145
1967,0.095781
1958,0.076668
1933,0.062825
1932,0.070898
1932,0.044589
2028,0.087408
1952,0.089583
1976,0.072747
1966,0.067110
1933,0.057202
1982,0.074825
1927,0.055511
1926,0.077485
1932,0.065233
1933,0.085510
1980,0.061824
1980,0.067517
1933,0.093019
1932,0.065803
1932,0.084444
1933,0.092241
1935,0.074289
