codeword,minDistortion
13,0.096612
14,0.061125
13,0.093497
10,0.103104
10,0.072009
12,0.086253
13,0.087580
13,0.095592
13,0.073164
14,0.122497
13,0.115903
13,0.062518
13,0.151868
13,0.083526
13,0.101119
13,0.080252
13,0.094261
13,0.104451
13,0.082050
13,0.094193
13,0.080602
13,0.105054
13,0.131474
13,0.068034
13,0.070699
13,0.125952
13,0.087338
12,0.098498
12,0.091315
13,0.140871
12,0.094019
1,0.182376
1,0.135340
9,0.121865
9,0.121169
9,0.073486
9,0.079514
9,0.087873
9,0.142190
10,0.134023
10,0.116995
10,0.113522
10,0.115499
9,0.134215
9,0.090197
10,0.114517
9,0.136321
12,0.110976
12,0.085411
13,0.083575
13,0.086218
13,0.103019
13,0.106224
13,0.119608
13,0.073993
13,0.090297
13,0.068100
13,0.090529
13,0.086301
13,0.137559
13,0.083723
13,0.126936
13,0.107160
13,0.086344
13,0.133149
13,0.082426
13,0.131446
13,0.082887
13,0.150389
12,0.076200
13,0.052178
12,0.110831
13,0.092982
12,0.096885
12,0.043616
12,0.103263
12,0.085841
14,0.087054
13,0.097296
13,0.094039
13,0.096025
12,0.069085
12,0.098779
12,0.116724
13,0.095932
12,0.070128
13,0.104971
12,0.159295
12,0.138731
12,0.092795
12,0.103712
12,0.127812
12,0.089912
12,0.112600
12,0.123523
12,0.078586
12,0.163824
12,0.092229
13,0.101130
13,0.092421
12,0.157878
13,0.180896
12,0.122808
12,0.101633
12,0.110197
12,0.060278
12,0.086545
12,0.082601
13,0.072080
12,0.073796
9,0.128167
9,0.153431
9,0.139005
12,0.077915
10,0.135781
12,0.107003
13,0.115342
13,0.192941
13,0.209851
12,0.121681
12,0.098911
13,0.145571
13,0.139410
13,0.115221
13,0.078515
13,0.071484
10,0.098660
10,0.136949
10,0.146338
13,0.128518
13,0.124092
13,0.079372
13,0.089332
13,0.098217
13,0.091078
12,0.085220
13,0.069011
13,0.112460
13,0.110861
13,0.100022
14,0.097076
13,0.100744
13,0.093925
13,0.087581
14,0.083045
13,0.150507
13,0.090721
13,0.091979
13,0.113196
13,0.085222
13,0.084595
12,0.094307
12,0.115834
12,0.096634
12,0.089968
12,0.080918
12,0.099677
12,0.082573
12,0.119488
12,0.117696
12,0.088012
10,0.092522
10,0.107794
8,0.118986
12,0.076009
12,0.085088
12,0.111888
12,0.067431
12,0.092323
12,0.097393
12,0.117208
12,0.067807
13,0.066215
13,0.111679
13,0.107850
13,0.089492
13,0.115394
13,0.127816
12,0.113259
12,0.078732
12,0.103500
12,0.082886
12,0.084779
12,0.114776
12,0.152218
12,0.109678
12,0.090192
12,0.049033
12,0.089962
12,0.109154
12,0.084503
12,0.091822
12,0.107447
1,0.139489
12,0.118208
12,0.075419
12,0.129403
1,0.114667
1,0.088418
12,0.143083
1,0.091529
1,0.090326
12,0.085398
12,0.136043
9,0.176891
12,0.104077
12,0.211244
12,0.148719
12,0.108620
12,0.113810
12,0.158829
12,0.052553
12,0.084352
12,0.080822
12,0.096971
1,0.118606
12,0.165582
13,0.112678
13,0.109961
12,0.104956
12,0.125439
12,0.129141
12,0.105957
12,0.070704
12,0.106889
12,0.115880
12,0.102310
12,0.114314
12,0.089680
1,0.079743
1,0.088838
1,0.106093
1,0.146486
1,0.079767
1,0.092626
1,0.091243
12,0.089598
12,0.108819
12,0.082942
13,0.086548
12,0.085346
12,0.121223
8,0.101253
12,0.049922
12,0.083789
12,0.063330
12,0.094165
13,0.102396
14,0.106450
10,0.136053
10,0.099007
12,0.099236
13,0.085402
13,0.103821
13,0.125556
13,0.082681
13,0.102685
13,0.091777
13,0.137781
13,0.094871
13,0.094893
13,0.114514
13,0.091121
13,0.094837
13,0.095962
13,0.099728
13,0.078454
13,0.069698
13,0.094757
13,0.083924
10,0.096328
10,0.091742
10,0.097028
10,0.104802
10,0.150936
10,0.107499
10,0.078188
10,0.100774
10,0.080454
10,0.073041
10,0.063500
10,0.089189
10,0.125552
8,0.144098
10,0.108429
8,0.099046
9,0.110770
9,0.169423
12,0.095172
9,0.142234
9,0.177518
9,0.199939
9,0.248817
9,0.127690
9,0.075553
9,0.150805
9,0.180811
9,0.139311
9,0.137554
9,0.147869
9,0.150798
9,0.143771
9,0.140099
12,0.125335
9,0.132203
12,0.079919
1,0.076025
1,0.116626
1,0.136448
9,0.149532
1,0.153376
12,0.136089
9,0.131407
12,0.099226
12,0.111132
12,0.126205
12,0.113400
12,0.073985
1,0.105968
1,0.091304
12,0.103128
12,0.133579
12,0.164712
12,0.128620
1,0.066178
1,0.082472
1,0.143854
1,0.151404
1,0.099481
1,0.107804
1,0.107568
0,0.180534
9,0.132514
9,0.203741
9,0.234256
0,0.186951
9,0.192936
1,0.117640
1,0.124866
1,0.110879
1,0.096464
1,0.122200
1,0.094029
1,0.063089
1,0.082810
1,0.105889
1,0.083246
1,0.096108
12,0.076012
12,0.096092
12,0.132739
12,0.090562
12,0.118412
12,0.070975
12,0.062400
10,0.101110
12,0.054497
12,0.126878
12,0.126731
10,0.076353
10,0.099658
12,0.142467
12,0.132753
13,0.077496
13,0.117012
13,0.172210
12,0.083744
12,0.068787
13,0.110739
13,0.080273
13,0.101277
10,0.099503
13,0.100169
13,0.127970
12,0.126117
14,0.106386
10,0.146964
12,0.112575
10,0.118773
13,0.110658
13,0.095267
13,0.057781
13,0.054283
13,0.069205
13,0.100409
13,0.167692
12,0.093457
13,0.127343
13,0.080158
14,0.087113
13,0.106962
13,0.088570
13,0.083627
13,0.083023
13,0.098079
13,0.093532
13,0.117089
13,0.059748
13,0.092477
13,0.069301
13,0.109226
13,0.073267
13,0.105479
13,0.123571
13,0.113504
13,0.090426
13,0.104290
13,0.140196
13,0.092396
12,0.106049
12,0.120557
13,0.098503
13,0.064550
13,0.108195
12,0.103381
13,0.061753
12,0.076246
13,0.114362
13,0.124181
13,0.069896
13,0.058170
13,0.109219
13,0.066179
12,0.093682
12,0.137220
12,0.138222
1,0.094527
1,0.132038
12,0.155220
12,0.085430
12,0.112433
12,0.121211
12,0.136282
13,0.081482
13,0.122958
13,0.141343
12,0.088427
1,0.114195
12,0.101156
12,0.134735
12,0.115164
11,0.120917
12,0.120317
12,0.095267
10,0.137918
10,0.082608
12,0.128243
12,0.107953
8,0.140398
12,0.194311
12,0.149736
12,0.100888
8,0.133401
12,0.101651
12,0.113117
12,0.119182
12,0.093396
12,0.076507
12,0.107677
1,0.115471
1,0.093631
1,0.103182
1,0.090353
1,0.074757
1,0.094703
1,0.098493
1,0.118688
1,0.108478
12,0.159747
1,0.133092
1,0.090216
12,0.112223
12,0.113731
1,0.142090
1,0.106239
1,0.115778
1,0.095678
1,0.127678
11,0.112182
11,0.140828
12,0.157298
12,0.106514
12,0.078991
12,0.117267
12,0.078669
12,0.087215
1,0.112982
1,0.122138
1,0.080802
1,0.078966
12,0.077655
12,0.097338
12,0.101785
12,0.148157
12,0.086123
12,0.098887
12,0.122257
12,0.086323
12,0.097797
12,0.112390
12,0.107763
12,0.102516
13,0.086768
13,0.100165
13,0.087320
13,0.158690
13,0.065479
13,0.105108
13,0.099974
13,0.113569
13,0.088893
13,0.103697
13,0.063354
13,0.082963
13,0.122179
13,0.097112
13,0.112540
13,0.073670
13,0.110173
13,0.082101
124,0.107358
118,0.114748
119,0.124548
119,0.176917
124,0.095597
118,0.120996
118,0.090878
118,0.073088
112,0.072837
118,0.098803
118,0.140412
103,0.150712
103,0.101368
103,0.109728
103,0.091585
103,0.142468
103,0.109361
103,0.136205
115,0.172591
103,0.144626
103,0.120280
103,0.112292
86,0.146055
86,0.173165
86,0.163910
85,0.178532
85,0.137219
85,0.113133
85,0.136634
85,0.175581
85,0.235975
85,0.143174
85,0.173955
85,0.229880
85,0.175803
85,0.150746
85,0.133714
85,0.148245
85,0.150495
85,0.192335
85,0.300082
85,0.216747
85,0.251732
85,0.163659
85,0.109102
85,0.151819
85,0.078446
85,0.079564
85,0.168648
85,0.150051
85,0.137980
85,0.127167
85,0.097414
85,0.131862
85,0.165359
85,0.133620
85,0.193019
85,0.255259
94,0.228723
85,0.276726
116,0.335112
85,0.152386
85,0.217603
85,0.303436
85,0.313771
85,0.247394
85,0.133359
85,0.090211
85,0.161747
85,0.111056
85,0.230887
84,0.198576
85,0.185828
85,0.146322
85,0.180216
116,0.177436
117,0.161696
118,0.097106
118,0.134252
118,0.145600
91,0.140917
91,0.181161
109,0.159062
109,0.117014
110,0.151674
109,0.158219
109,0.225561
109,0.126767
110,0.164475
110,0.169349
109,0.104205
107,0.139348
109,0.203155
117,0.105489
87,0.103464
87,0.159464
117,0.108056
95,0.120422
95,0.108938
95,0.117472
116,0.126558
116,0.106638
95,0.080635
95,0.098289
95,0.104057
124,0.149808
95,0.109667
124,0.119047
119,0.183158
95,0.165550
91,0.176610
124,0.076280
95,0.121867
95,0.081703
95,0.090293
95,0.106441
95,0.129973
95,0.133216
119,0.161099
127,0.116939
95,0.130982
95,0.126640
126,0.097446
124,0.084722
118,0.144921
109,0.111088
94,0.133173
95,0.107469
119,0.169512
119,0.109825
121,0.124103
121,0.113923
122,0.102368
121,0.149581
119,0.148078
119,0.163750
119,0.103105
119,0.107717
103,0.097237
105,0.111759
118,0.085860
103,0.101022
103,0.143255
103,0.133286
113,0.134453
102,0.138373
84,0.227829
102,0.252359
86,0.195935
86,0.148034
84,0.211045
84,0.119813
84,0.121227
84,0.120705
84,0.177354
84,0.184115
84,0.196990
84,0.191672
84,0.217091
84,0.186335
84,0.144267
84,0.126601
84,0.159198
