index,cardinality,distortion
0,9,0.090670
1,10,0.081092
2,6,0.059230
3,4,0.088521
4,11,0.083442
5,13,0.096246
6,9,0.075906
7,8,0.085814
8,5,0.077874
9,4,0.059567
10,9,0.077009
11,8,0.081467
12,5,0.057470
13,8,0.077077
14,6,0.088005
15,6,0.084718
16,8,0.064347
17,15,0.091073
18,8,0.075511
19,7,0.087466
20,5,0.080680
21,7,0.067995
22,13,0.084946
23,9,0.081843
24,7,0.068732
25,7,0.069757
26,13,0.078723
27,6,0.056299
28,6,0.068017
29,8,0.066577
30,3,0.046363
31,8,0.072391
32,8,0.063010
33,8,0.078435
34,21,0.085136
35,19,0.091921
36,13,0.087177
37,9,0.082233
38,19,0.079112
39,15,0.083749
40,12,0.082549
41,8,0.071683
42,8,0.073183
43,7,0.082929
44,9,0.064563
45,10,0.060887
46,13,0.082426
47,9,0.085232
48,3,0.060353
49,5,0.080354
50,9,0.076759
51,9,0.100059
52,16,0.084958
53,9,0.081995
54,9,0.075279
55,12,0.091367
56,3,0.073321
57,5,0.054033
58,5,0.075283
59,3,0.045114
60,9,0.071438
61,5,0.080978
62,9,0.070652
63,9,0.077877
64,9,0.091003
65,8,0.103873
66,7,0.098094
67,7,0.062811
68,10,0.063770
69,11,0.077330
70,22,0.085306
71,11,0.090797
72,2,0.031514
73,8,0.062285
74,11,0.068105
75,7,0.066769
76,6,0.057174
77,5,0.087716
78,10,0.065086
79,4,0.062617
80,7,0.071465
81,7,0.064266
82,18,0.096453
83,11,0.089533
84,9,0.070889
85,7,0.080968
86,8,0.047878
87,10,0.085737
88,10,0.093301
89,21,0.086190
90,5,0.081399
91,9,0.070331
92,12,0.076745
93,10,0.079587
94,8,0.072939
95,15,0.087972
96,7,0.081193
97,5,0.054730
98,7,0.077792
99,6,0.072401
100,5,0.061066
101,6,0.062786
102,10,0.076379
103,6,0.084794
104,17,0.086618
105,21,0.083438
106,7,0.077345
107,12,0.072831
108,8,0.060823
109,11,0.072253
110,9,0.082617
111,6,0.066385
112,6,0.066195
113,9,0.084358
114,10,0.061075
115,4,0.047254
116,3,0.064244
117,6,0.061445
118,6,0.059424
119,6,0.080466
120,4,0.066770
121,7,0.085936
122,5,0.058264
123,3,0.046779
124,4,0.071181
125,10,0.078944
126,6,0.110571
127,5,0.081982
128,7,0.077972
129,5,0.064614
130,4,0.047224
131,7,0.086969
132,4,0.054951
133,2,0.032176
134,5,0.060201
135,5,0.077244
136,5,0.053028
137,5,0.084507
138,7,0.070778
139,2,0.036057
140,2,0.040825
141,3,0.048534
142,2,0.033021
143,3,0.045621
144,6,0.077063
145,4,0.098712
146,6,0.056481
147,7,0.090985
148,9,0.069763
149,7,0.068099
150,6,0.073497
151,6,0.070978
152,9,0.085994
153,9,0.080332
154,6,0.075693
155,5,0.081827
156,5,0.072497
157,6,0.073187
158,3,0.072177
159,4,0.053981
160,7,0.061085
161,6,0.083237
162,10,0.081601
163,5,0.066280
164,9,0.072888
165,12,0.078872
166,8,0.068091
167,8,0.079245
168,17,0.093404
169,13,0.082212
170,13,0.072256
171,6,0.066271
172,19,0.075114
173,10,0.075479
174,13,0.080926
175,10,0.066710
176,14,0.083638
177,17,0.077517
178,10,0.064867
179,14,0.095147
180,13,0.071070
181,10,0.087724
182,8,0.068805
183,10,0.075945
184,11,0.091975
185,12,0.083378
186,7,0.072121
187,10,0.079020
188,10,0.075378
189,10,0.074013
190,7,0.088322
191,8,0.078924
192,7,0.068666
193,15,0.084719
194,10,0.070505
195,16,0.071800
196,13,0.073962
197,11,0.089409
198,16,0.075877
199,17,0.072804
200,16,0.077541
201,20,0.084208
202,19,0.091594
203,14,0.082777
204,17,0.076327
205,22,0.093035
206,15,0.085990
207,10,0.072987
208,9,0.081714
209,20,0.081710
210,22,0.080011
211,17,0.075866
212,15,0.079699
