codeword,minDistortion
13,0.108489
15,0.064282
13,0.117509
13,0.093869
13,0.080219
14,0.068745
15,0.068728
14,0.108454
12,0.088364
13,0.065048
13,0.071879
13,0.084127
12,0.121414
12,0.146575
12,0.101576
10,0.094790
9,0.141909
9,0.081234
10,0.141772
9,0.136393
10,0.117769
9,0.128883
9,0.060846
9,0.090916
9,0.108008
9,0.199490
14,0.126455
14,0.117893
14,0.126991
15,0.084692
14,0.175689
14,0.098041
15,0.081402
15,0.092392
15,0.069490
15,0.097898
14,0.209828
14,0.100076
14,0.056325
14,0.058063
14,0.083360
15,0.122519
14,0.156247
14,0.108545
15,0.138187
13,0.088244
14,0.081389
13,0.111188
13,0.091949
13,0.095653
13,0.111385
12,0.084173
13,0.071420
13,0.062475
12,0.123798
12,0.128601
12,0.098970
12,0.075875
12,0.093029
9,0.110600
9,0.085334
9,0.078527
9,0.088396
9,0.158483
8,0.110247
8,0.097763
8,0.114814
8,0.103129
9,0.124369
12,0.152391
12,0.120770
12,0.092462
14,0.128935
14,0.122362
15,0.181224
14,0.088129
14,0.106784
14,0.095278
15,0.122589
14,0.113627
14,0.125732
15,0.111380
15,0.069699
15,0.098805
14,0.091711
15,0.099527
15,0.087447
14,0.080614
14,0.097839
14,0.127809
14,0.127652
15,0.063967
14,0.090634
14,0.109294
14,0.074857
14,0.094819
14,0.111791
15,0.130833
15,0.160642
15,0.116133
14,0.091220
14,0.079696
14,0.092837
14,0.094909
13,0.064682
13,0.150947
12,0.110240
12,0.085494
9,0.086616
9,0.081378
8,0.116279
8,0.071685
8,0.112347
8,0.107215
12,0.082489
12,0.138791
14,0.103447
15,0.111622
15,0.086346
14,0.090593
14,0.105635
15,0.089447
15,0.058214
15,0.081130
14,0.168303
15,0.119449
14,0.127859
14,0.129589
14,0.073384
14,0.086334
15,0.131926
15,0.099537
14,0.060740
15,0.058913
15,0.116209
15,0.105525
14,0.087807
14,0.084618
14,0.063924
15,0.110909
15,0.080663
14,0.133117
14,0.123981
12,0.097449
12,0.118290
12,0.115675
9,0.134518
9,0.103318
9,0.104868
9,0.082746
9,0.104877
13,0.127608
13,0.070956
14,0.138513
14,0.125875
14,0.161991
14,0.122162
15,0.105550
15,0.096502
15,0.065865
15,0.102059
15,0.152390
15,0.064411
15,0.067252
14,0.146582
15,0.137130
14,0.121884
14,0.073658
14,0.060869
15,0.103607
14,0.106188
15,0.064536
15,0.071439
14,0.086900
14,0.112288
14,0.146394
13,0.082237
14,0.104103
13,0.075985
13,0.084533
12,0.117471
12,0.122469
12,0.097398
9,0.092230
9,0.096404
9,0.090673
12,0.098953
9,0.114579
13,0.106612
13,0.109109
14,0.120224
14,0.151754
14,0.084228
15,0.079817
15,0.136556
15,0.109004
14,0.074865
15,0.074907
15,0.066071
15,0.069648
14,0.097319
14,0.164026
15,0.098408
15,0.066441
15,0.074462
14,0.090549
15,0.136648
14,0.119260
14,0.050123
13,0.096562
13,0.071551
13,0.089265
12,0.132096
12,0.118775
13,0.073775
13,0.127163
13,0.088234
13,0.123524
14,0.124509
14,0.086102
14,0.107313
14,0.128623
9,0.164674
9,0.114013
9,0.073953
9,0.134899
12,0.087146
14,0.168790
14,0.098231
15,0.088114
14,0.111005
15,0.050245
14,0.072475
14,0.102883
15,0.100096
14,0.102725
14,0.087328
15,0.062867
15,0.160959
15,0.134283
14,0.145294
15,0.142055
15,0.125371
13,0.108576
13,0.064792
12,0.084598
12,0.087720
12,0.103988
12,0.055819
12,0.091820
13,0.088432
12,0.089144
13,0.089059
14,0.080829
14,0.113347
