index,cardinality,distortion
0,19,0.161136
1,23,0.147239
2,26,0.141774
3,25,0.157553
4,20,0.127073
5,19,0.163474
6,31,0.144246
7,19,0.156776
8,18,0.201216
9,41,0.169296
10,18,0.163797
11,15,0.177270
12,19,0.187473
13,32,0.177451
14,13,0.204865
15,10,0.247015
16,34,0.161052
17,37,0.135395
18,34,0.143310
19,35,0.154534
20,20,0.156283
21,35,0.155905
22,24,0.149907
23,20,0.140297
24,12,0.164605
25,19,0.167020
26,24,0.183545
27,25,0.192304
28,23,0.123817
29,48,0.149387
30,20,0.146990
31,20,0.158937
32,40,0.122849
33,46,0.106659
34,33,0.110515
35,68,0.115207
36,29,0.140615
37,37,0.120748
38,48,0.110580
39,51,0.109485
40,20,0.160127
41,35,0.169878
42,32,0.147440
43,15,0.152131
44,30,0.158567
45,33,0.155002
46,30,0.150616
47,20,0.141124
48,26,0.162868
49,33,0.144166
50,44,0.137192
51,25,0.138919
52,29,0.156517
53,30,0.131021
54,32,0.158913
55,28,0.135689
56,55,0.139749
57,33,0.132501
58,50,0.113511
59,30,0.141334
60,36,0.132004
61,60,0.120326
62,37,0.151238
63,48,0.130776
64,30,0.094561
65,31,0.098469
66,33,0.098318
67,28,0.093943
68,15,0.094926
69,26,0.090494
70,16,0.103338
71,6,0.176572
72,39,0.103764
73,36,0.100883
74,51,0.090743
75,34,0.094788
76,12,0.107055
77,16,0.120119
78,13,0.133073
79,17,0.125101
80,31,0.089405
81,43,0.084474
82,43,0.087042
83,62,0.088853
84,55,0.092313
85,50,0.092624
86,35,0.106004
87,40,0.103458
88,47,0.100442
89,56,0.102268
90,52,0.101071
91,66,0.095063
92,75,0.094835
93,85,0.094326
94,99,0.086570
95,104,0.097159
96,52,0.091190
97,52,0.095862
98,53,0.095603
99,56,0.086542
100,74,0.092347
101,68,0.093270
102,58,0.088536
103,52,0.086067
104,69,0.089221
105,76,0.082574
106,95,0.086761
107,69,0.086442
108,75,0.085188
109,89,0.089349
110,86,0.088271
111,71,0.086964
112,39,0.103220
113,34,0.103939
114,65,0.104448
115,80,0.089626
116,93,0.090514
117,111,0.092029
118,123,0.089624
119,92,0.091544
120,89,0.089419
121,95,0.091466
122,91,0.092463
123,86,0.088745
124,85,0.085887
125,98,0.083842
126,92,0.087149
127,72,0.091329
128,8,0.109194
129,14,0.093143
130,9,0.134904
131,12,0.122958
132,15,0.203273
