codeword,minDistortion
5,0.212208
5,0.126482
5,0.147751
5,0.187353
5,0.095169
5,0.103249
5,0.148860
5,0.168609
5,0.112434
5,0.164666
5,0.107422
5,0.115812
5,0.122481
5,0.136433
5,0.079180
5,0.085075
5,0.081929
5,0.103167
5,0.082385
5,0.105202
5,0.105988
5,0.074850
5,0.059794
5,0.091567
5,0.091811
5,0.095859
5,0.075796
5,0.082715
5,0.069860
5,0.078434
5,0.065733
5,0.061666
5,0.084807
5,0.086435
5,0.095163
5,0.093814
5,0.102145
5,0.117098
5,0.125918
5,0.083135
5,0.135099
5,0.089664
5,0.069345
5,0.076295
5,0.070592
5,0.132240
5,0.113264
5,0.104760
5,0.069304
5,0.097372
5,0.122754
5,0.095297
5,0.100288
5,0.046921
5,0.070349
5,0.117580
5,0.087527
5,0.084639
5,0.128944
5,0.082016
5,0.080116
5,0.066844
5,0.087638
5,0.062262
5,0.102702
5,0.076465
5,0.121996
5,0.136668
5,0.126727
5,0.091804
5,0.101864
5,0.142767
5,0.087040
5,0.077932
5,0.128295
5,0.060009
5,0.097971
5,0.088005
5,0.136235
5,0.193334
5,0.183599
5,0.099201
5,0.156805
5,0.124879
5,0.120593
5,0.087776
5,0.132857
5,0.173067
5,0.132278
5,0.099930
5,0.083250
5,0.093251
5,0.086216
5,0.098655
5,0.127279
5,0.089866
5,0.108683
5,0.104593
5,0.067504
5,0.106563
5,0.092373
5,0.089648
5,0.126060
5,0.121729
5,0.062779
5,0.109008
5,0.128283
5,0.067178
5,0.069952
5,0.073678
5,0.079261
5,0.078654
5,0.088589
5,0.098721
5,0.106163
5,0.129153
5,0.091343
5,0.106002
5,0.078490
5,0.112032
5,0.114737
5,0.043668
5,0.086216
5,0.058046
5,0.092886
5,0.074009
5,0.079580
5,0.060915
5,0.084760
5,0.085196
5,0.091506
5,0.112389
5,0.144629
5,0.099694
5,0.090882
5,0.125712
5,0.100666
5,0.198553
5,0.160105
5,0.166788
5,0.122792
5,0.121830
5,0.136873
5,0.103593
5,0.085262
5,0.138321
5,0.060785
5,0.100905
5,0.147407
5,0.095573
5,0.100346
5,0.123979
5,0.109641
5,0.182768
5,0.097537
5,0.135082
5,0.099515
5,0.085068
5,0.088546
5,0.063909
5,0.149854
5,0.113173
5,0.091662
5,0.046520
5,0.074517
5,0.114623
5,0.113561
5,0.073090
5,0.109924
5,0.095187
5,0.066602
5,0.092661
5,0.085163
5,0.093832
5,0.129001
5,0.079787
5,0.082140
5,0.109803
5,0.085234
5,0.083753
5,0.109274
5,0.093009
5,0.106401
5,0.119812
5,0.099646
5,0.107083
5,0.098150
5,0.057940
5,0.082026
5,0.124562
5,0.118245
5,0.083982
5,0.103364
5,0.110154
5,0.101888
5,0.129213
5,0.146852
5,0.136114
5,0.135678
5,0.188641
5,0.120953
5,0.213179
5,0.118757
5,0.096338
5,0.110875
5,0.062276
5,0.096737
5,0.072165
5,0.147145
5,0.113039
5,0.139857
5,0.086218
5,0.095725
5,0.098888
5,0.120559
5,0.140949
5,0.146682
5,0.140370
5,0.119525
5,0.129505
5,0.108743
5,0.147167
5,0.179977
5,0.122840
5,0.067980
5,0.120806
5,0.092589
5,0.069992
5,0.109880
5,0.104651
5,0.111480
5,0.082309
