index,cardinality,distortion
0,0,NaN
1,0,NaN
2,0,NaN
3,0,NaN
4,0,NaN
5,0,NaN
6,0,NaN
7,0,NaN
8,0,NaN
9,0,NaN
10,0,NaN
11,0,NaN
12,0,NaN
13,0,NaN
14,0,NaN
15,0,NaN
16,0,NaN
17,0,NaN
18,0,NaN
19,0,NaN
20,0,NaN
21,0,NaN
22,0,NaN
23,0,NaN
24,0,NaN
25,0,NaN
26,0,NaN
27,0,NaN
28,0,NaN
29,0,NaN
30,0,NaN
31,0,NaN
32,0,NaN
33,0,NaN
34,0,NaN
35,0,NaN
36,0,NaN
37,0,NaN
38,0,NaN
39,0,NaN
40,0,NaN
41,0,NaN
42,0,NaN
43,0,NaN
44,0,NaN
45,0,NaN
46,0,NaN
47,0,NaN
48,0,NaN
49,0,NaN
50,0,NaN
51,0,NaN
52,0,NaN
53,0,NaN
54,0,NaN
55,0,NaN
56,0,NaN
57,0,NaN
58,0,NaN
59,0,NaN
60,0,NaN
61,0,NaN
62,0,NaN
63,0,NaN
64,0,NaN
65,0,NaN
66,0,NaN
67,0,NaN
68,0,NaN
69,0,NaN
70,0,NaN
71,0,NaN
72,0,NaN
73,0,NaN
74,0,NaN
75,0,NaN
76,0,NaN
77,0,NaN
78,0,NaN
79,0,NaN
80,0,NaN
81,0,NaN
82,0,NaN
83,0,NaN
84,0,NaN
85,0,NaN
86,0,NaN
87,0,NaN
88,0,NaN
89,0,NaN
90,0,NaN
91,0,NaN
92,0,NaN
93,0,NaN
94,0,NaN
95,0,NaN
96,0,NaN
97,0,NaN
98,0,NaN
99,0,NaN
100,0,NaN
101,0,NaN
102,0,NaN
103,0,NaN
104,0,NaN
105,0,NaN
106,0,NaN
107,0,NaN
108,0,NaN
109,0,NaN
110,0,NaN
111,0,NaN
112,0,NaN
113,0,NaN
114,0,NaN
115,0,NaN
116,0,NaN
117,0,NaN
118,0,NaN
119,0,NaN
120,0,NaN
121,0,NaN
122,0,NaN
123,0,NaN
124,0,NaN
125,0,NaN
126,0,NaN
127,0,NaN
128,1,0.000000
129,0,NaN
130,1,-0.000000
131,0,NaN
132,1,-0.000000
133,2,0.026139
134,1,-0.000000
135,0,NaN
136,1,0.000000
137,0,NaN
138,1,-0.000000
139,1,-0.000000
140,1,0.000000
141,0,NaN
142,1,0.000000
143,0,NaN
144,2,0.041119
145,3,0.035009
146,1,-0.000000
147,3,0.049847
148,2,0.025788
149,2,0.042006
150,2,0.045045
151,2,0.080370
152,1,0.000000
153,2,0.016695
154,1,0.000000
155,1,0.000000
156,2,0.038523
157,2,0.027061
158,1,0.000000
159,2,0.024878
160,7,0.058011
161,10,0.068876
162,10,0.059859
163,9,0.060393
164,11,0.085184
165,9,0.067285
166,8,0.056911
167,10,0.066122
168,11,0.077354
169,11,0.067994
170,13,0.078154
171,16,0.062921
172,12,0.070834
173,16,0.075976
174,11,0.068133
175,8,0.072843
176,7,0.061824
177,10,0.072062
178,6,0.071584
179,4,0.050532
180,8,0.066266
181,9,0.073438
182,10,0.066161
183,6,0.060506
184,7,0.060428
185,7,0.062683
186,6,0.051434
187,8,0.068921
188,5,0.071088
189,7,0.079663
190,5,0.055775
191,4,0.057925
192,29,0.084392
193,27,0.083705
194,36,0.087542
195,24,0.082402
196,13,0.075548
197,13,0.081859
198,14,0.075121
199,14,0.085736
200,12,0.102286
201,23,0.089129
202,25,0.092899
203,17,0.084623
204,18,0.079570
205,15,0.090986
206,31,0.088692
207,28,0.083438
208,15,0.095186
209,13,0.087119
210,15,0.080288
211,13,0.089955
212,28,0.086726
213,24,0.085186
214,31,0.085178
215,32,0.083399
216,16,0.074538
217,23,0.078909
218,22,0.073672
219,13,0.075445
220,11,0.068614
221,10,0.071355
222,16,0.067130
223,12,0.076529
224,20,0.092418
225,23,0.085775
226,18,0.081517
227,27,0.085602
228,18,0.095594
229,27,0.082309
230,22,0.068358
231,29,0.086911
232,26,0.089435
233,18,0.087372
234,40,0.085582
235,21,0.088190
236,23,0.087377
237,20,0.087135
238,32,0.081722
239,23,0.082666
240,14,0.077244
241,20,0.082975
242,20,0.077376
243,18,0.075496
244,15,0.075739
245,20,0.077978
246,21,0.078323
247,16,0.079869
248,31,0.081367
249,23,0.086450
250,29,0.074731
251,26,0.088527
252,25,0.083484
253,26,0.084846
254,18,0.069536
255,20,0.077899
