codeword,minDistortion
1,0.100129
1,0.184243
1,0.213696
1,0.149818
1,0.136770
1,0.120126
1,0.142253
1,0.165681
1,0.208263
1,0.117089
1,0.162198
1,0.132650
1,0.157590
1,0.131570
1,0.154759
1,0.171831
1,0.189751
1,0.174411
1,0.124818
1,0.187273
1,0.120709
1,0.187319
1,0.129565
1,0.178047
1,0.187263
1,0.217209
1,0.245486
1,0.172536
1,0.189545
1,0.248647
1,0.248886
1,0.259855
1,0.283688
1,0.147112
1,0.125511
1,0.212119
1,0.352518
1,0.377514
1,0.547493
0,0.778832
0,0.740068
0,0.631757
0,0.497648
0,0.551298
0,0.702311
0,0.744225
0,0.638141
0,0.717573
0,0.818981
0,0.913710
0,1.001576
0,1.434671
0,1.229752
0,1.241886
0,1.574656
0,1.101913
0,0.718023
0,0.622785
0,0.962507
0,1.436802
0,1.358999
0,0.968883
1,0.465738
0,0.240589
0,0.249061
1,0.231941
1,0.226365
1,0.326705
0,0.572995
0,0.749951
1,0.623646
1,0.431052
1,0.503466
1,0.513115
0,0.637636
0,1.132916
0,1.086798
0,0.868862
1,0.836018
0,0.942732
0,1.497857
0,1.672906
0,1.485678
0,1.329042
0,0.954361
0,0.865584
0,0.776841
0,1.178651
0,1.119166
0,0.989510
0,0.962543
0,0.947916
0,0.795740
0,0.597302
0,0.795718
0,0.891099
1,0.745210
0,0.661328
0,0.666221
0,0.768468
0,0.661714
0,0.747381
0,0.741970
0,0.677019
0,0.710004
0,0.673864
0,0.762151
0,0.984295
0,0.656039
0,0.739997
1,0.660227
1,0.567799
1,0.539322
1,0.423234
0,0.503463
1,0.638400
1,0.604226
1,0.478100
1,0.419799
1,0.432859
1,0.431415
1,0.359373
1,0.249262
1,0.308970
1,0.185825
1,0.164438
1,0.221665
1,0.255788
1,0.233462
1,0.179542
1,0.155659
1,0.184468
1,0.195778
1,0.294919
1,0.200861
1,0.255022
1,0.207898
1,0.174553
1,0.178762
1,0.186585
1,0.160042
1,0.191612
1,0.189597
1,0.182687
1,0.172025
1,0.146671
1,0.122884
1,0.138478
1,0.200037
1,0.172518
1,0.184423
1,0.173461
1,0.157915
1,0.121315
1,0.128542
1,0.120670
1,0.135185
1,0.160634
1,0.166853
1,0.241873
1,0.156957
1,0.176641
1,0.193818
1,0.130722
1,0.168614
1,0.130054
1,0.144870
1,0.156807
1,0.191366
1,0.195816
1,0.133478
1,0.167082
1,0.140356
1,0.118761
1,0.170321
1,0.154017
1,0.188354
1,0.145535
1,0.154762
1,0.136012
1,0.149901
1,0.140063
1,0.250371
1,0.146828
1,0.111113
1,0.160547
1,0.145283
1,0.130835
1,0.138494
1,0.147780
1,0.146021
1,0.166714
1,0.119649
1,0.182700
1,0.136206
1,0.170255
1,0.151795
1,0.198243
1,0.168970
1,0.221998
1,0.240021
1,0.320149
1,0.247282
1,0.197472
1,0.285822
1,0.241691
1,0.305682
1,0.366578
1,0.269635
1,0.298471
1,0.222561
1,0.345123
1,0.290645
1,0.307089
1,0.311052
1,0.283462
1,0.346661
0,0.472022
0,0.456745
1,0.522438
0,0.503255
0,0.490723
0,0.526356
0,0.427179
0,0.418477
0,0.434077
1,0.417675
1,0.266354
1,0.335298
1,0.236621
0,0.258945
0,0.292946
0,0.280419
1,0.308277
0,0.290678
0,0.396223
0,0.333124
1,0.264048
0,0.240624
0,0.349487
1,0.278934
1,0.200558
1,0.193637
1,0.145901
1,0.226980
0,0.289430
0,0.347630
0,0.388435
1,0.248305
0,0.291730
1,0.366187
0,0.413094
0,0.417356
0,0.415079
0,0.386479
0,0.350404
0,0.642025
0,0.609478
0,0.617470
0,0.757348
0,0.481917
0,0.582518
0,0.566935
0,0.615284
0,0.591175
1,0.338282
1,0.558546
0,0.672058
0,0.669083
0,0.756663
0,0.953717
0,0.927179
0,1.063064
0,1.112676
0,0.991009
0,0.953654
0,0.840499
0,0.815607
0,0.955204
0,0.760321
0,0.619567
1,0.542295
1,0.446941
0,0.762764
0,1.089842
0,1.143978
0,0.596258
0,0.662864
0,0.795124
0,0.822213
0,0.725588
1,0.603638
1,0.444490
0,0.618892
1,0.590667
1,0.359031
1,0.284138
1,0.273863
1,0.236207
1,0.151394
1,0.119455
1,0.184427
1,0.174263
1,0.151829
1,0.136849
1,0.154292
1,0.156003
1,0.132431
1,0.154609
1,0.100429
1,0.135746
1,0.094344
1,0.086222
1,0.136879
1,0.158184
1,0.244212
1,0.138579
1,0.141061
1,0.161820
1,0.193990
1,0.170499
1,0.113860
1,0.136168
1,0.133707
1,0.139521
1,0.108916
1,0.155651
1,0.197662
1,0.185800
1,0.142438
1,0.143564
1,0.154572
1,0.114836
1,0.161676
1,0.136980
1,0.105234
1,0.120045
1,0.163640
1,0.184247
1,0.098056
1,0.151067
1,0.098854
1,0.114441
1,0.141354
1,0.107705
1,0.060020
1,0.109844
1,0.127627
1,0.177537
1,0.179767
1,0.157812
1,0.160875
1,0.145916
1,0.135894
1,0.145964
1,0.123226
1,0.130391
1,0.139981
1,0.101862
1,0.139949
1,0.118383
1,0.192130
1,0.134905
1,0.136479
1,0.159185
1,0.147758
1,0.136885
1,0.149182
1,0.263995
1,0.234976
1,0.237391
1,0.219487
1,0.209657
1,0.244826
1,0.183028
1,0.213867
1,0.181460
1,0.152806
1,0.201830
1,0.200582
1,0.199451
1,0.264267
1,0.254772
1,0.257778
1,0.225646
1,0.237281
1,0.308337
1,0.279865
1,0.354584
0,0.369223
1,0.373906
1,0.353165
1,0.234519
1,0.344957
1,0.362029
0,0.302599
0,0.325732
1,0.388061
0,0.368609
1,0.304810
1,0.323410
1,0.291934
1,0.186893
0,0.226698
1,0.255690
1,0.196989
1,0.281410
1,0.213800
1,0.213215
1,0.179864
1,0.205292
1,0.174740
1,0.202160
1,0.162373
1,0.244327
1,0.351822
0,0.551861
0,0.384662
0,0.364599
1,0.464252
0,0.453955
1,0.506337
1,0.317241
1,0.316694
1,0.267532
1,0.263973
1,0.092787
1,0.126963
1,0.152070
1,0.103303
1,0.190853
1,0.076444
1,0.110296
1,0.096514
1,0.097136
1,0.130446
1,0.089162
1,0.106452
1,0.101739
1,0.085460
1,0.101135
1,0.119197
1,0.153397
1,0.111607
1,0.129251
1,0.131118
1,0.141955
1,0.112503
1,0.137499
1,0.101687
1,0.120687
1,0.126060
1,0.134189
1,0.071095
1,0.105377
1,0.116015
1,0.109795
1,0.084761
1,0.132195
1,0.178674
1,0.207247
1,0.110480
1,0.083844
1,0.168830
1,0.135476
1,0.136422
1,0.138880
1,0.192367
1,0.133479
1,0.162733
1,0.087530
1,0.140727
1,0.148240
1,0.119439
1,0.114344
1,0.200905
1,0.159764
1,0.133508
1,0.113552
1,0.106563
1,0.132785
1,0.116741
1,0.088107
1,0.098064
1,0.142973
1,0.146152
1,0.074308
1,0.080803
1,0.143128
1,0.134593
1,0.141116
1,0.163712
1,0.175762
1,0.169175
1,0.124385
1,0.123406
1,0.191397
1,0.194224
1,0.189451
1,0.185153
1,0.225942
1,0.226503
1,0.231041
1,0.212317
1,0.226674
1,0.261466
1,0.242291
1,0.294959
1,0.317643
1,0.327530
1,0.309303
1,0.324199
1,0.356117
0,0.413795
1,0.324276
0,0.319425
0,0.517388
0,0.363853
1,0.323565
1,0.393254
1,0.366863
1,0.284137
0,0.332130
1,0.362389
1,0.244161
0,0.259632
1,0.376983
1,0.343964
1,0.371160
1,0.345367
1,0.325924
1,0.356089
1,0.365387
1,0.326792
1,0.336850
1,0.322768
1,0.368003
1,0.367568
1,0.265636
1,0.261604
1,0.248970
1,0.276477
1,0.388736
1,0.507483
0,0.678232
0,0.865491
0,0.878926
0,1.057010
0,0.965242
1,0.618725
0,0.561745
0,0.501998
0,0.526569
0,0.571100
0,0.560826
0,0.495840
0,0.477570
0,0.599396
1,0.530799
0,0.650544
0,0.686418
0,0.630446
0,0.572255
0,0.635501
0,0.624254
0,0.844055
0,0.865049
0,0.778901
0,0.748305
0,0.679247
0,0.676833
0,0.803667
0,0.803010
0,0.753309
0,0.959545
0,1.118325
0,0.827433
0,0.764943
0,0.639128
0,0.523511
0,0.726303
0,0.558493
1,0.409178
0,0.525073
0,0.584891
1,0.390800
1,0.444020
0,0.604868
0,0.584200
0,0.769374
0,0.685759
0,0.614139
0,0.747387
0,0.748279
0,0.752794
1,0.621622
1,0.458851
1,0.343310
1,0.245758
1,0.182513
1,0.089049
1,0.080259
1,0.151593
1,0.127192
1,0.112450
1,0.164256
1,0.153761
1,0.127264
1,0.137578
1,0.147965
1,0.181915
1,0.143589
1,0.122324
1,0.121130
1,0.118644
1,0.158492
1,0.180106
1,0.174893
1,0.127989
1,0.148691
1,0.142657
1,0.132816
1,0.095171
1,0.116528
1,0.133174
1,0.183845
1,0.115045
1,0.156974
1,0.219280
1,0.167489
1,0.193776
1,0.137944
1,0.148214
1,0.118011
1,0.089759
1,0.117460
1,0.104591
1,0.126348
1,0.157923
1,0.164705
1,0.132181
1,0.113690
1,0.132215
1,0.171907
1,0.206065
1,0.185004
1,0.197308
1,0.274824
1,0.230207
1,0.120268
1,0.206593
1,0.181652
1,0.184083
1,0.148176
1,0.204587
1,0.277391
1,0.326631
1,0.252973
1,0.252336
1,0.207811
1,0.281639
1,0.377895
1,0.323460
0,0.347780
1,0.308692
1,0.415634
1,0.546815
1,0.424385
0,0.355429
0,0.501230
0,0.613256
0,0.479699
1,0.376793
0,0.407910
0,0.591381
0,0.433388
0,0.412044
1,0.419747
0,0.443544
0,0.389888
0,0.502000
0,0.400950
0,0.448575
0,0.595268
0,0.826535
0,1.046165
0,0.557875
0,0.749251
0,0.742391
0,0.629402
0,0.571981
0,0.628948
0,0.731586
0,0.549056
0,0.544713
0,0.777604
0,0.896859
0,0.571229
0,0.489251
0,0.437754
0,0.405569
0,0.430336
0,0.484520
0,0.606665
0,0.758958
0,0.910989
