index,cardinality,distortion
0,140,0.094677
1,128,0.091226
2,121,0.100492
3,110,0.096828
4,168,0.094892
5,153,0.094201
6,110,0.104374
7,126,0.107545
8,150,0.103109
9,131,0.119187
10,119,0.117518
11,107,0.120501
12,66,0.156231
13,101,0.130609
14,66,0.172239
15,61,0.156673
16,88,0.109730
17,90,0.094909
18,97,0.097943
19,87,0.105518
20,41,0.171523
21,37,0.196733
22,43,0.159412
23,35,0.174585
24,190,0.098289
25,168,0.097157
26,170,0.098060
27,149,0.099074
28,48,0.128965
29,72,0.113670
30,109,0.110225
31,81,0.125031
32,49,0.100917
33,58,0.098263
34,92,0.118305
35,52,0.104913
36,53,0.153855
37,50,0.156972
38,19,0.218030
39,11,0.182743
40,104,0.096036
41,105,0.103209
42,121,0.099338
43,83,0.094360
44,33,0.176698
45,46,0.151271
46,77,0.124257
47,59,0.117828
48,95,0.097586
49,64,0.102014
50,65,0.107623
51,97,0.103039
52,169,0.095352
53,193,0.092343
54,160,0.092204
55,96,0.096451
56,140,0.096831
57,135,0.094799
58,139,0.094633
59,157,0.092328
60,111,0.093216
61,103,0.094193
62,127,0.089815
63,116,0.092525
64,71,0.116870
65,57,0.116174
66,89,0.123125
67,83,0.131855
68,139,0.098444
69,206,0.097877
70,175,0.119718
71,114,0.122731
72,130,0.110047
73,83,0.100760
74,186,0.096908
75,182,0.097555
76,152,0.105827
77,224,0.096294
78,130,0.102339
79,195,0.094281
80,71,0.115645
81,81,0.119948
82,83,0.111072
83,68,0.100583
84,52,0.089066
85,146,0.096051
86,85,0.116843
87,90,0.111819
88,158,0.094382
89,188,0.090566
90,204,0.095449
91,230,0.092882
92,205,0.096088
93,197,0.093727
94,235,0.088608
95,199,0.094211
96,78,0.161395
97,97,0.139806
98,64,0.164653
99,57,0.168821
100,103,0.117952
101,130,0.122399
102,69,0.151523
103,57,0.136752
104,40,0.168390
105,39,0.113163
106,9,0.122070
107,24,0.130211
108,65,0.109987
109,79,0.142004
110,79,0.119041
111,46,0.116394
112,140,0.104665
113,207,0.094140
114,109,0.100630
115,126,0.102328
116,251,0.086883
117,180,0.093640
118,155,0.098603
119,180,0.094034
120,211,0.097722
121,235,0.091508
122,168,0.102103
123,203,0.089174
124,221,0.093177
125,187,0.092926
126,238,0.093383
127,250,0.089926
128,44,0.172518
129,42,0.155249
130,55,0.163042
131,61,0.179504
132,121,0.112770
133,122,0.115243
134,117,0.111452
135,130,0.113316
136,65,0.157627
137,83,0.148287
138,32,0.182478
139,29,0.156139
140,86,0.140724
141,94,0.145129
142,25,0.194559
143,50,0.202697
144,72,0.137979
145,92,0.119751
146,48,0.125765
147,67,0.141844
148,79,0.160417
149,78,0.148228
150,55,0.142231
151,35,0.143729
152,48,0.167581
153,51,0.168563
154,39,0.142044
155,29,0.151813
156,68,0.161214
157,109,0.117174
158,41,0.101214
159,37,0.117289
160,31,0.163313
161,62,0.179427
162,46,0.203916
163,53,0.216825
164,55,0.202946
165,30,0.196361
166,24,0.164529
167,19,0.182677
168,33,0.155568
169,40,0.180843
170,45,0.182893
171,49,0.180016
172,44,0.209179
173,57,0.185728
174,41,0.136700
175,17,0.122026
176,25,0.228183
177,38,0.186210
178,24,0.166911
179,54,0.184808
180,84,0.189268
181,37,0.178483
182,47,0.178016
183,49,0.189554
184,54,0.174674
185,70,0.135785
186,60,0.160287
187,63,0.139294
188,64,0.153794
189,79,0.158651
190,69,0.154442
191,43,0.155227
192,65,0.146138
193,80,0.137346
194,62,0.141642
195,68,0.135917
196,37,0.157064
197,34,0.211094
198,92,0.129201
199,29,0.130789
200,87,0.130331
201,142,0.125753
202,38,0.131440
203,168,0.102501
