codeword,minDistortion
42,0.099387
42,0.115973
42,0.071881
42,0.093614
42,0.087667
42,0.080194
42,0.065995
42,0.075673
42,0.081864
42,0.099249
42,0.113151
42,0.055538
41,0.084217
42,0.095097
42,0.102287
42,0.131481
42,0.092641
42,0.108049
42,0.056766
42,0.077724
41,0.112982
42,0.108263
42,0.095835
40,0.119194
42,0.101599
41,0.113866
41,0.144836
41,0.078231
42,0.078167
41,0.117374
41,0.149115
42,0.114569
42,0.100686
41,0.100355
41,0.077679
41,0.092215
41,0.071250
41,0.157257
41,0.118088
43,0.071333
41,0.084446
41,0.088452
41,0.096894
42,0.097763
41,0.077084
41,0.093716
41,0.088227
41,0.115389
41,0.108308
41,0.105249
40,0.113810
40,0.121106
40,0.202011
41,0.145039
42,0.096958
40,0.098239
40,0.231467
41,0.207951
41,0.111482
41,0.115563
41,0.212662
41,0.135808
41,0.114890
41,0.109241
41,0.112675
41,0.062713
42,0.111677
41,0.104603
41,0.153799
41,0.133374
41,0.092221
41,0.107549
41,0.123194
41,0.091243
42,0.071152
41,0.083202
41,0.085227
41,0.070018
42,0.103443
41,0.086741
41,0.117282
41,0.069714
42,0.121152
41,0.081835
41,0.139081
41,0.127727
41,0.088888
41,0.114286
41,0.084285
41,0.104301
42,0.091450
41,0.052424
41,0.081926
42,0.084649
42,0.076645
41,0.091802
41,0.116201
41,0.080853
41,0.095709
41,0.112807
41,0.061899
41,0.089520
42,0.062483
41,0.110263
41,0.082480
42,0.079413
41,0.075883
41,0.097379
42,0.101196
42,0.054246
40,0.071671
41,0.114249
41,0.083695
41,0.143251
42,0.121393
42,0.117891
42,0.119778
42,0.063042
42,0.093492
42,0.116179
42,0.131331
42,0.125566
42,0.093816
42,0.113281
42,0.094982
42,0.086281
42,0.142196
42,0.059057
42,0.095475
42,0.121251
42,0.063783
42,0.095511
43,0.080709
43,0.084699
42,0.075484
42,0.060431
42,0.093314
42,0.154866
42,0.098360
42,0.111921
42,0.070363
41,0.135791
42,0.143775
42,0.102793
42,0.104504
42,0.094406
42,0.092833
42,0.079738
42,0.131000
42,0.091240
41,0.108399
41,0.068627
42,0.046978
42,0.132007
41,0.092063
41,0.092918
42,0.085581
42,0.064693
42,0.099654
41,0.077027
41,0.173922
42,0.093360
43,0.076391
42,0.094097
41,0.087280
42,0.089574
42,0.062194
41,0.127375
41,0.135367
42,0.049031
42,0.071328
41,0.079979
41,0.118349
41,0.106401
42,0.080195
42,0.090997
41,0.122541
41,0.057973
41,0.114653
42,0.123240
41,0.128769
42,0.074876
42,0.088321
42,0.090029
41,0.098692
41,0.082127
42,0.105315
42,0.109600
41,0.104604
41,0.104965
42,0.098352
42,0.086290
41,0.096683
41,0.080510
