codeword,minDistortion
4,0.175178
4,0.123844
4,0.137099
4,0.193486
4,0.111360
4,0.140147
4,0.113202
4,0.114658
4,0.102509
4,0.064736
4,0.148845
4,0.137713
4,0.095231
4,0.146670
4,0.151692
4,0.097166
4,0.109416
4,0.103292
4,0.104376
4,0.074693
4,0.116235
4,0.099984
4,0.170993
4,0.131071
4,0.126492
4,0.138709
4,0.097501
4,0.124565
4,0.179584
4,0.107466
4,0.146219
4,0.113397
4,0.086046
4,0.128911
4,0.119116
4,0.105925
4,0.133628
4,0.101870
4,0.094292
4,0.107320
4,0.122496
4,0.116149
4,0.125268
4,0.141443
4,0.114171
4,0.121664
4,0.155864
4,0.103075
4,0.102993
4,0.089775
4,0.121103
4,0.116877
4,0.122665
4,0.075753
4,0.129584
4,0.100107
4,0.097608
4,0.167134
4,0.180675
4,0.114384
4,0.133832
4,0.123832
4,0.098566
4,0.173896
4,0.097101
4,0.109503
4,0.102289
4,0.099256
4,0.103534
4,0.103256
4,0.072047
4,0.102660
4,0.123258
4,0.094779
4,0.146937
4,0.126324
4,0.094010
4,0.124551
4,0.114188
4,0.080529
4,0.121299
4,0.136699
4,0.114673
4,0.140995
4,0.119121
4,0.103046
4,0.133999
4,0.111602
4,0.107374
4,0.108257
4,0.121270
4,0.083517
4,0.102587
4,0.174211
4,0.153534
4,0.099483
4,0.075492
4,0.132192
4,0.083596
4,0.108785
4,0.107771
4,0.115475
4,0.094139
4,0.102030
4,0.070814
4,0.097704
4,0.097342
4,0.127346
4,0.132655
4,0.124374
4,0.079862
4,0.089413
4,0.114227
4,0.084707
4,0.071139
4,0.137053
4,0.109665
4,0.137307
4,0.106249
4,0.102443
4,0.144211
4,0.106378
4,0.122820
4,0.128613
4,0.138762
4,0.129528
4,0.139709
4,0.147625
4,0.202796
4,0.146981
4,0.137477
4,0.163639
4,0.167016
4,0.177859
4,0.099733
4,0.096419
4,0.156605
4,0.125641
4,0.110780
4,0.096452
4,0.132092
4,0.134852
4,0.093649
4,0.109100
4,0.120746
4,0.144298
4,0.180783
4,0.072514
4,0.139440
4,0.098093
4,0.140518
4,0.096112
4,0.089925
4,0.136927
4,0.158180
4,0.118792
4,0.108721
4,0.072418
4,0.114927
4,0.144565
4,0.163919
4,0.160652
4,0.150326
4,0.139676
4,0.097299
4,0.061093
4,0.125060
