index,cardinality,distortion
0,0,NaN
1,0,NaN
2,0,NaN
3,0,NaN
4,0,NaN
5,0,NaN
6,0,NaN
7,0,NaN
8,0,NaN
9,0,NaN
10,0,NaN
11,0,NaN
12,0,NaN
13,0,NaN
14,0,NaN
15,0,NaN
16,0,NaN
17,0,NaN
18,0,NaN
19,0,NaN
20,0,NaN
21,0,NaN
22,0,NaN
23,0,NaN
24,0,NaN
25,0,NaN
26,0,NaN
27,0,NaN
28,0,NaN
29,0,NaN
30,0,NaN
31,0,NaN
32,0,NaN
33,0,NaN
34,0,NaN
35,0,NaN
36,0,NaN
37,0,NaN
38,0,NaN
39,0,NaN
40,0,NaN
41,0,NaN
42,0,NaN
43,0,NaN
44,0,NaN
45,0,NaN
46,0,NaN
47,0,NaN
48,0,NaN
49,0,NaN
50,0,NaN
51,0,NaN
52,0,NaN
53,0,NaN
54,0,NaN
55,0,NaN
56,0,NaN
57,0,NaN
58,0,NaN
59,0,NaN
60,0,NaN
61,0,NaN
62,0,NaN
63,0,NaN
64,460,0.096988
65,470,0.097080
66,415,0.101990
67,291,0.101439
68,160,0.127858
69,258,0.110235
70,306,0.105071
71,377,0.111861
72,519,0.096097
73,543,0.097275
74,564,0.094159
75,415,0.095376
76,568,0.094244
77,482,0.095457
78,384,0.099542
79,472,0.100241
80,492,0.111883
81,626,0.107532
82,584,0.117527
83,562,0.108929
84,580,0.110808
85,613,0.106474
86,726,0.102491
87,804,0.099953
88,477,0.110053
89,563,0.111810
90,620,0.110197
91,608,0.108314
92,731,0.103333
93,582,0.107114
94,1094,0.099939
95,824,0.100401
96,334,0.120742
97,667,0.117131
98,354,0.123780
99,396,0.130911
100,246,0.152455
101,161,0.218209
102,431,0.125008
103,249,0.139298
104,280,0.136102
105,424,0.131101
106,434,0.118412
107,505,0.118723
108,282,0.169448
109,364,0.133333
110,535,0.117326
111,374,0.131003
112,368,0.132788
113,387,0.123738
114,616,0.109149
115,493,0.116708
116,472,0.126120
117,623,0.116442
118,663,0.111487
119,611,0.110479
120,698,0.110647
121,676,0.115417
122,897,0.100408
123,684,0.107944
124,411,0.115502
125,631,0.104764
126,789,0.101120
127,638,0.105239
