index,cardinality,distortion
0,180,0.113006
1,257,0.102698
2,240,0.113932
3,223,0.130435
4,264,0.120328
5,254,0.125884
6,343,0.109179
7,324,0.109236
8,199,0.159605
9,221,0.144214
10,219,0.170610
11,258,0.154983
12,136,0.142146
13,152,0.161853
14,71,0.188325
15,58,0.205149
16,209,0.193138
17,171,0.150240
18,201,0.164959
19,205,0.179933
20,187,0.197610
21,225,0.188636
22,246,0.193127
23,91,0.227566
24,262,0.184156
25,195,0.191401
26,125,0.203171
27,116,0.224658
28,269,0.179626
29,184,0.205477
30,141,0.218251
31,213,0.202052
32,318,0.124258
33,142,0.152283
34,357,0.114727
35,410,0.123471
36,172,0.192174
37,234,0.148272
38,463,0.121952
39,538,0.109929
40,198,0.175365
41,201,0.196716
42,223,0.166829
43,213,0.167919
44,394,0.134441
45,373,0.124781
46,199,0.163849
47,215,0.160329
48,149,0.129565
49,171,0.147352
50,223,0.164040
51,217,0.142408
52,271,0.157350
53,188,0.141815
54,181,0.145648
55,258,0.134639
56,304,0.135505
57,296,0.127436
58,373,0.114624
59,391,0.115496
60,292,0.146073
61,318,0.125635
62,200,0.137159
63,318,0.114137
