codeword,minDistortion
398,0.118893
408,0.088560
444,0.096983
473,0.047948
398,0.091556
398,0.074240
473,0.060870
412,0.120620
412,0.098602
448,0.138910
448,0.081067
336,0.096099
336,0.078485
336,0.102198
460,0.168179
297,0.155747
336,0.098368
336,0.128269
72,0.157022
73,0.094817
73,0.104753
73,0.159041
341,0.114275
73,0.155085
346,0.121867
73,0.091451
73,0.125876
75,0.139306
75,0.094474
75,0.115948
73,0.120575
75,0.097890
75,0.067577
75,0.067309
75,0.097855
75,0.098148
75,0.083733
75,0.091540
75,0.069624
75,0.080825
75,0.103765
74,0.138126
74,0.157095
79,0.126987
74,0.119684
74,0.131872
74,0.161283
74,0.104830
73,0.119605
74,0.112951
72,0.110836
72,0.085112
73,0.085224
73,0.120285
72,0.104959
72,0.085242
72,0.130015
72,0.135814
72,0.140757
72,0.139433
72,0.232732
72,0.208457
72,0.091797
74,0.135694
72,0.113406
68,0.112274
72,0.121598
74,0.144811
74,0.116729
74,0.083865
75,0.124579
75,0.130847
75,0.151345
74,0.115709
74,0.092937
74,0.110720
74,0.095280
74,0.090023
74,0.146272
74,0.077487
74,0.106020
74,0.132384
74,0.117984
74,0.120176
74,0.106201
74,0.121395
74,0.108789
74,0.123741
74,0.103280
74,0.116432
74,0.084140
74,0.085021
74,0.120092
74,0.089865
74,0.123894
74,0.099571
75,0.079279
341,0.084607
339,0.147460
343,0.171497
453,0.113696
452,0.133097
453,0.101509
453,0.084915
453,0.085929
413,0.127739
473,0.084627
408,0.068890
398,0.106613
414,0.086618
466,0.100675
467,0.114005
458,0.086459
464,0.102322
457,0.088388
358,0.092914
356,0.150101
356,0.117922
339,0.095657
73,0.117910
72,0.133155
72,0.117512
72,0.119339
72,0.139783
72,0.118935
73,0.088285
73,0.154763
73,0.092713
77,0.124695
73,0.113562
73,0.093266
73,0.096083
73,0.094071
73,0.152544
73,0.067017
73,0.120261
73,0.132674
78,0.125176
73,0.081626
346,0.088914
73,0.093983
73,0.088392
73,0.080479
73,0.091185
73,0.099935
73,0.074052
73,0.148411
73,0.079821
70,0.092876
73,0.086021
73,0.095885
79,0.083413
79,0.082479
79,0.068993
286,0.160990
92,0.182069
79,0.097937
78,0.140571
78,0.106888
79,0.096444
79,0.082044
79,0.093240
79,0.115887
79,0.074222
79,0.093026
78,0.089323
78,0.119882
78,0.064866
78,0.124168
78,0.080903
78,0.068598
78,0.104982
78,0.105156
78,0.098980
78,0.115061
78,0.095102
78,0.075573
78,0.092553
78,0.092612
78,0.060394
78,0.079107
78,0.062923
79,0.110670
79,0.111994
76,0.076038
77,0.152778
78,0.092322
78,0.061716
78,0.094134
78,0.086816
78,0.093166
78,0.075092
78,0.055488
78,0.090237
78,0.080541
78,0.110557
78,0.092495
78,0.057729
78,0.100983
78,0.110380
78,0.121621
78,0.087831
78,0.099817
74,0.106597
75,0.133912
70,0.149859
75,0.086882
74,0.161427
419,0.167612
404,0.120049
400,0.124507
394,0.120184
456,0.129943
456,0.124705
456,0.101634
452,0.085526
456,0.115804
489,0.090944
489,0.059615
474,0.085763
398,0.072017
400,0.098641
400,0.097002
400,0.132572
416,0.145750
289,0.106019
289,0.093951
289,0.132744
289,0.111202
289,0.167868
289,0.155322
176,0.159126
176,0.090726
176,0.137743
176,0.153366
176,0.160981
176,0.133605
176,0.125930
176,0.128636
176,0.133312
348,0.165639
176,0.195293
303,0.189341
352,0.124796
352,0.167689
70,0.150391
70,0.099640
74,0.171295
176,0.097766
176,0.080146
176,0.125830
74,0.206184
74,0.133646
176,0.106086
72,0.144775
72,0.159635
73,0.118594
74,0.111037
73,0.143452
77,0.086153
77,0.124598
77,0.067949
77,0.095102
77,0.105571
77,0.084200
77,0.058308
77,0.118843
77,0.127721
77,0.061046
77,0.120563
77,0.109679
77,0.102484
77,0.113747
77,0.131560
77,0.148699
77,0.100230
77,0.052453
77,0.076435
77,0.074409
78,0.126603
77,0.091428
77,0.081018
77,0.047821
77,0.089834
77,0.131009
77,0.086494
77,0.077391
75,0.087907
77,0.086179
75,0.084386
75,0.123357
75,0.075791
346,0.119394
75,0.087261
75,0.066481
75,0.102129
72,0.122907
72,0.126619
346,0.147762
346,0.104879
452,0.070279
448,0.117601
448,0.101889
319,0.090889
468,0.137845
315,0.128376
457,0.097110
464,0.123389
464,0.078783
464,0.099753
408,0.093697
408,0.081176
400,0.104625
392,0.112307
395,0.109518
448,0.120891
456,0.107542
464,0.112859
464,0.103553
396,0.105521
338,0.110670
338,0.150430
338,0.140862
352,0.140619
72,0.097900
321,0.117203
352,0.126183
72,0.121107
72,0.095024
72,0.099360
72,0.078381
72,0.084572
72,0.108781
366,0.108179
77,0.112310
79,0.078578
79,0.132059
79,0.098703
79,0.084974
79,0.113564
79,0.101638
79,0.151917
79,0.151802
79,0.080546
79,0.091593
75,0.115113
75,0.095061
72,0.102927
72,0.104964
72,0.103469
72,0.108903
108,0.133416
72,0.114059
72,0.087557
76,0.111626
76,0.121790
76,0.152823
76,0.116966
76,0.135821
76,0.095329
76,0.111135
76,0.118433
76,0.123634
76,0.075890
76,0.092981
76,0.129050
104,0.099727
104,0.091808
104,0.112420
104,0.143711
76,0.143090
76,0.121190
76,0.068159
76,0.069418
76,0.058408
76,0.114273
76,0.107927
76,0.138698
76,0.117103
76,0.112397
76,0.107671
76,0.090400
76,0.077273
76,0.109641
76,0.081833
76,0.069286
76,0.050116
76,0.088064
76,0.139177
76,0.114106
76,0.123657
76,0.080194
76,0.074013
76,0.167326
76,0.114935
75,0.111485
71,0.093895
374,0.108542
344,0.100581
454,0.078621
454,0.097462
454,0.083180
454,0.083241
454,0.098775
454,0.123081
400,0.136603
300,0.103857
318,0.109213
448,0.108012
448,0.109692
400,0.127360
400,0.098822
400,0.079823
448,0.085898
400,0.077481
400,0.143954
400,0.107128
464,0.082842
448,0.113756
448,0.089646
150,0.126593
400,0.116256
448,0.087187
448,0.079390
397,0.101815
348,0.113549
258,0.116765
259,0.132029
348,0.174782
348,0.111984
72,0.163261
348,0.091523
349,0.145758
348,0.146706
284,0.100660
94,0.128493
94,0.109487
104,0.119722
104,0.077944
104,0.121524
104,0.101597
104,0.103158
107,0.162538
107,0.128296
106,0.100919
106,0.059873
106,0.075148
106,0.089578
106,0.105521
106,0.102467
106,0.095709
106,0.067678
106,0.054883
106,0.088507
106,0.088126
106,0.068188
106,0.102111
106,0.129664
106,0.098213
106,0.082226
107,0.111828
106,0.085267
106,0.078476
106,0.096167
106,0.073334
106,0.075174
106,0.055191
106,0.069974
106,0.126690
107,0.092281
107,0.065030
107,0.096889
107,0.061178
107,0.093482
107,0.111559
107,0.082050
107,0.076547
107,0.071688
