index,cardinality,distortion
0,23,0.088024
1,15,0.078856
2,21,0.091050
3,21,0.087932
4,24,0.101879
5,33,0.098392
6,39,0.090688
7,44,0.096209
8,39,0.090980
9,36,0.087381
10,30,0.092657
11,40,0.093698
12,29,0.086903
13,32,0.084956
14,30,0.088916
15,39,0.100024
16,25,0.123927
17,30,0.131191
18,29,0.102251
19,37,0.109932
20,24,0.117465
21,27,0.141722
22,20,0.168625
23,11,0.198000
24,31,0.136727
25,34,0.142502
26,37,0.112739
27,21,0.142613
28,31,0.156786
29,37,0.169962
30,43,0.148561
31,27,0.177450
32,28,0.104820
33,26,0.105707
34,20,0.099100
35,26,0.121647
36,56,0.093686
37,64,0.091323
38,72,0.087969
39,78,0.088152
40,64,0.096758
41,82,0.098910
42,100,0.093202
43,23,0.151886
44,58,0.090259
45,70,0.096904
46,79,0.093098
47,74,0.088010
48,61,0.086939
49,55,0.090388
50,63,0.089040
51,67,0.087232
52,45,0.094458
53,61,0.091833
54,84,0.086341
55,68,0.096636
56,67,0.099730
57,83,0.093417
58,85,0.100964
59,45,0.118192
60,103,0.089666
61,99,0.090602
62,128,0.094221
63,117,0.086112
64,33,0.130702
65,35,0.153629
66,47,0.151664
67,35,0.155257
68,28,0.192181
69,26,0.191747
70,38,0.126732
71,35,0.115397
72,36,0.149339
73,31,0.155446
74,36,0.151939
75,45,0.144474
76,42,0.144844
77,41,0.139975
78,33,0.134079
79,37,0.133739
80,9,0.155626
81,19,0.113062
82,19,0.109958
83,13,0.097562
84,10,0.185892
85,9,0.139773
86,11,0.126253
87,8,0.153997
88,6,0.172885
89,12,0.130318
90,8,0.209016
91,3,0.193896
92,7,0.109894
93,4,0.104718
94,10,0.124004
95,11,0.132522
96,10,0.289148
97,8,0.293948
98,16,0.149826
99,4,0.125915
100,14,0.317846
101,13,0.195687
102,13,0.236386
103,5,0.205524
104,10,0.217132
105,8,0.198593
106,23,0.129373
107,17,0.170001
108,11,0.298673
109,9,0.184274
110,16,0.184660
111,11,0.184949
112,12,0.235617
113,17,0.210087
114,7,0.224758
115,13,0.253029
116,28,0.168726
117,6,0.178190
118,10,0.190365
119,21,0.139695
120,12,0.206561
121,11,0.208498
122,9,0.180293
123,8,0.183768
124,30,0.145775
125,23,0.139650
126,7,0.116899
127,8,0.121309
128,37,0.165244
129,24,0.161846
130,18,0.178579
131,19,0.150656
132,58,0.135861
133,40,0.160806
134,64,0.119861
135,27,0.173684
136,42,0.147496
137,31,0.156103
138,53,0.139297
139,37,0.143101
140,32,0.149477
141,28,0.150597
142,20,0.168793
143,37,0.152179
144,31,0.154126
145,41,0.136092
146,36,0.147458
147,33,0.152202
148,9,0.149755
149,22,0.159368
150,30,0.142648
151,27,0.144810
152,28,0.151659
153,31,0.133875
154,60,0.130691
155,45,0.141744
156,18,0.149905
157,34,0.142119
158,42,0.129570
159,35,0.116966
160,29,0.182070
161,49,0.140153
162,43,0.137474
163,48,0.124255
164,38,0.117183
165,41,0.129337
166,43,0.114108
167,37,0.116954
168,31,0.162988
169,36,0.141926
170,30,0.149369
171,34,0.130410
172,46,0.131648
173,36,0.136029
174,31,0.125099
175,35,0.114470
176,51,0.115503
177,68,0.116849
178,45,0.120103
179,47,0.113762
180,76,0.099428
181,89,0.099533
182,83,0.093648
183,90,0.095150
184,60,0.110903
185,57,0.113462
186,30,0.100429
187,47,0.105393
188,86,0.101864
189,74,0.101672
190,41,0.104609
191,47,0.092562
192,32,0.114876
193,52,0.112513
194,36,0.113257
195,37,0.107055
196,34,0.107459
197,55,0.093085
198,53,0.100685
199,52,0.104116
200,54,0.103721
201,51,0.100378
202,20,0.159060
203,87,0.100705
204,34,0.155374
205,39,0.134791
206,44,0.121678
207,45,0.122318
208,13,0.219385
209,8,0.266962
210,9,0.195964
211,20,0.194859
212,76,0.097661
213,92,0.095707
214,93,0.099023
215,49,0.134480
216,41,0.106377
217,49,0.096987
218,87,0.098442
219,61,0.095618
220,70,0.099245
221,60,0.095531
222,65,0.094730
223,62,0.113369
224,94,0.103153
225,106,0.094357
226,111,0.101976
227,103,0.093640
228,115,0.094503
229,134,0.096527
230,157,0.096780
231,140,0.090902
232,96,0.099409
233,96,0.099382
234,52,0.114499
235,113,0.091908
236,121,0.094142
237,142,0.090107
238,181,0.087772
239,146,0.086611
240,24,0.141133
241,66,0.111793
242,69,0.103721
243,91,0.093646
244,100,0.105924
245,94,0.096092
246,96,0.096564
247,95,0.092273
248,72,0.106451
249,87,0.111281
250,126,0.096283
251,161,0.089233
252,75,0.097143
253,132,0.090518
254,111,0.093730
255,122,0.085493
