codeword,minDistortion
169,0.087839
188,0.074514
169,0.058005
212,0.074330
205,0.067350
186,0.083467
186,0.088895
196,0.071661
184,0.074169
192,0.089354
194,0.070456
150,0.074073
194,0.064225
150,0.046586
195,0.063415
147,0.048451
149,0.056027
45,0.070126
149,0.047266
150,0.061366
151,0.094758
186,0.109711
186,0.043099
851,0.104772
880,0.074257
853,0.091067
805,0.107659
801,0.067100
801,0.059182
805,0.112518
806,0.074698
848,0.071616
801,0.110619
774,0.069374
774,0.078798
542,0.079937
772,0.095009
537,0.089329
552,0.086030
537,0.106630
554,0.110212
552,0.083879
512,0.108926
512,0.067781
100,0.104918
67,0.077567
120,0.102646
282,0.076757
848,0.080601
849,0.069750
849,0.067422
851,0.074859
851,0.070952
851,0.067279
850,0.082412
876,0.061430
229,0.076645
853,0.075815
851,0.118363
851,0.070978
887,0.086583
880,0.078662
850,0.074336
852,0.075537
850,0.067755
850,0.074058
848,0.060352
802,0.073017
773,0.079979
773,0.089449
773,0.085438
538,0.056325
537,0.088809
552,0.073561
552,0.104953
546,0.071441
512,0.105415
120,0.148183
120,0.141735
124,0.146896
286,0.089028
853,0.091786
853,0.088073
855,0.088868
849,0.072630
853,0.087276
849,0.069658
881,0.086717
881,0.098588
881,0.065553
880,0.070085
851,0.069696
851,0.070409
851,0.097312
805,0.113794
851,0.064899
851,0.074322
848,0.062528
848,0.079370
801,0.100275
801,0.100979
530,0.120427
530,0.099380
801,0.084628
801,0.122687
101,0.136890
101,0.071671
121,0.128046
122,0.140017
848,0.153679
858,0.131216
857,0.078432
852,0.098627
854,0.077496
855,0.093663
850,0.048293
849,0.102711
881,0.071479
881,0.079811
849,0.084948
61,0.076781
60,0.067702
800,0.081395
856,0.071273
848,0.073544
770,0.061108
780,0.073422
773,0.086381
801,0.096921
60,0.111339
122,0.099562
122,0.067620
284,0.077454
850,0.074848
854,0.059422
857,0.071942
853,0.112230
853,0.096491
854,0.074269
858,0.098703
857,0.079765
859,0.055578
858,0.075846
857,0.047075
857,0.078714
859,0.071658
248,0.081013
854,0.056538
854,0.083118
249,0.091563
61,0.048696
802,0.068350
60,0.079082
58,0.051983
58,0.051335
850,0.108593
857,0.091438
60,0.099073
792,0.079759
529,0.111475
773,0.090638
801,0.090150
866,0.099826
854,0.084870
852,0.051811
851,0.073245
850,0.052439
850,0.070736
856,0.082817
853,0.078501
856,0.065639
850,0.068984
850,0.054806
850,0.055119
852,0.045044
856,0.066351
850,0.075387
856,0.067011
214,0.071432
236,0.066574
856,0.077196
232,0.078520
858,0.102118
859,0.057282
236,0.061727
852,0.131774
61,0.084530
61,0.093499
62,0.095098
62,0.074399
59,0.085204
856,0.065214
856,0.050514
772,0.076559
770,0.069685
768,0.083561
772,0.081707
852,0.050356
852,0.060545
857,0.096033
857,0.103559
852,0.064861
852,0.111718
215,0.077030
856,0.104747
854,0.104776
852,0.058750
852,0.079263
858,0.062023
859,0.090717
859,0.084464
859,0.061599
857,0.086102
857,0.089477
852,0.098908
853,0.102800
229,0.143732
60,0.067327
60,0.059030
60,0.064442
60,0.086464
60,0.095183
857,0.081773
61,0.080236
772,0.071971
537,0.089588
529,0.070765
56,0.062124
849,0.092776
857,0.092488
857,0.075695
857,0.072213
232,0.060924
223,0.083516
856,0.048290
852,0.069357
853,0.069310
853,0.096742
857,0.071736
855,0.084123
857,0.070522
857,0.095303
857,0.052722
857,0.077956
858,0.060155
854,0.054790
851,0.083180
236,0.097835
61,0.055579
61,0.072079
61,0.094841
61,0.068692
61,0.059924
856,0.092204
248,0.095757
772,0.129666
772,0.081851
852,0.094239
856,0.092064
248,0.043676
853,0.045075
859,0.068828
853,0.041799
853,0.061550
857,0.060913
856,0.064922
856,0.126787
855,0.062557
850,0.085040
855,0.075749
849,0.085976
852,0.075765
852,0.077996
852,0.078717
857,0.117244
859,0.097059
859,0.089320
855,0.072302
855,0.056141
855,0.105468
855,0.080363
212,0.092371
226,0.066349
63,0.099703
60,0.088924
60,0.079122
60,0.080146
58,0.077368
806,0.083195
801,0.073529
773,0.103549
772,0.066773
787,0.069651
249,0.046478
851,0.113669
848,0.102151
858,0.071327
857,0.068353
858,0.100037
858,0.096991
854,0.055515
859,0.087419
859,0.089005
854,0.062544
861,0.071196
858,0.095068
852,0.065478
853,0.056311
853,0.067815
853,0.085122
61,0.066628
61,0.078655
801,0.123450
858,0.108187
805,0.083036
770,0.086133
768,0.100669
772,0.078310
852,0.090872
852,0.056007
852,0.069342
858,0.064286
859,0.095344
859,0.090874
856,0.064956
854,0.078928
857,0.098811
855,0.071157
858,0.065373
858,0.072322
857,0.097935
849,0.079632
861,0.098727
874,0.072461
851,0.055878
854,0.091890
854,0.100682
