codeword,minDistortion
18,0.066580
18,0.082589
20,0.058310
20,0.081623
18,0.054405
17,0.069259
16,0.110369
16,0.101257
16,0.105894
16,0.095546
16,0.088185
17,0.080407
17,0.102862
17,0.110754
17,0.099516
0,0.130363
3,0.118668
5,0.109693
201,0.136231
24,0.105466
25,0.084260
25,0.111321
12,0.110606
49,0.153460
50,0.107172
51,0.068100
51,0.108089
51,0.060965
50,0.072300
49,0.096467
48,0.095749
48,0.075929
1,0.138415
17,0.103417
12,0.097394
4,0.071013
16,0.055518
27,0.057554
21,0.109730
17,0.081562
16,0.073631
4,0.097970
21,0.074832
19,0.097616
19,0.090124
17,0.070890
17,0.104136
17,0.074975
4,0.162083
17,0.103243
16,0.097979
16,0.098631
17,0.064312
2,0.125230
2,0.107896
20,0.077602
17,0.053324
17,0.125010
16,0.086478
16,0.089455
16,0.114010
17,0.085892
0,0.102888
17,0.095756
2,0.123715
2,0.208332
5,0.136619
5,0.129233
6,0.157855
7,0.166945
10,0.127406
10,0.136760
14,0.165766
14,0.134244
14,0.104760
12,0.072701
12,0.104097
12,0.141600
12,0.113799
12,0.070505
48,0.094681
2,0.079322
20,0.065831
4,0.116165
16,0.077385
16,0.098265
17,0.119750
2,0.096705
2,0.077708
18,0.115717
18,0.072655
17,0.081661
4,0.128570
4,0.085949
16,0.144081
20,0.065788
6,0.087280
6,0.109724
7,0.148468
7,0.134068
10,0.135165
12,0.093282
12,0.110164
49,0.077823
49,0.052913
49,0.070776
49,0.060783
49,0.061946
49,0.085872
48,0.076579
14,0.085819
4,0.106248
10,0.058856
10,0.086938
11,0.092868
20,0.122483
1,0.072879
1,0.067232
27,0.095018
2,0.112282
201,0.114985
200,0.098283
1,0.083910
3,0.123384
2,0.086459
2,0.141149
2,0.121447
2,0.130067
27,0.151114
12,0.092399
17,0.071435
17,0.074660
2,0.063904
17,0.063744
16,0.099143
48,0.123647
17,0.082242
17,0.082310
2,0.074440
17,0.080066
17,0.050973
16,0.071171
16,0.070365
16,0.104969
4,0.089744
2,0.128758
16,0.117749
16,0.070484
16,0.114541
2,0.111917
20,0.135728
5,0.122029
5,0.072495
5,0.117278
6,0.110931
6,0.117043
10,0.090658
12,0.078236
49,0.083955
49,0.059561
51,0.066194
51,0.100799
52,0.105478
49,0.117501
51,0.113742
51,0.174118
49,0.136674
14,0.134833
12,0.129944
12,0.087588
12,0.122341
10,0.125978
10,0.091260
10,0.126521
17,0.086703
6,0.118803
1,0.118151
1,0.114548
27,0.076786
25,0.073287
25,0.094228
19,0.103360
200,0.097996
16,0.104358
2,0.090439
2,0.138947
2,0.118415
73,0.159545
73,0.095040
73,0.086808
73,0.172139
73,0.104451
1,0.102127
17,0.097876
17,0.077408
16,0.067095
16,0.086568
18,0.118500
17,0.079795
16,0.121211
16,0.080857
16,0.089175
16,0.093368
16,0.081289
17,0.055809
0,0.088957
16,0.059287
2,0.096124
1,0.123941
0,0.106964
1,0.124403
201,0.114780
24,0.142324
1,0.097478
17,0.082769
6,0.099031
7,0.136856
10,0.159741
12,0.093717
49,0.106204
49,0.096008
49,0.110893
48,0.082674
48,0.079783
48,0.087698
49,0.084785
48,0.085117
48,0.109761
12,0.084381
12,0.089829
10,0.187847
10,0.159198
6,0.113192
1,0.144280
1,0.064711
30,0.089842
28,0.134884
25,0.066216
24,0.063662
200,0.104858
5,0.110349
4,0.132321
73,0.126463
64,0.163563
64,0.097393
16,0.121071
16,0.102712
16,0.111021
16,0.061175
16,0.095128
16,0.138347
19,0.093255
16,0.097535
16,0.071731
16,0.055216
20,0.076858
20,0.097989
1,0.127116
1,0.099067
1,0.082591
1,0.106390
49,0.108711
54,0.100740
54,0.120046
49,0.102303
48,0.080669
48,0.104869
49,0.113308
49,0.109310
48,0.108063
48,0.119030
48,0.064939
48,0.065945
48,0.112125
48,0.098480
20,0.109485
48,0.121657
48,0.076917
49,0.099344
49,0.094331
49,0.112754
49,0.050329
49,0.092638
2,0.117588
1,0.087400
48,0.151326
17,0.084442
66,0.062595
17,0.100831
1,0.081873
27,0.118397
27,0.121349
3,0.115438
27,0.180091
28,0.153846
29,0.083868
29,0.141201
28,0.086065
28,0.110345
27,0.111175
26,0.102365
26,0.169563
2,0.097402
22,0.070106
22,0.111503
22,0.071564
2,0.180526
200,0.162117
0,0.142438
16,0.075098
16,0.120520
48,0.092736
48,0.079143
17,0.101862
24,0.081686
24,0.071176
24,0.152647
24,0.158643
24,0.117474
19,0.076364
16,0.125254
1,0.118446
24,0.110373
2,0.078004
201,0.067494
201,0.099449
201,0.103124
24,0.078546
17,0.103676
17,0.115143
201,0.107176
200,0.081826
200,0.103832
200,0.088359
200,0.083109
200,0.082340
200,0.147548
5,0.115935
4,0.101787
5,0.062585
5,0.066863
4,0.098997
4,0.073268
17,0.091928
2,0.115680
48,0.067815
16,0.112939
18,0.074520
17,0.083741
17,0.085405
0,0.092120
18,0.058329
48,0.106881
21,0.067918
16,0.065083
18,0.081180
17,0.087871
17,0.092228
17,0.088473
17,0.124081
16,0.106026
2,0.077784
18,0.101734
16,0.067266
19,0.112706
19,0.075952
16,0.065022
17,0.083826
17,0.145706
16,0.092127
18,0.093054
48,0.066717
16,0.064368
18,0.057171
16,0.080591
16,0.072575
16,0.091132
17,0.065808
16,0.134657
48,0.098195
17,0.081244
4,0.079470
24,0.095427
30,0.125809
1,0.120180
6,0.103190
6,0.138260
256,0.134488
8,0.145170
8,0.108402
9,0.137795
8,0.116652
8,0.110906
8,0.086392
9,0.052674
9,0.140945
9,0.096659
9,0.083342
9,0.071932
9,0.128657
8,0.130989
8,0.083714
9,0.198151
9,0.141057
256,0.122615
8,0.154301
6,0.148550
6,0.171246
6,0.127813
6,0.123335
6,0.156978
1,0.094209
1,0.255847
1,0.193684
64,0.155689
64,0.156272
27,0.162815
28,0.098692
28,0.101120
25,0.133977
24,0.098811
16,0.089439
16,0.132201
16,0.156435
16,0.201421
200,0.118258
200,0.114805
200,0.138988
200,0.109223
200,0.160263
4,0.122263
4,0.086220
20,0.095336
16,0.099372
3,0.096228
3,0.079143
3,0.135994
3,0.115612
0,0.112717
0,0.096435
0,0.101139
16,0.077353
16,0.079119
19,0.093702
16,0.075024
16,0.161783
16,0.095444
16,0.100478
16,0.106695
16,0.067047
16,0.091805
516,0.094112
516,0.118871
516,0.102406
516,0.103247
516,0.083477
776,0.118586
513,0.117606
513,0.107658
512,0.096993
577,0.165338
512,0.083356
584,0.120542
587,0.193915
193,0.173841
224,0.094110
517,0.102248
536,0.062127
532,0.120654
536,0.131742
539,0.101160
538,0.114286
538,0.065862
538,0.064861
538,0.079668
538,0.067315
538,0.120554
538,0.072699
539,0.112728
538,0.113958
538,0.088239
538,0.104801
536,0.087132
529,0.092249
228,0.112058
228,0.138067
514,0.155351
514,0.104333
515,0.104760
580,0.135127
68,0.131476
512,0.120868
514,0.062376
514,0.086322
514,0.074508
514,0.078169
515,0.084019
515,0.110037
516,0.068139
516,0.079837
516,0.108814
514,0.121023
516,0.076090
515,0.072606
515,0.065847
514,0.130074
514,0.071041
514,0.082308
