index,cardinality,distortion
0,3,0.068216
1,4,0.059815
2,7,0.066799
3,5,0.074810
4,5,0.072437
5,7,0.061026
6,5,0.060252
7,6,0.058970
8,18,0.080943
9,19,0.078452
10,21,0.080929
11,20,0.089293
12,11,0.093212
13,6,0.061551
14,7,0.062627
15,7,0.072995
16,48,0.079023
17,52,0.076548
18,40,0.078481
19,37,0.082618
20,42,0.081003
21,41,0.084925
22,39,0.083112
23,37,0.084979
24,17,0.093186
25,13,0.089355
26,18,0.090013
27,18,0.092121
28,19,0.080187
29,22,0.095648
30,12,0.096248
31,11,0.082617
32,24,0.076733
33,45,0.078817
34,31,0.078606
35,38,0.083668
36,48,0.088625
37,41,0.084632
38,39,0.077358
39,41,0.075580
40,33,0.086611
41,26,0.087114
42,14,0.075772
43,13,0.099660
44,10,0.082413
45,8,0.086926
46,8,0.077001
47,4,0.065752
48,27,0.080460
49,40,0.085139
50,21,0.090861
51,23,0.086671
52,30,0.081029
53,19,0.076550
54,27,0.087749
55,21,0.090114
56,38,0.084957
57,33,0.084988
58,38,0.082372
59,33,0.088881
60,20,0.084713
61,24,0.089658
62,30,0.080934
63,30,0.086933
64,30,0.084893
65,34,0.082374
66,43,0.081386
67,35,0.078731
68,7,0.085896
69,5,0.084856
70,6,0.077903
71,2,0.065454
72,9,0.074177
73,8,0.083891
74,7,0.095319
75,8,0.082028
76,1,-0.000000
77,1,-0.000000
78,1,-0.000000
79,2,0.062468
80,9,0.099940
81,16,0.085351
82,12,0.071530
83,7,0.084431
84,10,0.072824
85,17,0.081129
86,15,0.081208
87,18,0.112504
88,22,0.096546
89,23,0.083880
90,19,0.089059
91,36,0.086685
92,46,0.079213
93,32,0.079775
94,22,0.087287
95,20,0.089401
96,6,0.076727
97,5,0.066336
98,8,0.073414
99,4,0.043392
100,11,0.088436
101,7,0.079029
102,8,0.081339
103,5,0.053132
104,21,0.098658
105,21,0.083811
106,14,0.072504
107,16,0.085792
108,4,0.056875
109,11,0.063928
110,11,0.079535
111,5,0.075668
112,5,0.082904
113,17,0.130449
114,8,0.152303
115,4,0.093930
116,3,0.156353
117,3,0.133422
118,5,0.108571
119,5,0.116554
120,10,0.121473
121,18,0.092810
122,19,0.096797
123,16,0.100405
124,8,0.122275
125,7,0.133283
126,19,0.121690
127,20,0.128659
128,30,0.098330
129,36,0.089816
130,23,0.079846
131,12,0.093789
132,4,0.104048
133,7,0.192870
134,6,0.192520
135,5,0.164192
136,26,0.098849
137,20,0.091322
138,67,0.090165
139,80,0.093117
140,40,0.104423
141,49,0.090475
142,20,0.088119
143,13,0.107611
144,22,0.103660
145,27,0.082307
146,32,0.088287
147,32,0.089553
