index,cardinality,distortion
0,0,NaN
1,0,NaN
2,0,NaN
3,0,NaN
4,0,NaN
5,0,NaN
6,0,NaN
7,0,NaN
8,0,NaN
9,0,NaN
10,0,NaN
11,0,NaN
12,0,NaN
13,0,NaN
14,0,NaN
15,0,NaN
16,0,NaN
17,0,NaN
18,0,NaN
19,0,NaN
20,0,NaN
21,0,NaN
22,0,NaN
23,0,NaN
24,0,NaN
25,0,NaN
26,0,NaN
27,0,NaN
28,0,NaN
29,0,NaN
30,0,NaN
31,0,NaN
32,24,0.096574
33,17,0.077769
34,55,0.101491
35,85,0.097440
36,177,0.103072
37,246,0.097174
38,104,0.105610
39,121,0.104358
40,57,0.109994
41,10,0.068670
42,95,0.107469
43,90,0.101585
44,132,0.113839
45,56,0.128430
46,47,0.113941
47,59,0.118188
48,76,0.123718
49,110,0.100401
50,123,0.099334
51,153,0.095171
52,19,0.097301
53,25,0.097706
54,73,0.108368
55,74,0.113887
56,44,0.120501
57,106,0.099316
58,77,0.110056
59,130,0.094989
60,105,0.103634
61,137,0.089947
62,147,0.092529
63,127,0.086799
