codeword,minDistortion
103,0.056672
101,0.088566
100,0.117945
102,0.117376
102,0.115119
77,0.095639
101,0.103210
103,0.081912
103,0.088785
101,0.090741
101,0.090049
101,0.105330
78,0.080545
78,0.063130
78,0.078533
87,0.118108
78,0.069498
78,0.113895
78,0.095913
78,0.154685
78,0.073828
78,0.057385
78,0.049902
78,0.103596
77,0.100386
78,0.086084
78,0.115934
78,0.113226
77,0.113388
76,0.133450
78,0.168553
77,0.113242
77,0.099840
78,0.121458
78,0.110654
101,0.111725
101,0.073360
101,0.084564
101,0.090833
100,0.114791
102,0.096518
103,0.120822
102,0.101657
103,0.088589
102,0.074690
102,0.067249
102,0.100235
75,0.102446
75,0.090577
100,0.087780
100,0.066286
103,0.080697
103,0.124961
102,0.090314
102,0.073868
103,0.075845
103,0.063755
101,0.105312
102,0.088153
100,0.074226
76,0.088479
102,0.103487
100,0.081270
102,0.089773
102,0.116394
102,0.082262
101,0.093546
101,0.081359
101,0.098851
102,0.094730
100,0.102255
100,0.105425
100,0.078884
79,0.086463
79,0.089574
79,0.094839
78,0.114623
78,0.062092
84,0.080208
84,0.100537
84,0.094515
84,0.074187
84,0.091249
84,0.081193
84,0.072969
84,0.096829
78,0.059716
78,0.097532
78,0.085266
78,0.118996
78,0.084367
78,0.130323
78,0.106844
100,0.072123
100,0.067965
100,0.063654
103,0.083629
103,0.056467
103,0.039816
103,0.096282
103,0.078880
103,0.095355
75,0.062429
101,0.068921
102,0.107202
74,0.088113
74,0.095671
74,0.164583
74,0.116669
101,0.126301
101,0.090228
101,0.127269
75,0.153489
101,0.121691
73,0.123022
79,0.092344
75,0.120548
77,0.166838
77,0.124720
77,0.128411
77,0.100127
77,0.100640
77,0.088454
76,0.125004
76,0.142465
76,0.077893
76,0.101671
76,0.118651
76,0.090235
77,0.127488
76,0.083429
102,0.090534
76,0.065636
76,0.035923
76,0.039100
76,0.090729
76,0.047503
76,0.083490
76,0.048984
76,0.081077
76,0.064116
76,0.076763
76,0.047934
76,0.101624
76,0.103581
76,0.096391
76,0.058682
76,0.054836
76,0.088383
78,0.106104
73,0.042312
76,0.093002
76,0.065642
76,0.096854
76,0.063068
100,0.071298
101,0.089294
76,0.087171
73,0.082242
73,0.077522
101,0.072430
100,0.082891
100,0.106166
103,0.056846
102,0.093147
102,0.110944
103,0.087612
102,0.076345
102,0.054158
101,0.120053
100,0.101783
100,0.128253
103,0.108946
103,0.077894
102,0.093145
103,0.097638
103,0.065501
103,0.105296
103,0.121627
103,0.079399
102,0.112636
75,0.103209
77,0.118700
77,0.102793
77,0.096286
77,0.135072
77,0.159240
77,0.114451
73,0.118752
77,0.103634
77,0.087700
77,0.094181
76,0.082622
77,0.115626
77,0.101379
77,0.090983
77,0.092368
77,0.064148
77,0.079391
77,0.095911
77,0.122144
101,0.113985
79,0.059632
79,0.053843
101,0.092232
74,0.077228
101,0.074353
101,0.107763
101,0.106036
101,0.099113
101,0.093041
103,0.069983
102,0.083700
102,0.104201
103,0.083328
103,0.107257
103,0.071769
103,0.095698
102,0.074901
102,0.127840
102,0.095622
102,0.107543
102,0.071120
103,0.083287
103,0.078583
103,0.052262
100,0.059601
101,0.083089
101,0.111646
101,0.087236
101,0.077890
79,0.099908
79,0.146112
79,0.053412
79,0.118578
79,0.110416
79,0.102472
79,0.110187
79,0.087880
79,0.076855
78,0.060969
78,0.079037
78,0.073356
78,0.080222
78,0.131995
78,0.091885
79,0.096026
79,0.076115
78,0.110151
78,0.087637
78,0.091067
78,0.106625
78,0.084034
78,0.058505
78,0.093300
77,0.108413
78,0.089173
79,0.116041
79,0.092629
79,0.090239
79,0.099873
73,0.116293
78,0.113342
79,0.052572
101,0.082108
79,0.090341
79,0.104779
79,0.128037
100,0.153138
101,0.120663
74,0.128450
103,0.101126
102,0.102322
103,0.070937
103,0.087063
102,0.061267
102,0.077491
102,0.106581
124,0.092199
100,0.088486
102,0.097048
102,0.104547
102,0.143502
100,0.134339
100,0.120306
100,0.101897
101,0.082498
79,0.144171
78,0.146786
78,0.147319
78,0.133443
79,0.074815
79,0.165078
79,0.098709
79,0.144770
79,0.127371
84,0.077661
84,0.128785
84,0.100540
84,0.080438
84,0.072101
84,0.100827
84,0.073891
84,0.079486
84,0.082552
84,0.120899
84,0.062323
84,0.075932
84,0.094694
84,0.087301
84,0.070788
84,0.085004
84,0.113116
84,0.127788
85,0.094755
85,0.122815
