index,cardinality,distortion
0,0,NaN
1,0,NaN
2,0,NaN
3,0,NaN
4,0,NaN
5,0,NaN
6,0,NaN
7,0,NaN
8,0,NaN
9,0,NaN
10,0,NaN
11,0,NaN
12,0,NaN
13,0,NaN
14,0,NaN
15,0,NaN
16,0,NaN
17,0,NaN
18,0,NaN
19,0,NaN
20,0,NaN
21,0,NaN
22,0,NaN
23,0,NaN
24,0,NaN
25,0,NaN
26,0,NaN
27,0,NaN
28,0,NaN
29,0,NaN
30,0,NaN
31,0,NaN
32,0,NaN
33,0,NaN
34,0,NaN
35,0,NaN
36,0,NaN
37,0,NaN
38,0,NaN
39,0,NaN
40,0,NaN
41,0,NaN
42,0,NaN
43,0,NaN
44,0,NaN
45,0,NaN
46,0,NaN
47,0,NaN
48,0,NaN
49,0,NaN
50,0,NaN
51,0,NaN
52,0,NaN
53,0,NaN
54,0,NaN
55,0,NaN
56,0,NaN
57,0,NaN
58,0,NaN
59,0,NaN
60,0,NaN
61,0,NaN
62,0,NaN
63,0,NaN
64,185,0.115208
65,173,0.132320
66,311,0.095916
67,155,0.126028
68,250,0.098573
69,263,0.095758
70,260,0.094576
71,216,0.103057
72,386,0.124759
73,494,0.111522
74,79,0.166265
75,78,0.138178
76,164,0.172947
77,86,0.187738
78,121,0.178826
79,255,0.153802
80,355,0.122215
81,279,0.124480
82,227,0.123282
83,516,0.107704
84,264,0.147276
85,242,0.142685
86,287,0.145170
87,338,0.125395
88,337,0.131170
89,375,0.118096
90,791,0.095277
91,788,0.095264
92,630,0.098294
93,596,0.107569
94,757,0.095336
95,671,0.097540
96,97,0.190888
97,160,0.169680
98,260,0.137086
99,213,0.138449
100,105,0.142381
101,210,0.145533
102,100,0.120809
103,270,0.123612
104,306,0.133947
105,445,0.125141
106,299,0.138796
107,141,0.140237
108,313,0.112471
109,454,0.100835
110,483,0.109348
111,460,0.098717
112,443,0.108836
113,672,0.094217
114,629,0.097715
115,713,0.094271
116,675,0.093168
117,673,0.094884
118,533,0.094108
119,553,0.091300
120,598,0.097903
121,774,0.095162
122,321,0.103795
123,605,0.094251
124,427,0.109277
125,666,0.097137
126,579,0.096532
127,798,0.091600
