codeword,minDistortion
66,0.125609
66,0.125395
66,0.079329
66,0.079190
66,0.101089
66,0.086570
66,0.104555
68,0.077812
68,0.084872
66,0.141285
66,0.073778
66,0.094314
66,0.121699
66,0.147799
66,0.097809
66,0.082542
66,0.069415
66,0.077331
66,0.073546
66,0.113698
66,0.071315
66,0.076720
66,0.100820
66,0.075434
69,0.103348
66,0.088835
66,0.057005
66,0.062165
70,0.082770
70,0.056023
66,0.086214
64,0.109714
64,0.091112
64,0.091155
66,0.121264
66,0.105366
66,0.103244
66,0.068856
66,0.071986
66,0.066814
68,0.094799
64,0.097433
64,0.160771
64,0.119002
64,0.072633
68,0.074199
66,0.053244
66,0.128425
66,0.050092
64,0.167519
64,0.073626
64,0.079086
64,0.122355
64,0.139566
68,0.152891
66,0.098699
66,0.070199
66,0.104484
67,0.125580
67,0.095151
68,0.069644
66,0.168158
66,0.195283
66,0.120558
66,0.110848
66,0.078908
66,0.094598
66,0.070251
68,0.072206
66,0.069163
66,0.075770
67,0.080175
66,0.054396
66,0.122442
66,0.073375
66,0.085983
68,0.079856
67,0.069193
66,0.087720
66,0.110480
66,0.116576
66,0.095404
66,0.076942
66,0.102788
66,0.061174
66,0.114918
64,0.095627
64,0.087592
68,0.063116
66,0.096019
67,0.101314
66,0.122658
66,0.067754
67,0.149551
66,0.144111
68,0.127223
66,0.075177
66,0.108359
68,0.067451
66,0.100027
66,0.125989
66,0.078686
67,0.113793
64,0.107160
64,0.073485
64,0.090994
64,0.130904
66,0.102844
66,0.124221
66,0.079326
66,0.083259
66,0.077516
69,0.131510
66,0.125069
66,0.099957
66,0.104044
66,0.136925
68,0.080596
66,0.099425
66,0.106506
64,0.077855
64,0.111321
64,0.099093
66,0.102824
66,0.079786
66,0.147845
66,0.122398
66,0.094345
66,0.086612
66,0.073576
66,0.058432
69,0.100998
67,0.110826
66,0.065145
66,0.085435
66,0.118705
66,0.111388
67,0.132268
66,0.118810
66,0.137668
66,0.132080
66,0.103968
68,0.070105
68,0.094641
66,0.090804
66,0.077222
66,0.069424
69,0.094271
66,0.111615
66,0.095768
66,0.094942
64,0.135532
64,0.129604
66,0.082798
66,0.087348
66,0.055401
66,0.061380
66,0.082875
66,0.118904
64,0.123321
64,0.072016
68,0.090913
66,0.116282
66,0.062966
66,0.063644
67,0.092861
64,0.136749
64,0.098153
68,0.115149
64,0.089149
66,0.113229
66,0.110330
67,0.076219
66,0.116008
68,0.091295
68,0.163056
66,0.074426
66,0.080287
69,0.100362
68,0.075010
64,0.124409
64,0.112681
68,0.102251
68,0.125411
66,0.107501
66,0.070006
66,0.060775
66,0.069730
66,0.056206
68,0.102499
66,0.124569
66,0.113341
66,0.075832
66,0.079856
69,0.086656
66,0.089075
66,0.082944
66,0.063406
66,0.073037
66,0.069479
66,0.111542
66,0.096574
66,0.070576
66,0.057600
69,0.079827
66,0.079417
66,0.091858
66,0.087515
66,0.109441
66,0.066389
66,0.147545
66,0.071518
66,0.068966
64,0.071737
64,0.112489
69,0.128984
66,0.083444
66,0.089571
66,0.119376
66,0.054058
66,0.085611
66,0.118162
66,0.087683
69,0.182962
66,0.107814
66,0.083901
64,0.127289
64,0.091209
64,0.114896
66,0.074065
68,0.063556
66,0.092545
67,0.090502
66,0.127165
66,0.091868
66,0.076171
66,0.118373
66,0.091716
68,0.071311
66,0.116253
66,0.075054
64,0.120128
64,0.101991
66,0.081303
66,0.116848
66,0.173908
66,0.049997
66,0.075572
66,0.088936
67,0.133543
66,0.082856
66,0.109984
67,0.141056
66,0.141706
66,0.146340
68,0.108049
66,0.088324
66,0.112176
66,0.115024
67,0.103539
66,0.075490
64,0.100036
64,0.140942
64,0.153548
66,0.128092
66,0.076651
66,0.116109
66,0.119861
66,0.053599
64,0.099479
64,0.080546
64,0.139910
66,0.097565
66,0.108582
66,0.140636
66,0.096427
66,0.087024
66,0.132139
67,0.144791
68,0.098624
67,0.095705
66,0.098348
66,0.100588
64,0.129755
64,0.103335
64,0.127879
66,0.095581
66,0.116084
66,0.119545
66,0.098838
66,0.097257
64,0.106377
64,0.148115
64,0.115439
66,0.069753
66,0.061825
66,0.090985
66,0.091418
66,0.059246
67,0.056619
67,0.093576
66,0.092239
66,0.092414
66,0.093646
66,0.115121
66,0.105345
66,0.100872
69,0.117575
67,0.083683
67,0.078107
66,0.094708
72,0.122294
72,0.122252
72,0.086413
72,0.098084
72,0.079076
73,0.094089
72,0.160078
65,0.157005
90,0.176235
72,0.129696
72,0.102687
72,0.079700
73,0.115247
73,0.102893
72,0.096804
72,0.127957
72,0.165886
72,0.087510
73,0.092123
72,0.164688
73,0.105056
72,0.075030
72,0.105438
73,0.101426
72,0.103440
72,0.142069
72,0.103725
72,0.113231
72,0.125748
72,0.126110
72,0.111974
73,0.108023
72,0.098363
72,0.137803
72,0.137471
