# 396678 training vectors. (ε = 0.0005)
M,passes,DDprm,σ,inertia
2,13,0.568047,1.046068,1222808.036866
4,9,0.452885,1.884220,985929.267080
8,22,0.357849,2.815693,801998.176299
16,15,0.283411,4.872102,685946.260764
32,16,0.236244,6.603951,621520.758167
64,16,0.204155,8.395058,584008.563452
128,19,0.179191,10.796010,556782.135585
256,20,0.159744,12.860383,536759.705135
512,16,0.145311,14.988551,522540.099582
1024,15,0.133171,17.059880,510887.625819
2048,15,0.122283,19.346332,500685.081300
4096,14,0.111928,21.915264,491171.846670
