index,cardinality,distortion
0,144,0.114843
1,143,0.106174
2,268,0.101068
3,277,0.098095
4,304,0.101945
5,360,0.094971
6,408,0.093231
7,426,0.096106
8,286,0.103361
9,512,0.094865
10,458,0.097446
11,563,0.091992
12,342,0.108388
13,545,0.098504
14,492,0.097003
15,526,0.094412
16,155,0.123928
17,430,0.101663
18,405,0.099334
19,355,0.105613
20,154,0.142079
21,131,0.171040
22,39,0.235321
23,36,0.235918
24,181,0.117948
25,202,0.123788
26,89,0.223839
27,88,0.201615
28,322,0.107694
29,344,0.106781
30,303,0.122280
31,157,0.164665
32,223,0.132570
33,361,0.108090
34,209,0.123595
35,102,0.193720
36,108,0.161858
37,173,0.169265
38,149,0.181697
39,176,0.168432
40,151,0.149560
41,198,0.172885
42,119,0.190891
43,120,0.191417
44,161,0.196592
45,114,0.187521
46,43,0.215291
47,37,0.257701
48,53,0.248515
49,118,0.185030
50,202,0.145066
51,282,0.113620
52,334,0.119448
53,325,0.123930
54,197,0.150246
55,196,0.132100
56,263,0.132459
57,238,0.142061
58,264,0.124808
59,195,0.132266
60,22,0.223354
61,39,0.229773
62,67,0.202582
63,93,0.160996
64,128,0.167156
65,109,0.164160
66,123,0.158706
67,142,0.178165
68,93,0.245965
69,44,0.271884
70,111,0.222947
71,69,0.202262
72,199,0.163650
73,162,0.176348
74,133,0.192140
75,147,0.184141
76,55,0.225082
77,113,0.212311
78,58,0.241183
79,69,0.271255
80,172,0.169801
81,195,0.149133
82,115,0.202641
83,106,0.169203
84,137,0.195382
85,89,0.258947
86,180,0.175674
87,107,0.200787
88,75,0.261328
89,106,0.212630
90,206,0.150647
91,98,0.204875
92,150,0.203612
93,42,0.421042
94,117,0.209721
95,71,0.228842
96,191,0.137307
97,114,0.150105
98,268,0.138832
99,339,0.129098
100,153,0.151596
101,172,0.160092
102,192,0.138635
103,86,0.171316
104,224,0.143563
105,273,0.136320
106,283,0.137285
107,318,0.122027
108,210,0.146015
109,170,0.137740
110,164,0.162106
111,102,0.160330
112,198,0.145094
113,127,0.149234
114,152,0.137080
115,132,0.136075
116,65,0.223454
117,174,0.138078
118,66,0.176119
119,71,0.174377
120,495,0.099909
121,373,0.107060
122,548,0.093754
123,377,0.106899
124,234,0.127170
125,169,0.126561
126,54,0.172760
127,88,0.157590
128,79,0.173586
129,89,0.188953
130,202,0.135428
131,196,0.130054
132,104,0.214244
133,73,0.195224
134,99,0.221531
135,83,0.223692
136,128,0.147902
137,169,0.138841
138,117,0.161332
139,74,0.191700
140,119,0.199977
141,149,0.181661
142,127,0.183167
143,103,0.174730
144,122,0.162010
145,104,0.208951
146,179,0.149614
147,199,0.134718
148,153,0.159313
149,122,0.183602
150,193,0.162805
151,146,0.159820
152,96,0.213642
153,113,0.181940
154,156,0.202096
155,124,0.172012
156,143,0.182770
157,171,0.143487
158,166,0.153974
159,143,0.154430
160,89,0.228039
161,130,0.221389
162,82,0.219162
163,98,0.227687
164,87,0.230499
165,119,0.194290
166,96,0.185670
167,54,0.173045
168,61,0.260290
169,82,0.213001
170,113,0.230142
171,59,0.235893
172,115,0.201549
173,157,0.175473
174,205,0.180268
