index,cardinality,distortion
0,645,0.132617
1,1319,0.112348
2,1928,0.108890
3,1667,0.108608
4,1247,0.121551
5,705,0.164503
6,522,0.184712
7,1158,0.135824
8,786,0.152841
9,538,0.218483
10,573,0.224695
11,368,0.282902
12,623,0.204771
13,1013,0.140907
14,993,0.154356
15,187,0.312359
16,484,0.209990
17,304,0.299991
18,489,0.227307
19,319,0.312842
20,743,0.197540
21,582,0.242452
22,566,0.246723
23,398,0.309001
24,964,0.167790
25,614,0.188996
26,1054,0.160127
27,915,0.174592
28,639,0.175808
29,391,0.222065
30,1314,0.126232
31,482,0.164969
32,639,0.195926
33,371,0.284059
34,491,0.198750
35,461,0.239889
36,601,0.191331
37,607,0.185345
38,530,0.244144
39,647,0.190548
40,413,0.282575
41,320,0.257272
42,364,0.304456
43,520,0.223373
44,66,0.272578
45,145,0.241315
46,202,0.258248
47,121,0.359289
48,898,0.195657
49,901,0.173317
50,761,0.192481
51,597,0.210995
52,1145,0.156618
53,1238,0.154174
54,678,0.179205
55,466,0.210083
56,753,0.200596
57,923,0.159804
58,898,0.161616
59,971,0.138100
60,950,0.152181
61,1415,0.122744
62,599,0.184693
63,1562,0.117001
64,820,0.157058
65,798,0.130740
66,302,0.265200
67,737,0.150795
68,422,0.138092
69,421,0.140600
70,603,0.150015
71,862,0.130678
72,2152,0.106511
73,3042,0.099342
74,2823,0.105666
75,2503,0.106001
76,406,0.134946
77,794,0.138082
78,2657,0.107116
79,1002,0.144293
80,368,0.211375
81,287,0.220071
82,538,0.205725
83,627,0.217891
84,529,0.229420
85,424,0.255145
86,245,0.247586
87,396,0.239266
88,741,0.159442
89,783,0.206865
90,1020,0.149547
91,752,0.172487
92,717,0.190343
93,667,0.207314
94,362,0.215874
95,113,0.262935
96,593,0.198313
97,302,0.209398
98,214,0.211471
99,161,0.217577
100,201,0.234695
101,297,0.191446
102,336,0.242656
103,541,0.168727
104,318,0.184309
105,560,0.171838
106,268,0.188247
107,326,0.179638
108,205,0.217044
109,361,0.171668
110,272,0.193525
111,264,0.167460
112,302,0.252528
113,495,0.185769
114,300,0.172834
115,286,0.177961
116,422,0.182456
117,356,0.169172
118,257,0.187527
119,346,0.163031
120,320,0.173261
121,221,0.206344
122,53,0.319909
123,52,0.234621
124,120,0.322052
125,179,0.180874
126,209,0.205140
127,198,0.192202
128,222,0.254556
129,134,0.242706
130,133,0.268787
131,134,0.209533
132,205,0.179467
133,128,0.213260
134,122,0.207892
135,119,0.194732
136,300,0.214568
137,176,0.268213
138,117,0.199092
139,121,0.204263
140,200,0.193822
141,304,0.181594
142,111,0.238086
143,139,0.173940
144,331,0.182670
145,202,0.192975
146,357,0.151344
147,388,0.159083
148,581,0.138458
149,592,0.127656
150,356,0.160539
151,593,0.127086
152,306,0.276678
153,364,0.224992
154,340,0.259722
155,595,0.186203
156,227,0.298689
157,249,0.237815
158,352,0.222235
159,319,0.183577
160,288,0.155030
161,297,0.173389
162,170,0.200684
163,132,0.190105
164,218,0.187115
165,233,0.201018
166,138,0.182053
167,128,0.206922
168,249,0.211857
169,302,0.227006
170,385,0.191968
171,153,0.262620
172,687,0.155118
173,877,0.134638
174,375,0.173238
175,356,0.163641
176,572,0.143573
177,335,0.191163
178,213,0.189925
179,270,0.198295
180,322,0.158859
181,154,0.223441
182,169,0.232400
183,144,0.212800
