  N  ,    M ,   a  ,  I  ,  Train Ac,Train avgAc ,    Test Ac , Test avgAc
  1  ,  512 ,  0.3 ,     ,   51.28  ,  59.27     ,    47.08   ,   48.49
  2  ,  512 ,  0.3 ,     ,   52.75  ,  61.05     ,    48.40   ,   47.81
  4  ,  512 ,  0.3 ,     ,   63.64  ,            ,    56.51   ,
  8  ,  512 ,  0.3 ,     ,   69.95  ,            ,    60.75   ,
 16  ,  512 ,  0.3 ,     ,   77.26  ,            ,    63.21   ,
 32  ,  512 ,  0.3 ,     ,   83.50  ,            ,    66.79   ,
 64  ,  512 ,  0.3 ,     ,   86.43  ,            ,    67.92   ,
 80  ,  512 ,  0.3 ,     ,   86.80  ,            ,    66.98   ,
100  ,  512 ,  0.3 ,     ,   86.78  ,            ,    63.77   ,
160  ,  512 ,  0.3 ,     ,   86.29  ,            ,    63.30   ,
  1  , 1024 ,  0.3 ,     ,   80.10  ,            ,    74.62   ,
  2  , 1024 ,  0.3 ,     ,   79.54  ,            ,    71.32   ,
  4  , 1024 ,  0.3 ,     ,   83.94  ,            ,    77.08   ,
  8  , 1024 ,  0.3 ,   0 ,   84.33  ,  89.23     ,    76.32   ,   69.72
  8  , 1024 ,  0.3 ,   1 ,   85.06  ,  89.48     ,    76.23   ,   69.50
  8  , 1024 ,  0.3 ,   5 ,   82.77  ,  83.87     ,    74.62   ,   67.49
  8  , 1024 ,  0.3 ,  10 ,   82.70  ,  82.74     ,    71.98   ,   62.49
  8  , 1024 ,  0.3 ,  15 ,   85.24  ,  83.90     ,    75.09   ,   64.73
 16  , 1024 ,  0.3 ,   0 ,   86.78  ,  90.70     ,    77.64   ,   70.47
 16  , 1024 ,  0.3 ,   1 ,   87.94  ,  91.83     ,    78.87   ,   71.26
 16  , 1024 ,  0.3 ,   5 ,   84.94  ,  86.21     ,    74.91   ,   67.58
 16  , 1024 ,  0.3 ,  10 ,   87.08  ,  85.01     ,    76.51   ,   64.24
 16  , 1024 ,  0.3 ,  15 ,   88.29  ,  86.02     ,    77.55   ,   65.53
 16  , 1024 , 0.03 ,  -1 ,   90.74  ,  88.04     ,    79.15   ,   64.41
 32  , 1024 ,  0.3 ,     ,   93.99  ,            ,    79.25   ,
 64  , 1024 ,  0.3 ,     ,   95.44  ,            ,    75.75   ,
 80  , 1024 ,  0.3 ,     ,   96.46  ,            ,    77.17   ,
100  , 1024 ,  0.3 ,     ,   95.39  ,            ,    77.83   ,
  1  , 2048 ,  0.3 ,   0 ,   83.82  ,  89.64     ,    77.45   ,   75.09
  2  , 2048 ,  0.3 ,  -1 ,   84.64  ,  88.94     ,    75.57   ,   67.10
  2  , 2048 ,  0.3 ,   0 ,   85.80  ,  91.08     ,    77.74   ,   74.93
  2  , 2048 ,  0.3 ,   1 ,   86.20  ,  91.11     ,    78.21   ,   75.20
  2  , 2048 ,  0.3 ,   5 ,   86.62  ,  90.16     ,    78.77   ,   74.32
  2  , 2048 ,  0.3 ,  10 ,   86.55  ,  90.56     ,    78.58   ,   72.20
  2  , 2048 ,  0.3 ,  15 ,   85.08  ,  89.61     ,    76.13   ,   70.16
  3  , 2048 ,  0.3 ,  -1 ,   84.94  ,  87.15     ,    75.75   ,   68.11
  3  , 2048 ,  0.3 ,   0 ,   85.75  ,  91.01     ,    78.11   ,   75.24
  3  , 2048 ,  0.3 ,   1 ,   86.17  ,  91.30     ,    78.21   ,   75.22
  3  , 2048 ,  0.3 ,   2 ,   86.45  ,  91.35     ,    79.43   ,   76.19
  3  , 2048 ,  0.3 ,   5 ,   86.66  ,  90.35     ,    78.96   ,   70.94
