N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
1, 512, 0.3, 0, 76.3, 80.68, 70.57, 66.31
1, 512, 0.3, 1, 76.3, 80.68, 70.57, 66.31
1, 512, 0.3, 2, 76.3, 80.68, 70.57, 66.31
1, 512, 0.3, 5, 76.3, 80.68, 70.57, 66.31
1, 512, 0.3, 10, 76.3, 80.68, 70.57, 66.31
1, 1024, 0.3, 0, 80.87, 86.52, 72.83, 64
1, 1024, 0.3, 1, 80.87, 86.52, 72.83, 64
1, 1024, 0.3, 2, 80.87, 86.52, 72.83, 64
1, 1024, 0.3, 5, 80.87, 86.52, 72.83, 64
1, 1024, 0.3, 10, 80.87, 86.52, 72.83, 64
1, 2048, 0.3, 0, 85.52, 90.84, 75.66, 68.9
1, 2048, 0.3, 1, 85.52, 90.84, 75.66, 68.9
1, 2048, 0.3, 2, 85.52, 90.84, 75.66, 68.9
1, 2048, 0.3, 5, 85.52, 90.84, 75.66, 68.9
1, 2048, 0.3, 10, 85.52, 90.84, 75.66, 68.9
1, 4096, 0.3, 0, 88.92, 93.37, 77.55, 68.05
1, 4096, 0.3, 1, 88.92, 93.37, 77.55, 68.05
1, 4096, 0.3, 2, 88.92, 93.37, 77.55, 68.05
1, 4096, 0.3, 5, 88.92, 93.37, 77.55, 68.05
1, 4096, 0.3, 10, 88.92, 93.37, 77.55, 68.05
2, 512, 0.3, 0, 77.51, 82.32, 71.42, 65.45
2, 512, 0.3, 1, 78.28, 82.69, 71.32, 64.64
2, 512, 0.3, 2, 78.45, 82.49, 71.04, 64.65
2, 512, 0.3, 5, 76.84, 80.69, 70, 63.65
2, 512, 0.3, 10, 75.93, 80.55, 67.26, 61.47
2, 1024, 0.3, 0, 82.5, 87.38, 74.62, 65.05
2, 1024, 0.3, 1, 83.03, 86.99, 74.06, 63.28
2, 1024, 0.3, 2, 83.24, 87.29, 73.96, 62.62
2, 1024, 0.3, 5, 82.22, 86.39, 73.21, 61.93
2, 1024, 0.3, 10, 81.31, 86.14, 70.94, 61.46
2, 2048, 0.3, 0, 86.94, 91.08, 76.98, 70.56
2, 2048, 0.3, 1, 87.29, 91.37, 77.08, 69.68
2, 2048, 0.3, 2, 87.66, 91.39, 77.64, 69.66
2, 2048, 0.3, 5, 86.64, 89.54, 76.79, 66.54
2, 2048, 0.3, 10, 84.94, 89.26, 74.72, 66.76
2, 4096, 0.3, 0, 90.74, 94.5, 78.68, 68.3
2, 4096, 0.3, 1, 90.97, 94.6, 78.77, 68.4
2, 4096, 0.3, 2, 91.41, 94.71, 78.77, 67.27
2, 4096, 0.3, 5, 91.22, 93.89, 78.58, 67.2
2, 4096, 0.3, 10, 89.53, 92.28, 76.89, 66.08
3, 512, 0.3, 0, 76.75, 81.92, 71.04, 67.88
3, 512, 0.3, 1, 78.38, 82.32, 71.51, 65.27
3, 512, 0.3, 2, 77.19, 81.12, 69.72, 62.24
3, 512, 0.3, 5, 75.56, 78.48, 67.45, 58.66
3, 512, 0.3, 10, 76.7, 78.21, 68.58, 60.39
3, 1024, 0.3, 0, 81.96, 87.2, 74.15, 67.72
3, 1024, 0.3, 1, 82.91, 87.33, 73.77, 63.97
3, 1024, 0.3, 2, 83.05, 87.19, 73.96, 63.12
3, 1024, 0.3, 5, 81.26, 84.44, 72.08, 60.82
3, 1024, 0.3, 10, 80.59, 83.72, 70.57, 58.79
3, 2048, 0.3, 0, 86.64, 91.1, 76.13, 69.95
3, 2048, 0.3, 1, 87.27, 91.47, 76.89, 70.49
3, 2048, 0.3, 2, 88.36, 92.3, 76.51, 68.11
3, 2048, 0.3, 5, 85.31, 89.56, 74.72, 64.39
3, 2048, 0.3, 10, 84.12, 87.52, 73.11, 63.95
3, 4096, 0.3, 0, 90.34, 94.3, 77.83, 67.95
3, 4096, 0.3, 1, 91.15, 94.94, 78.4, 68.13
3, 4096, 0.3, 2, 91.34, 94.73, 78.11, 66.84
3, 4096, 0.3, 5, 92.62, 94.89, 79.34, 67.83
3, 4096, 0.3, 10, 89.5, 91.63, 76.04, 61.76
4, 512, 0.3, 0, 78.05, 82.59, 73.02, 66.89
4, 512, 0.3, 1, 78.79, 82.84, 71.98, 63.59
4, 512, 0.3, 2, 78.91, 82.15, 71.6, 64.07
4, 512, 0.3, 5, 75.12, 78.03, 68.11, 59.62
4, 512, 0.3, 10, 76.4, 78.64, 69.43, 60.06
4, 1024, 0.3, 0, 83.38, 88.01, 74.53, 64.92
4, 1024, 0.3, 1, 83.92, 88.3, 74.72, 64
4, 1024, 0.3, 2, 84.43, 87.73, 73.68, 62.55
4, 1024, 0.3, 5, 81.1, 82.91, 70.38, 57.96
4, 1024, 0.3, 10, 79.47, 81.51, 67.92, 57.25
4, 2048, 0.3, 0, 87.59, 92.32, 76.98, 69.31
4, 2048, 0.3, 1, 88.66, 92.89, 77.83, 69.81
4, 2048, 0.3, 2, 88.43, 92.67, 77.26, 67.83
4, 2048, 0.3, 5, 86.36, 89.18, 75.09, 63.63
4, 2048, 0.3, 10, 83.05, 84.42, 70.38, 58.1
4, 4096, 0.3, 0, 91.5, 95.05, 78.02, 67.86
4, 4096, 0.3, 1, 92.32, 95.53, 78.49, 67.55
4, 4096, 0.3, 2, 92.57, 95.63, 78.96, 67.76
4, 4096, 0.3, 5, 91.15, 93.84, 77.92, 66.82
4, 4096, 0.3, 10, 87.62, 89.86, 74.34, 63.23
5, 512, 0.3, 0, 77.07, 82.29, 71.04, 66.08
5, 512, 0.3, 1, 78.58, 82.56, 71.6, 65.43
5, 512, 0.3, 2, 79.28, 82.71, 71.6, 62.8
5, 512, 0.3, 5, 74.12, 76.15, 66.32, 56.86
5, 512, 0.3, 10, 73.91, 76.74, 66.51, 59.31
5, 1024, 0.3, 0, 82.94, 87.45, 74.06, 65.65
5, 1024, 0.3, 1, 83.78, 88.11, 74.81, 63.97
5, 1024, 0.3, 2, 83.45, 87.38, 73.87, 63
5, 1024, 0.3, 5, 80.52, 83.28, 69.34, 59.06
5, 1024, 0.3, 10, 81.59, 82.43, 70.66, 57.47
5, 2048, 0.3, 0, 87.99, 92.46, 77.17, 71.45
5, 2048, 0.3, 1, 88.76, 92.85, 77.08, 69.14
5, 2048, 0.3, 2, 89.2, 93.12, 77.45, 67.15
5, 2048, 0.3, 5, 86.27, 89.62, 75.75, 66.15
5, 2048, 0.3, 10, 83.99, 84.15, 72.64, 55.58
5, 4096, 0.3, 0, 91.53, 95.16, 77.55, 68.66
5, 4096, 0.3, 1, 92.76, 95.78, 78.4, 67.51
5, 4096, 0.3, 2, 92.55, 95.59, 79.53, 67.83
5, 4096, 0.3, 5, 92.74, 95.16, 77.83, 66.53
5, 4096, 0.3, 10, 89.71, 90.37, 75.85, 64.3
6, 512, 0.3, 0, 79, 82.86, 72.45, 67.63
6, 512, 0.3, 1, 79.73, 83.21, 73.49, 66.21
6, 512, 0.3, 2, 78.28, 80.68, 70.57, 62.71
6, 512, 0.3, 5, 76.86, 78.31, 68.68, 57.09
6, 512, 0.3, 10, 77.44, 77.81, 69.06, 59.02
6, 1024, 0.3, 0, 83.43, 88.33, 74.34, 64.74
6, 1024, 0.3, 1, 84.68, 88.85, 75.19, 63.23
6, 1024, 0.3, 2, 84.68, 87.95, 75.66, 63.1
6, 1024, 0.3, 5, 82.84, 85.3, 72.64, 61.1
6, 1024, 0.3, 10, 82.17, 80.54, 72.92, 57.26
6, 2048, 0.3, 0, 88.78, 93, 76.7, 68.64
6, 2048, 0.3, 1, 89.36, 93.36, 78.02, 68.07
6, 2048, 0.3, 2, 89.71, 93.53, 78.21, 67.78
6, 2048, 0.3, 5, 88.34, 90.52, 77.17, 65.34
6, 2048, 0.3, 10, 85.34, 86.19, 72.45, 61.2
6, 4096, 0.3, 0, 92.55, 95.73, 78.96, 67.52
6, 4096, 0.3, 1, 93.09, 96.02, 78.77, 67.55
6, 4096, 0.3, 2, 93.37, 96.17, 78.49, 67.9
6, 4096, 0.3, 5, 93.99, 96.09, 78.77, 67.76
6, 4096, 0.3, 10, 90.22, 91.78, 75, 63.51
7, 512, 0.3, 0, 77.96, 82.53, 70.94, 65.42
7, 512, 0.3, 1, 79.84, 83.77, 72.64, 65.17
7, 512, 0.3, 2, 79.07, 82.5, 71.6, 63.55
7, 512, 0.3, 5, 75.58, 77.39, 66.42, 57.45
7, 512, 0.3, 10, 79.54, 78.97, 69.53, 55.98
7, 1024, 0.3, 0, 83.59, 88.62, 75.38, 64.22
7, 1024, 0.3, 1, 84.89, 89.24, 74.72, 62.96
7, 1024, 0.3, 2, 84.22, 87.76, 74.62, 62.87
7, 1024, 0.3, 5, 81.08, 83.6, 70.85, 59.43
7, 1024, 0.3, 10, 83.68, 82.13, 71.32, 54.72
7, 2048, 0.3, 0, 88.94, 92.9, 77.08, 69.93
7, 2048, 0.3, 1, 89.78, 93.71, 78.49, 68
7, 2048, 0.3, 2, 90.04, 93.83, 78.02, 67.08
7, 2048, 0.3, 5, 88.62, 90.36, 76.32, 63.21
7, 2048, 0.3, 10, 85.89, 87.74, 72.55, 57.81
7, 4096, 0.3, 0, 93.09, 95.97, 77.83, 66.59
7, 4096, 0.3, 1, 93.41, 96.15, 78.96, 67.58
7, 4096, 0.3, 2, 93.32, 96.19, 79.34, 67.85
7, 4096, 0.3, 5, 94.44, 96.3, 79.43, 68.06
7, 4096, 0.3, 10, 90.67, 91.94, 74.62, 61.16
8, 512, 0.3, 0, 79.17, 83.42, 71.89, 65.22
8, 512, 0.3, 1, 79.82, 83.62, 73.11, 64.29
8, 512, 0.3, 2, 79.42, 81.73, 72.36, 62.67
8, 512, 0.3, 5, 77.72, 80.16, 68.49, 58.59
8, 512, 0.3, 10, 78.31, 79.7, 68.68, 55.65
8, 1024, 0.3, 0, 84.5, 88.93, 75.85, 63.58
8, 1024, 0.3, 1, 85.89, 89.71, 75.19, 63.2
8, 1024, 0.3, 2, 84.85, 88.08, 75.09, 63.17
8, 1024, 0.3, 5, 83.4, 83.89, 71.51, 58.07
8, 1024, 0.3, 10, 82.91, 81.62, 71.42, 57.09
8, 2048, 0.3, 0, 89.43, 93.57, 77.45, 68.71
8, 2048, 0.3, 1, 90.36, 94.17, 78.02, 68.04
8, 2048, 0.3, 2, 90.83, 94.39, 78.49, 68.18
8, 2048, 0.3, 5, 89.97, 92.47, 78.4, 67.96
8, 2048, 0.3, 10, 88.08, 89.36, 75.19, 61.86
