N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
1, 512, 0.3, 0, 3.19, 5, 3.21, 5
1, 512, 0.3, 1, 51.28, 59.27, 47.08, 48.49
1, 512, 0.3, 2, 51.28, 59.27, 47.08, 48.49
1, 512, 0.3, 5, 51.28, 59.27, 47.08, 48.49
1, 512, 0.3, 10, 51.28, 59.27, 47.08, 48.49
1, 1024, 0.3, 0, 3.19, 5, 3.21, 5
1, 1024, 0.3, 1, 80.1, 85.93, 74.62, 69.67
1, 1024, 0.3, 2, 80.1, 85.93, 74.62, 69.67
1, 1024, 0.3, 5, 80.1, 85.93, 74.62, 69.67
1, 1024, 0.3, 10, 80.1, 85.93, 74.62, 69.67
1, 2048, 0.3, 0, 3.19, 5, 3.21, 5
1, 2048, 0.3, 1, 83.82, 89.64, 77.45, 75.09
1, 2048, 0.3, 2, 83.82, 89.64, 77.45, 75.09
1, 2048, 0.3, 5, 83.82, 89.64, 77.45, 75.09
1, 2048, 0.3, 10, 83.82, 89.64, 77.45, 75.09
1, 4096, 0.3, 0, 3.19, 5, 3.21, 5
1, 4096, 0.3, 1, 87.9, 93, 77.74, 69.98
1, 4096, 0.3, 2, 87.9, 93, 77.74, 69.98
1, 4096, 0.3, 5, 87.9, 93, 77.74, 69.98
1, 4096, 0.3, 10, 87.9, 93, 77.74, 69.98
2, 512, 0.3, 0, 3.19, 5, 3.21, 5
2, 512, 0.3, 1, 52, 60.5, 47.74, 49.04
2, 512, 0.3, 2, 53.31, 60.79, 49.15, 49.29
2, 512, 0.3, 5, 52.14, 57.24, 48.49, 45.6
2, 512, 0.3, 10, 53.19, 61.12, 46.23, 45.29
2, 1024, 0.3, 0, 3.19, 5, 3.21, 5
2, 1024, 0.3, 1, 81.17, 86.8, 75.28, 69.88
2, 1024, 0.3, 2, 82.29, 86.97, 75.38, 69.59
2, 1024, 0.3, 5, 81.8, 85.86, 75.28, 70.34
2, 1024, 0.3, 10, 79.89, 85.33, 73.21, 68.81
2, 2048, 0.3, 0, 3.19, 5, 3.21, 5
2, 2048, 0.3, 1, 85.06, 90.57, 78.11, 75.23
2, 2048, 0.3, 2, 85.94, 90.93, 78.77, 72.79
2, 2048, 0.3, 5, 86.24, 89.99, 78.4, 71.57
2, 2048, 0.3, 10, 85.17, 89.76, 76.32, 70.93
2, 4096, 0.3, 0, 3.19, 5, 3.21, 5
2, 4096, 0.3, 1, 89.11, 93.83, 78.77, 69.94
2, 4096, 0.3, 2, 89.94, 94.18, 79.34, 70.74
2, 4096, 0.3, 5, 90.55, 93.86, 79.43, 70.49
2, 4096, 0.3, 10, 89.2, 93.11, 79.34, 70.72
3, 512, 0.3, 0, 3.19, 5, 3.21, 5
3, 512, 0.3, 1, 52.56, 60.97, 48.21, 48.9
3, 512, 0.3, 2, 53.89, 61.71, 50.19, 49.11
3, 512, 0.3, 5, 52.16, 60.41, 46.7, 43.45
3, 512, 0.3, 10, 54.21, 62.98, 47.83, 46.7
3, 1024, 0.3, 0, 3.19, 5, 3.21, 5
3, 1024, 0.3, 1, 82.01, 87.25, 75.66, 70.18
3, 1024, 0.3, 2, 82.73, 87.15, 75, 69.2
3, 1024, 0.3, 5, 82.01, 85.66, 73.3, 67.75
3, 1024, 0.3, 10, 80.35, 84.83, 71.6, 66.7
3, 2048, 0.3, 0, 3.19, 5, 3.21, 5
3, 2048, 0.3, 1, 85.38, 90.89, 77.83, 75.12
3, 2048, 0.3, 2, 86.69, 91.58, 79.06, 73.1
3, 2048, 0.3, 5, 87.38, 91.3, 77.83, 70.58
3, 2048, 0.3, 10, 85.13, 88.94, 75.57, 68.83
3, 4096, 0.3, 0, 3.19, 5, 3.21, 5
3, 4096, 0.3, 1, 89.94, 94.2, 78.87, 70.48
3, 4096, 0.3, 2, 91.5, 95.2, 79.53, 71.12
3, 4096, 0.3, 5, 92.09, 94.82, 80.66, 70.82
3, 4096, 0.3, 10, 91.41, 94.67, 79.15, 70.55
4, 512, 0.3, 0, 3.19, 5, 3.21, 5
4, 512, 0.3, 1, 53.12, 61.79, 48.87, 49.17
4, 512, 0.3, 2, 54.49, 62.03, 50, 47.7
4, 512, 0.3, 5, 53.12, 61.4, 46.79, 44.91
4, 512, 0.3, 10, 55.63, 62.3, 48.21, 46.09
4, 1024, 0.3, 0, 3.19, 5, 3.21, 5
4, 1024, 0.3, 1, 82.15, 87.41, 75.75, 70.23
4, 1024, 0.3, 2, 82.59, 87.48, 75.85, 69.94
4, 1024, 0.3, 5, 80.54, 85.95, 72.17, 67.08
4, 1024, 0.3, 10, 80.19, 84.77, 71.6, 66.28
4, 2048, 0.3, 0, 3.19, 5, 3.21, 5
4, 2048, 0.3, 1, 86.38, 91.56, 78.58, 75.54
4, 2048, 0.3, 2, 87.66, 91.74, 79.25, 72.94
4, 2048, 0.3, 5, 88.01, 91.85, 79.62, 71.85
4, 2048, 0.3, 10, 85.66, 89.06, 75.75, 67.05
4, 4096, 0.3, 0, 3.19, 5, 3.21, 5
4, 4096, 0.3, 1, 90.36, 94.52, 79.34, 70.85
4, 4096, 0.3, 2, 91.99, 95.41, 79.91, 71.16
4, 4096, 0.3, 5, 92.92, 95.12, 79.53, 70.55
4, 4096, 0.3, 10, 90.53, 93.45, 77.08, 69.39
5, 512, 0.3, 0, 3.19, 5, 3.21, 5
5, 512, 0.3, 1, 53.31, 62.3, 48.96, 49.46
5, 512, 0.3, 2, 55.77, 63.82, 51.04, 48.97
5, 512, 0.3, 5, 53.86, 58.76, 47.83, 44.97
5, 512, 0.3, 10, 61.2, 66.96, 51.51, 48.26
5, 1024, 0.3, 0, 3.19, 5, 3.21, 5
5, 1024, 0.3, 1, 82.36, 87.71, 75.75, 70.25
5, 1024, 0.3, 2, 83.05, 88.07, 75.85, 70.49
5, 1024, 0.3, 5, 81.12, 85.55, 72.92, 66.98
5, 1024, 0.3, 10, 80.59, 83.75, 73.02, 67.16
5, 2048, 0.3, 0, 3.19, 5, 3.21, 5
5, 2048, 0.3, 1, 86.71, 91.69, 78.49, 75.09
5, 2048, 0.3, 2, 88.13, 92.08, 78.96, 71.1
5, 2048, 0.3, 5, 87.78, 90.57, 79.15, 70.74
5, 2048, 0.3, 10, 87.17, 90.49, 76.04, 69.53
5, 4096, 0.3, 0, 3.19, 5, 3.21, 5
5, 4096, 0.3, 1, 90.88, 94.92, 79.06, 70.32
5, 4096, 0.3, 2, 92.71, 95.93, 80.47, 71.32
5, 4096, 0.3, 5, 93.55, 95.63, 80.28, 72.06
5, 4096, 0.3, 10, 91.27, 93.39, 76.32, 67.45
