# num_models=20  M=4096  num_seqs=4277
seq_filename,seq_class_name,correct,rank,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20
data/sequences/M4096/A/00003.seq,A,*,1,A,I,I3,C,F,I2,P,I4,E,G2,D,G,C1,Bm,Bd,H,M,Bu,E1,B
data/sequences/M4096/A/00004.seq,A,*,1,A,I,I2,I3,P,E,F,I4,Bm,C,C1,D,Bd,G,H,G2,Bu,M,B,E1
data/sequences/M4096/A/00011.seq,A,*,1,A,I3,C,I2,F,I,I4,E,D,G2,E1,P,G,M,Bm,Bu,Bd,H,B,C1
data/sequences/M4096/A/00012.seq,A,*,1,A,I3,C,I4,F,D,E,I2,I,G2,Bm,E1,P,B,Bu,G,M,H,C1,Bd
data/sequences/M4096/A/00015.seq,A,*,1,A,I3,C,F,I,I2,D,I4,E,G2,P,Bm,E1,G,Bu,H,Bd,M,C1,B
data/sequences/M4096/A/00016.seq,A,*,1,A,C,I,F,I2,E,D,P,G2,I3,Bm,E1,I4,H,M,B,Bu,C1,G,Bd
data/sequences/M4096/A/00020.seq,A,*,1,A,I,I2,I3,P,F,E,C,D,G2,G,I4,Bm,H,C1,Bd,M,Bu,E1,B
data/sequences/M4096/A/00124.seq,A,*,1,A,I3,I4,Bm,Bu,G,I2,P,I,G2,E,C,H,B,Bd,F,D,M,E1,C1
data/sequences/M4096/A/00125.seq,A,*,1,A,I3,I4,I2,I,P,Bu,Bm,G,G2,E,H,C,D,F,Bd,M,B,C1,E1
data/sequences/M4096/A/00128.seq,A,*,1,A,I3,I,I2,Bm,C,F,P,G2,G,I4,E,Bu,D,H,M,E1,Bd,C1,B
data/sequences/M4096/A/00129.seq,A,*,1,A,I3,I4,C,F,P,G2,I,I2,D,E,E1,Bm,G,M,H,C1,Bu,Bd,B
data/sequences/M4096/A/00137.seq,A,*,1,A,I,E,I3,P,I2,G2,D,C,F,G,I4,Bm,Bd,Bu,M,C1,H,E1,B
data/sequences/M4096/A/00140.seq,A,*,1,A,I3,I,C,I4,E,F,I2,P,G2,D,Bm,G,Bu,H,Bd,C1,E1,M,B
data/sequences/M4096/A/00141.seq,A,*,1,A,I,E,I2,F,G2,C,P,D,I3,C1,G,Bm,Bd,E1,I4,Bu,H,B,M
data/sequences/M4096/A/00144.seq,A,*,1,A,I,C,E,F,D,P,I3,I2,G2,G,E1,I4,Bm,H,Bu,M,B,Bd,C1
data/sequences/M4096/A/00145.seq,A,*,1,A,C,I,I2,G2,E,F,E1,P,D,I3,G,Bm,I4,Bu,M,C1,H,Bd,B
data/sequences/M4096/A/00227.seq,A,*,1,A,I3,I4,G,P,I,I2,Bu,Bd,G2,E,Bm,H,D,E1,F,C,B,M,C1
data/sequences/M4096/A/00231.seq,A,*,1,A,I3,I4,G,I,P,Bu,Bd,I2,E,Bm,G2,C,F,B,D,H,C1,E1,M
data/sequences/M4096/A/00235.seq,A,*,1,A,I3,I4,P,G,I,G2,I2,Bu,Bm,Bd,E,C,F,D,B,H,C1,M,E1
data/sequences/M4096/A/00236.seq,A,*,1,A,I3,I4,P,I,G,Bu,I2,Bm,Bd,E,G2,C,B,H,F,C1,D,E1,M
data/sequences/M4096/A/00239.seq,A,*,1,A,I3,I4,G,P,Bm,I,I2,H,E,Bu,C,G2,F,D,Bd,M,C1,B,E1
data/sequences/M4096/A/00240.seq,A,*,1,A,I3,G,I,I4,P,I2,Bm,Bu,G2,E,Bd,H,C,F,B,D,C1,E1,M
data/sequences/M4096/A/00243.seq,A,*,1,A,I3,Bm,I2,Bu,Bd,B,I4,H,I,E,M,F,C,P,G2,G,D,E1,C1
data/sequences/M4096/A/00244.seq,A,*,1,A,I3,I4,P,I2,I,G,Bu,Bm,Bd,C1,H,E,G2,C,F,D,B,M,E1
data/sequences/M4096/A/00248.seq,A,*,1,A,I3,I,P,E,I4,C,G,I2,D,G2,F,Bd,Bu,Bm,C1,H,M,E1,B
data/sequences/M4096/A/00251.seq,A,*,1,A,I3,I4,C,I,F,I2,P,E,G,D,C1,Bu,Bm,G2,Bd,B,H,M,E1
data/sequences/M4096/A/00252.seq,A,*,1,A,I3,C,I,F,I2,E,P,D,G2,I4,G,C1,Bm,Bu,Bd,M,E1,H,B
data/sequences/M4096/A/00255.seq,A,*,1,A,I3,C,I2,I,F,G2,I4,E,D,E1,P,G,Bu,Bd,Bm,M,C1,H,B
