tt,class,selection
TRAIN,A,00003
TEST,A,00004
TRAIN,A,00007
TRAIN,A,00008
TRAIN,A,00011
TRAIN,A,00012
TEST,A,00015
TRAIN,A,00016
TRAIN,A,00019
TRAIN,A,00020
TRAIN,A,00118
TRAIN,A,00122
TRAIN,A,00124
TRAIN,A,00125
TRAIN,A,00128
TEST,A,00129
TRAIN,A,00132
TRAIN,A,00133
TRAIN,A,00136
TRAIN,A,00137
TRAIN,A,00140
TRAIN,A,00141
TRAIN,A,00144
TRAIN,A,00145
TRAIN,A,00227
TEST,A,00231
TRAIN,A,00235
TRAIN,A,00236
TRAIN,A,00239
TRAIN,A,00240
TRAIN,A,00243
TRAIN,A,00244
TRAIN,A,00247
TEST,A,00248
TRAIN,A,00251
TRAIN,A,00252
TEST,A,00255
TEST,A,00256
TRAIN,A,00259
TRAIN,A,00260
TRAIN,A,00263
TEST,A,00264
TRAIN,A,00457
TRAIN,A,00462
TRAIN,A,00466
TRAIN,A,00467
TRAIN,A,00470
TRAIN,A,00471
TRAIN,A,00474
TRAIN,A,00475
TRAIN,A,00478
TRAIN,A,00479
TRAIN,A,00482
TRAIN,A,00483
TRAIN,A,00486
TEST,A,00487
TRAIN,A,00490
TRAIN,A,00491
TRAIN,A,00494
TRAIN,A,00495
TRAIN,A,00498
TRAIN,A,00499
TRAIN,A,00502
TRAIN,A,00503
TRAIN,A,00506
TEST,A,00509
TRAIN,A,00512
TRAIN,A,00515
TEST,A,00516
TRAIN,A,00519
TRAIN,A,00520
TRAIN,A,00523
TRAIN,A,00701
TRAIN,A,00705
TEST,A,00706
TRAIN,A,00709
TRAIN,A,00710
TEST,A,00713
TRAIN,A,00714
TRAIN,A,00717
TRAIN,A,00718
TEST,A,00721
TRAIN,A,00722
TEST,A,00725
TRAIN,A,00726
TRAIN,A,00729
TRAIN,A,00730
TRAIN,A,00733
TEST,A,00734
TRAIN,A,00737
TEST,A,00738
TRAIN,A,00741
TRAIN,A,00742
TRAIN,A,00745
TRAIN,A,00746
TEST,A,00749
TEST,A,00750
TRAIN,A,00753
TRAIN,A,00756
TRAIN,A,00759
TEST,A,00895
TRAIN,A,00900
TEST,A,00904
TEST,A,00907
TRAIN,A,00908
TRAIN,A,00911
TRAIN,A,00912
TRAIN,A,00915
TEST,A,00916
TRAIN,A,00919
TRAIN,A,00920
TEST,A,01105
TRAIN,A,01109
TEST,A,01111
TEST,A,01112
TRAIN,A,01115
TRAIN,A,01116
TRAIN,A,01119
TRAIN,A,01120
TRAIN,A,01123
TRAIN,A,01124
TRAIN,A,01127
TRAIN,A,01128
TRAIN,A,01131
TRAIN,A,01132
TRAIN,A,01135
TRAIN,A,01138
TRAIN,A,01285
TRAIN,A,01289
TRAIN,A,01293
TEST,A,01296
TRAIN,A,01297
TEST,A,01300
TRAIN,A,01301
TRAIN,A,01304
TRAIN,A,01305
TRAIN,A,01308
TRAIN,A,01309
TRAIN,A,01312
TRAIN,A,01313
TEST,A,01316
TRAIN,A,01317
TRAIN,A,01320
TRAIN,A,01481
TRAIN,A,01485
TEST,A,01488
TRAIN,A,01489
TRAIN,A,01492
TRAIN,A,01493
TRAIN,A,01496
TRAIN,A,01497
TRAIN,A,01500
TRAIN,A,01501
TEST,A,01504
TRAIN,A,01507
TRAIN,A,01510
TRAIN,A,01668
TRAIN,A,01672
TRAIN,A,01674
TRAIN,A,01677
TRAIN,A,01680
TRAIN,A,01681
TEST,A,01684
TEST,A,01685
TRAIN,A,01688
TRAIN,A,01689
TRAIN,A,01692
TRAIN,A,01695
TRAIN,A,01696
TEST,A,01699
TRAIN,A,01702
TEST,A,01705
TRAIN,A,01708
TRAIN,A,01709
TRAIN,A,01712
TRAIN,A,01715
TRAIN,A,01843
TRAIN,A,01847
TRAIN,A,01851
TEST,A,01854
TRAIN,A,01855
TRAIN,A,01858
TEST,A,01859
TEST,A,01862
TRAIN,A,01863
TRAIN,A,01866
TRAIN,A,01867
TRAIN,A,01870
TRAIN,A,01871
TRAIN,A,01874
TEST,Bd,00119
TRAIN,Bd,00120
TEST,Bd,00121
TEST,Bd,00229
TRAIN,Bd,00232
TRAIN,Bd,00234
TRAIN,Bd,00242
TRAIN,Bd,00458
TRAIN,Bd,00459
TRAIN,Bd,00460
TRAIN,Bd,00461
TRAIN,Bd,00896
TRAIN,Bd,00897
TRAIN,Bd,00898
TRAIN,Bd,00899
TEST,Bd,00901
TRAIN,Bd,00902
TRAIN,Bd,00903
TEST,Bd,00905
TEST,Bd,00906
TRAIN,Bd,01286
TRAIN,Bd,01287
TRAIN,Bd,01288
TRAIN,Bd,01290
TRAIN,Bd,01291
TRAIN,Bd,01292
TRAIN,Bd,01669
TRAIN,Bd,01670
TRAIN,Bd,01671
TRAIN,Bd,01675
TRAIN,Bm,00006
TEST,Bm,00127
TRAIN,Bm,00135
TRAIN,Bm,00139
TRAIN,Bm,00463
TEST,Bm,00464
TRAIN,Bm,00465
TEST,Bm,00469
TRAIN,Bm,00477
TEST,Bm,00501
TRAIN,Bm,00508
TEST,Bm,00511
TRAIN,Bm,00514
TRAIN,Bm,00518
TRAIN,Bm,00522
TRAIN,Bm,00525
TEST,Bm,00526
TRAIN,Bm,00529
