N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
3, 2048, 0.3, -1, 83.59, 85.7, 73.27, 75.56
1, 512, 0.3, 0, 77.69, 80.71, 73.56, 75.65
1, 512, 0.3, 1, 77.69, 80.71, 73.56, 75.65
1, 512, 0.3, 5, 77.69, 80.71, 73.56, 75.65
1, 512, 0.3, 10, 77.69, 80.71, 73.56, 75.65
1, 512, 0.3, -1, 77.69, 80.71, 73.56, 75.65
1, 1024, 0.3, 0, 80.23, 82.99, 75.25, 77.28
1, 1024, 0.3, 1, 80.23, 82.99, 75.25, 77.28
1, 1024, 0.3, 5, 80.23, 82.99, 75.25, 77.28
1, 1024, 0.3, 10, 80.23, 82.99, 75.25, 77.28
1, 1024, 0.3, -1, 80.23, 82.99, 75.25, 77.28
1, 2048, 0.3, 0, 83.96, 86.27, 75.84, 77.92
1, 2048, 0.3, 1, 83.96, 86.27, 75.84, 77.92
1, 2048, 0.3, 5, 83.96, 86.27, 75.84, 77.92
1, 2048, 0.3, 10, 83.96, 86.27, 75.84, 77.92
1, 2048, 0.3, -1, 83.96, 86.27, 75.84, 77.92
1, 4096, 0.3, 0, 87.25, 89.4, 76.34, 78.41
1, 4096, 0.3, 1, 87.25, 89.4, 76.34, 78.41
1, 4096, 0.3, 5, 87.25, 89.4, 76.34, 78.41
1, 4096, 0.3, 10, 87.25, 89.4, 76.34, 78.41
1, 4096, 0.3, -1, 87.25, 89.4, 76.34, 78.41
2, 512, 0.3, 0, 78.09, 80.86, 73.27, 75.41
2, 512, 0.3, 1, 78.46, 80.78, 73.76, 75.7
2, 512, 0.3, 5, 76.64, 78.11, 72.67, 73.98
2, 512, 0.3, 10, 74.15, 76.3, 68.91, 71.93
2, 512, 0.3, -1, 74.85, 77.29, 68.91, 71.5
2, 1024, 0.3, 0, 81.47, 83.89, 75.35, 77.22
2, 1024, 0.3, 1, 81.85, 84.1, 76.24, 77.84
2, 1024, 0.3, 5, 81.52, 83.09, 74.95, 76.92
2, 1024, 0.3, 10, 80.38, 81.85, 73.17, 75.1
2, 1024, 0.3, -1, 80.6, 81.81, 73.07, 74.27
2, 2048, 0.3, 0, 85.73, 87.41, 76.83, 78.42
2, 2048, 0.3, 1, 85.71, 87.45, 76.73, 78.54
2, 2048, 0.3, 5, 85.88, 87.16, 76.63, 78.84
2, 2048, 0.3, 10, 83.86, 85.05, 75.15, 76.76
2, 2048, 0.3, -1, 83.79, 84.97, 75.25, 76.83
2, 4096, 0.3, 0, 89.37, 90.89, 76.04, 78
2, 4096, 0.3, 1, 89.49, 90.96, 76.34, 78.47
2, 4096, 0.3, 5, 89.69, 91.04, 75.94, 78.54
2, 4096, 0.3, 10, 89.07, 90.22, 75.94, 78.18
2, 4096, 0.3, -1, 89.14, 90.28, 76.14, 78.37
3, 512, 0.3, 0, 77.59, 80.48, 72.77, 74.98
3, 512, 0.3, 1, 78.44, 81.15, 73.66, 75.67
3, 512, 0.3, 5, 72.66, 73.95, 68.71, 70.83
3, 512, 0.3, 10, 72.53, 74.87, 69.6, 71.72
3, 512, 0.3, -1, 71.89, 72.81, 67.72, 68.79
3, 1024, 0.3, 0, 80.95, 83.71, 74.95, 77.13
3, 1024, 0.3, 1, 81.82, 84.07, 76.24, 77.7
3, 1024, 0.3, 5, 77.42, 78.92, 70.99, 73.33
3, 1024, 0.3, 10, 76.69, 77.34, 73.07, 72.89
3, 1024, 0.3, -1, 77.89, 78.89, 72.18, 72.05
3, 2048, 0.3, 0, 85.31, 87.11, 76.34, 77.99
3, 2048, 0.3, 1, 85.81, 87.61, 76.83, 78.6
3, 2048, 0.3, 5, 82.89, 83.09, 75.54, 76.29
3, 2048, 0.3, 10, 81.15, 82.01, 72.38, 73.29
3, 2048, 0.3, -1, 80.73, 80.39, 73.66, 73.34
3, 4096, 0.3, 0, 88.99, 90.65, 75.94, 78.11
3, 4096, 0.3, 1, 90.01, 91.5, 76.24, 78.48
3, 4096, 0.3, 5, 89.57, 90.29, 76.53, 78.12
3, 4096, 0.3, 10, 87.13, 86.97, 72.97, 73.59
3, 4096, 0.3, -1, 86.58, 85.91, 72.38, 71.76
4, 512, 0.3, 0, 78.56, 81.15, 73.66, 75.46
4, 512, 0.3, 1, 79.48, 82.07, 74.46, 76.59
4, 512, 0.3, 5, 72.73, 73.11, 68.91, 69.1
4, 512, 0.3, 10, 76.62, 79.75, 71.09, 74.38
4, 512, 0.3, -1, 76.39, 78.47, 72.28, 73.22
4, 1024, 0.3, 0, 81.97, 84.47, 74.46, 76.66
4, 1024, 0.3, 1, 82.37, 84.76, 76.63, 78.22
4, 1024, 0.3, 5, 77.64, 77.7, 71.19, 71.36
4, 1024, 0.3, 10, 76.72, 77.86, 71.19, 73.11
4, 1024, 0.3, -1, 78.96, 80.08, 71.19, 72.39
4, 2048, 0.3, 0, 86.21, 88, 76.93, 78.32
4, 2048, 0.3, 1, 87.05, 88.73, 76.73, 78.49
4, 2048, 0.3, 5, 83.49, 83.77, 74.55, 75.15
4, 2048, 0.3, 10, 82.62, 81.25, 72.97, 71.14
4, 2048, 0.3, -1, 82.64, 81.41, 73.56, 72.98
4, 4096, 0.3, 0, 90.21, 91.63, 76.83, 78.98
4, 4096, 0.3, 1, 90.71, 91.98, 76.93, 78.96
4, 4096, 0.3, 5, 91.53, 92.49, 75.64, 78.21
4, 4096, 0.3, 10, 89.94, 90.21, 73.66, 74.89
4, 4096, 0.3, -1, 84.56, 83.92, 71.58, 71.14
5, 512, 0.3, 0, 78.66, 81.35, 74.16, 75.95
5, 512, 0.3, 1, 78.93, 81.69, 74.26, 76.44
5, 512, 0.3, 5, 75.17, 74.43, 71.49, 70.83
5, 512, 0.3, 10, 74.95, 76.44, 70.69, 72.65
5, 512, 0.3, -1, 75.55, 76.62, 69.8, 70.7
5, 1024, 0.3, 0, 82.27, 84.51, 75.15, 76.99
5, 1024, 0.3, 1, 83.32, 85.31, 76.04, 77.91
5, 1024, 0.3, 5, 77.79, 78.01, 72.28, 72.64
5, 1024, 0.3, 10, 80.48, 79.09, 72.67, 70.88
5, 1024, 0.3, -1, 77.49, 77.89, 70.4, 70.59
5, 2048, 0.3, 0, 85.61, 87.67, 76.24, 77.88
5, 2048, 0.3, 1, 86.75, 88.48, 77.03, 78.94
5, 2048, 0.3, 5, 86.93, 87.71, 75.94, 77.11
5, 2048, 0.3, 10, 83.69, 83.01, 72.57, 72.41
5, 2048, 0.3, -1, 82.89, 81.83, 72.57, 71.65
5, 4096, 0.3, 0, 90.64, 91.97, 76.83, 78.69
5, 4096, 0.3, 1, 91.36, 92.45, 77.03, 79.13
5, 4096, 0.3, 5, 92.73, 93.7, 77.23, 79.3
5, 4096, 0.3, 10, 89.29, 89.65, 74.26, 75.72
5, 4096, 0.3, -1, 86.33, 86.57, 71.58, 72.9
6, 512, 0.3, 0, 78.83, 81.53, 73.47, 75.49
6, 512, 0.3, 1, 79.58, 82.16, 75.15, 77.21
6, 512, 0.3, 5, 75.85, 75.12, 69.41, 69.24
6, 512, 0.3, 10, 77.17, 79.58, 71.09, 73.54
6, 512, 0.3, -1, 76.84, 77.56, 71.58, 72.65
6, 1024, 0.3, 0, 82.99, 85.05, 75.15, 76.97
6, 1024, 0.3, 1, 83.81, 85.8, 76.34, 78.02
6, 1024, 0.3, 5, 80.45, 80.29, 72.67, 72.49
6, 1024, 0.3, 10, 79.98, 79.55, 74.65, 73.97
6, 1024, 0.3, -1, 80.65, 80.26, 73.86, 74
6, 2048, 0.3, 0, 87.23, 88.85, 76.14, 77.62
6, 2048, 0.3, 1, 87.65, 89.17, 76.73, 78.24
6, 2048, 0.3, 5, 84.91, 86.26, 74.95, 76.74
6, 2048, 0.3, 10, 82.2, 81.65, 71.29, 71.07
6, 2048, 0.3, -1, 82.89, 81.82, 71.19, 70.18
6, 4096, 0.3, 0, 91.06, 92.34, 76.53, 78.54
6, 4096, 0.3, 1, 92.08, 93.08, 77.23, 79.43
6, 4096, 0.3, 5, 92.98, 93.72, 76.73, 78.31
6, 4096, 0.3, 10, 90.31, 90.15, 75.35, 76.43
6, 4096, 0.3, -1, 88.35, 88.51, 73.66, 74.36
7, 512, 0.3, 0, 78.24, 81.48, 73.47, 75.76
7, 512, 0.3, 1, 80.35, 82.94, 73.96, 76.83
7, 512, 0.3, 5, 76, 75.69, 69.9, 69.79
7, 512, 0.3, 10, 77.86, 78.26, 70.4, 71.41
7, 512, 0.3, -1, 77.74, 78.74, 70.3, 70.58
7, 1024, 0.3, 0, 82.3, 84.48, 74.55, 76.51
7, 1024, 0.3, 1, 84.24, 86.12, 76.24, 78.17
7, 1024, 0.3, 5, 81.87, 81.29, 74.95, 75.06
7, 1024, 0.3, 10, 80.93, 79.81, 71.58, 70.88
7, 1024, 0.3, -1, 81.18, 80.08, 73.17, 72.85
7, 2048, 0.3, 0, 86.6, 88.36, 75.54, 77.25
7, 2048, 0.3, 1, 88.12, 89.55, 76.83, 78.35
7, 2048, 0.3, 5, 88.17, 89.01, 76.73, 78.52
7, 2048, 0.3, 10, 82.74, 83.35, 71.68, 72.96
7, 2048, 0.3, -1, 84.14, 82.91, 72.77, 73.39
7, 4096, 0.3, 0, 91.88, 92.9, 77.13, 78.8
7, 4096, 0.3, 1, 92.21, 93.25, 77.43, 79.32
7, 4096, 0.3, 5, 92.6, 92.95, 75.54, 77.04
7, 4096, 0.3, 10, 87.97, 88.05, 71.68, 72.96
7, 4096, 0.3, -1, 88.79, 88.94, 72.48, 73.55
8, 512, 0.3, 0, 79.43, 82.08, 74.16, 76.07
