tt,class,selection
TRAIN,A,00003
TEST,A,00004
TEST,A,00007
TRAIN,A,00008
TRAIN,A,00011
TEST,A,00012
TEST,A,00015
TRAIN,A,00016
TEST,A,00019
TRAIN,A,00020
TRAIN,A,00118
TRAIN,A,00122
TRAIN,A,00124
TRAIN,A,00125
TRAIN,A,00128
TRAIN,A,00129
TRAIN,A,00132
TEST,A,00133
TRAIN,A,00136
TEST,A,00137
TRAIN,A,00140
TRAIN,A,00141
TRAIN,A,00144
TRAIN,A,00145
TRAIN,A,00227
TRAIN,A,00231
TRAIN,A,00235
TEST,A,00236
TRAIN,A,00239
TRAIN,A,00240
TRAIN,A,00243
TEST,A,00244
TRAIN,A,00247
TEST,A,00248
TRAIN,A,00251
TRAIN,A,00252
TRAIN,A,00255
TRAIN,A,00256
TRAIN,A,00259
TRAIN,A,00260
TEST,A,00263
TRAIN,A,00264
TRAIN,A,00457
TRAIN,A,00462
TRAIN,A,00466
TRAIN,A,00467
TEST,A,00470
TRAIN,A,00471
TEST,A,00474
TEST,A,00475
TRAIN,A,00478
TRAIN,A,00479
TRAIN,A,00482
TRAIN,A,00483
TEST,A,00486
TRAIN,A,00487
TEST,A,00490
TEST,A,00491
TEST,A,00494
TRAIN,A,00495
TRAIN,A,00498
TRAIN,A,00499
TRAIN,A,00502
TEST,A,00503
TRAIN,A,00506
TRAIN,A,00509
TRAIN,A,00512
TRAIN,A,00515
TRAIN,A,00516
TRAIN,A,00519
TEST,A,00520
TRAIN,A,00523
TRAIN,A,00701
TRAIN,A,00705
TRAIN,A,00706
TRAIN,A,00709
TRAIN,A,00710
TEST,A,00713
TRAIN,A,00714
TRAIN,A,00717
TRAIN,A,00718
TEST,A,00721
TRAIN,A,00722
TRAIN,A,00725
TRAIN,A,00726
TEST,A,00729
TEST,A,00730
TRAIN,A,00733
TEST,A,00734
TEST,A,00737
TRAIN,A,00738
TRAIN,A,00741
TRAIN,A,00742
TRAIN,A,00745
TRAIN,A,00746
TEST,A,00749
TEST,A,00750
TRAIN,A,00753
TRAIN,A,00756
TRAIN,A,00759
TRAIN,A,00895
TEST,A,00900
TRAIN,A,00904
TRAIN,A,00907
TEST,A,00908
TRAIN,A,00911
TRAIN,A,00912
TRAIN,A,00915
TRAIN,A,00916
TRAIN,A,00919
TRAIN,A,00920
TRAIN,A,01105
TRAIN,A,01109
TEST,A,01111
TEST,A,01112
TRAIN,A,01115
TRAIN,A,01116
TRAIN,A,01119
TRAIN,A,01120
TRAIN,A,01123
TRAIN,A,01124
TRAIN,A,01127
TRAIN,A,01128
TRAIN,A,01131
TRAIN,A,01132
TRAIN,A,01135
TRAIN,A,01138
TRAIN,A,01285
TRAIN,A,01289
TRAIN,A,01293
TRAIN,A,01296
TRAIN,A,01297
TRAIN,A,01300
TRAIN,A,01301
TRAIN,A,01304
TRAIN,A,01305
TRAIN,A,01308
TRAIN,A,01309
TRAIN,A,01312
TRAIN,A,01313
TRAIN,A,01316
TRAIN,A,01317
TRAIN,A,01320
TRAIN,A,01481
TRAIN,A,01485
TRAIN,A,01488
TRAIN,A,01489
TRAIN,A,01492
TRAIN,A,01493
TRAIN,A,01496
TEST,A,01497
TRAIN,A,01500
TEST,A,01501
TRAIN,A,01504
TRAIN,A,01507
TRAIN,A,01510
TRAIN,A,01668
TRAIN,A,01672
TRAIN,A,01674
TRAIN,A,01677
TEST,A,01680
TRAIN,A,01681
TRAIN,A,01684
TRAIN,A,01685
TRAIN,A,01688
TEST,A,01689
TEST,A,01692
TEST,A,01695
TRAIN,A,01696
TRAIN,A,01699
TEST,A,01702
TEST,A,01705
TRAIN,A,01708
TRAIN,A,01709
TEST,A,01712
TRAIN,A,01715
TRAIN,A,01843
TRAIN,A,01847
TRAIN,A,01851
TRAIN,A,01854
TRAIN,A,01855
TRAIN,A,01858
TRAIN,A,01859
TEST,A,01862
TRAIN,A,01863
TRAIN,A,01866
TRAIN,A,01867
TRAIN,A,01870
TRAIN,A,01871
TRAIN,A,01874
TEST,A,02042
TEST,A,02046
TRAIN,A,02050
TRAIN,A,02053
TRAIN,A,02054
TRAIN,A,02057
TRAIN,A,02058
TRAIN,A,02061
TRAIN,A,02062
TEST,A,02065
TRAIN,A,02066
TEST,A,02069
TRAIN,A,02070
TRAIN,A,02073
TRAIN,A,02076
TEST,A,02238
TEST,A,02241
TEST,A,02242
TRAIN,A,02245
TRAIN,A,02246
TRAIN,A,02249
TRAIN,A,02250
TRAIN,A,02253
TRAIN,A,02254
TRAIN,A,02257
TEST,A,02258
TEST,A,02261
TRAIN,A,02262
TRAIN,A,02265
TRAIN,A,02266
TRAIN,A,02269
TRAIN,A,02270
TRAIN,A,02273
TRAIN,A,02276
TRAIN,A,02421
TEST,A,02426
TEST,A,02430
TEST,A,02433
TRAIN,A,02434
TRAIN,A,02437
TRAIN,A,02438
TRAIN,A,02441
TRAIN,A,02442
TRAIN,A,02445
TRAIN,A,02446
TRAIN,A,02449
TEST,A,02450
TRAIN,A,02453
TRAIN,A,02454
TRAIN,A,02457
TRAIN,A,02599
TEST,A,02603
TRAIN,A,02607
TRAIN,A,02610
TEST,A,02611
TRAIN,A,02614
TRAIN,A,02615
TEST,A,02618
TRAIN,A,02619
