tt,class,selection
TRAIN,A,00003
TRAIN,A,00004
TRAIN,A,00007
TEST,A,00008
TRAIN,A,00011
TRAIN,A,00012
TEST,A,00015
TRAIN,A,00016
TRAIN,A,00019
TRAIN,A,00020
TRAIN,A,00118
TRAIN,A,00122
TRAIN,A,00124
TEST,A,00125
TEST,A,00128
TRAIN,A,00129
TEST,A,00132
TRAIN,A,00133
TRAIN,A,00136
TRAIN,A,00137
TRAIN,A,00140
TEST,A,00141
TEST,A,00144
TRAIN,A,00145
TRAIN,A,00227
TRAIN,A,00231
TRAIN,A,00235
TRAIN,A,00236
TRAIN,A,00239
TEST,A,00240
TRAIN,A,00243
TRAIN,A,00244
TRAIN,A,00247
TRAIN,A,00248
TRAIN,A,00251
TRAIN,A,00252
TEST,A,00255
TRAIN,A,00256
TEST,A,00259
TRAIN,A,00260
TRAIN,A,00263
TRAIN,A,00264
TRAIN,A,00457
TRAIN,A,00462
TEST,A,00466
TEST,A,00467
TEST,A,00470
TRAIN,A,00471
TEST,A,00474
TRAIN,A,00475
TEST,A,00478
TRAIN,A,00479
TRAIN,A,00482
TRAIN,A,00483
TRAIN,A,00486
TRAIN,A,00487
TRAIN,A,00490
TRAIN,A,00491
TRAIN,A,00494
TRAIN,A,00495
TRAIN,A,00498
TRAIN,A,00499
TRAIN,A,00502
TRAIN,A,00503
TEST,A,00506
TRAIN,A,00509
TRAIN,A,00512
TRAIN,A,00515
TEST,A,00516
TRAIN,A,00519
TRAIN,A,00520
TRAIN,A,00523
TEST,A,00701
TEST,A,00705
TRAIN,A,00706
TRAIN,A,00709
TRAIN,A,00710
TEST,A,00713
TRAIN,A,00714
TEST,A,00717
TRAIN,A,00718
TRAIN,A,00721
TRAIN,A,00722
TRAIN,A,00725
TRAIN,A,00726
TRAIN,A,00729
TRAIN,A,00730
TRAIN,A,00733
TRAIN,A,00734
TRAIN,A,00737
TRAIN,A,00738
TRAIN,A,00741
TRAIN,A,00742
TRAIN,A,00745
TRAIN,A,00746
TRAIN,A,00749
TEST,A,00750
TRAIN,A,00753
TRAIN,A,00756
TRAIN,A,00759
TEST,A,00895
TEST,A,00900
TEST,A,00904
TRAIN,A,00907
TRAIN,A,00908
TEST,A,00911
TRAIN,A,00912
TRAIN,A,00915
TRAIN,A,00916
TRAIN,A,00919
TRAIN,A,00920
TRAIN,A,01105
TRAIN,A,01109
TEST,A,01111
TRAIN,A,01112
TEST,A,01115
TRAIN,A,01116
TRAIN,A,01119
TRAIN,A,01120
TRAIN,A,01123
TRAIN,A,01124
TRAIN,A,01127
TRAIN,A,01128
TRAIN,A,01131
TRAIN,A,01132
TRAIN,A,01135
TEST,A,01138
TRAIN,A,01285
TRAIN,A,01289
TRAIN,A,01293
TRAIN,A,01296
TRAIN,A,01297
TRAIN,A,01300
TRAIN,A,01301
TRAIN,A,01304
TRAIN,A,01305
TRAIN,A,01308
TRAIN,A,01309
TRAIN,A,01312
TRAIN,A,01313
TEST,A,01316
TRAIN,A,01317
TEST,A,01320
TRAIN,A,01481
TEST,A,01485
TRAIN,A,01488
TRAIN,A,01489
TRAIN,A,01492
TEST,A,01493
TEST,A,01496
TRAIN,A,01497
TRAIN,A,01500
TRAIN,A,01501
TRAIN,A,01504
TEST,A,01507
TRAIN,A,01510
TRAIN,A,01668
TRAIN,A,01672
TRAIN,A,01674
TEST,A,01677
TRAIN,A,01680
TEST,A,01681
TRAIN,A,01684
TRAIN,A,01685
TRAIN,A,01688
TEST,A,01689
TRAIN,A,01692
TEST,A,01695
TRAIN,A,01696
TRAIN,A,01699
TRAIN,A,01702
TRAIN,A,01705
TRAIN,A,01708
TRAIN,A,01709
TRAIN,A,01712
TRAIN,A,01715
TRAIN,A,01843
TRAIN,A,01847
TRAIN,A,01851
TEST,A,01854
TEST,A,01855
TRAIN,A,01858
TRAIN,A,01859
TRAIN,A,01862
TRAIN,A,01863
TEST,A,01866
TRAIN,A,01867
TRAIN,A,01870
TRAIN,A,01871
TRAIN,A,01874
TRAIN,A,02042
TRAIN,A,02046
TRAIN,A,02050
TRAIN,A,02053
TRAIN,A,02054
TRAIN,A,02057
TRAIN,A,02058
TEST,A,02061
TRAIN,A,02062
TEST,A,02065
TEST,A,02066
TRAIN,A,02069
TRAIN,A,02070
TRAIN,A,02073
TRAIN,A,02076
TEST,A,02238
TRAIN,A,02241
TRAIN,A,02242
TRAIN,A,02245
TRAIN,A,02246
TRAIN,A,02249
TRAIN,A,02250
TEST,A,02253
TRAIN,A,02254
TRAIN,A,02257
TRAIN,A,02258
TEST,A,02261
TRAIN,A,02262
TRAIN,A,02265
TRAIN,A,02266
TRAIN,A,02269
TRAIN,A,02270
TEST,A,02273
TRAIN,A,02276
TRAIN,A,02421
TRAIN,A,02426
TRAIN,A,02430
TRAIN,A,02433
TRAIN,A,02434
TRAIN,A,02437
TRAIN,A,02438
TRAIN,A,02441
TEST,A,02442
TRAIN,A,02445
TRAIN,A,02446
TRAIN,A,02449
TRAIN,A,02450
TRAIN,A,02453
TRAIN,A,02454
TRAIN,A,02457
TEST,A,02599
TEST,A,02603
TRAIN,A,02607
TRAIN,A,02610
TRAIN,A,02611
TEST,A,02614
TRAIN,A,02615
TEST,A,02618
TEST,A,02619
TRAIN,A,02622
TRAIN,A,02623
TRAIN,A,02626
TRAIN,A,02627
TRAIN,A,02630
TRAIN,A,02631
TRAIN,A,02634
TEST,A,02635
TRAIN,A,02638
TEST,A,02721
TEST,A,02722
TRAIN,A,02726
TRAIN,A,02727
TRAIN,A,02730
TRAIN,A,02731
TEST,A,02734
TEST,A,02735
TRAIN,A,02738
TRAIN,A,02739
TRAIN,A,02742
TRAIN,A,02743
TRAIN,A,02746
TRAIN,A,02747
TRAIN,A,02750
TEST,A,02753
TRAIN,A,02756
TRAIN,A,02887
TRAIN,A,02891
TRAIN,A,02894
TRAIN,A,02895
TRAIN,A,02898
TRAIN,A,02899
TRAIN,A,02902
TEST,A,02903
TRAIN,A,02906
TRAIN,A,02907
TEST,A,02910
TRAIN,A,02911
TRAIN,A,02914
TRAIN,A,03033
TRAIN,A,03037
TEST,A,03041
TEST,A,03044
TRAIN,A,03045
TRAIN,A,03047
TRAIN,A,03048
TRAIN,A,03051
TEST,A,03052
TRAIN,A,03055
TRAIN,A,03056
TRAIN,A,03059
TRAIN,A,03060
TEST,A,03063
TRAIN,A,03177
TRAIN,A,03313
TRAIN,A,03318
TEST,A,03321
TRAIN,A,03324
TRAIN,A,03325
TRAIN,A,03328
TRAIN,A,03329
TEST,A,03332
TEST,A,03333
TRAIN,A,03336
TRAIN,A,03337
TRAIN,A,03340
TRAIN,A,03341
TRAIN,A,03444
TRAIN,A,03449
TRAIN,A,03453
TRAIN,A,03457
TRAIN,A,03460
TRAIN,A,03461
TRAIN,A,03464
TRAIN,A,03465
TRAIN,A,03468
TEST,A,03469
TEST,A,03472
TRAIN,A,03473
TRAIN,A,03476
TRAIN,A,03477
TRAIN,A,03480
TRAIN,A,03483
TEST,A,03581
TRAIN,A,03582
TRAIN,A,03585
TRAIN,A,03586
TEST,A,03589
TRAIN,A,03590
TRAIN,A,03593
TRAIN,A,03594
TRAIN,A,03597
TRAIN,A,03598
TRAIN,A,03601
TEST,A,03602
TRAIN,A,03758
TRAIN,A,03761
TRAIN,A,03764
TRAIN,A,03765
TRAIN,A,03767
TRAIN,A,03768
TEST,A,03771
TRAIN,A,03772
TRAIN,A,03901
TEST,A,03905
TRAIN,A,03909
TEST,A,03913
TEST,A,03915
TRAIN,A,03916
TRAIN,A,03919
TRAIN,A,03920
TRAIN,A,03923
TEST,A,03924
TRAIN,A,03927
TRAIN,A,03930
TRAIN,A,04122
TRAIN,A,04126
TEST,A,04129
TRAIN,A,04130
TRAIN,A,04133
TRAIN,A,04134
TRAIN,A,04137
TRAIN,A,04138
TRAIN,A,04141
TRAIN,A,04142
TRAIN,A,04145
TRAIN,A,04146
TRAIN,A,04149
TRAIN,A,04253
TRAIN,A,04254
TRAIN,A,04256
TEST,A,04260
TRAIN,A,04261
TRAIN,A,04266
TRAIN,A,04267
TRAIN,A,04377
TRAIN,A,04382
TRAIN,A,04386
TRAIN,A,04390
TRAIN,A,04394
TRAIN,A,04396
TRAIN,A,04397
TEST,A,04400
TRAIN,A,04401
TEST,A,04404
TRAIN,A,04405
TRAIN,A,04408
TRAIN,A,04409
TRAIN,A,04412
TRAIN,A,04413
TRAIN,A,04416
TRAIN,A,04417
TRAIN,A,04514
TEST,A,04519
TRAIN,A,04522
TRAIN,A,04523
TEST,A,04526
TRAIN,A,04527
TRAIN,A,04530
TRAIN,A,04531
TRAIN,A,04534
TRAIN,A,04535
TRAIN,A,04538
TEST,A,04539
TRAIN,A,04542
TEST,A,04543
TRAIN,A,04546
TRAIN,A,04666
TRAIN,A,04670
TRAIN,A,04673
TRAIN,A,04674
TRAIN,A,04677
TRAIN,A,04678
TRAIN,A,04681
TRAIN,A,04682
TRAIN,A,04685
TRAIN,A,04686
TRAIN,A,04689
TRAIN,A,04690
TEST,A,04693
TEST,A,04694
TRAIN,A,04697
TRAIN,A,04698
TRAIN,A,04771
TRAIN,A,04774
TRAIN,A,04778
TEST,A,04779
TRAIN,A,04782
TRAIN,A,04783
TRAIN,A,04786
TRAIN,A,04787
TEST,A,04790
TRAIN,A,04791
TRAIN,A,04794
TRAIN,A,04795
TRAIN,A,04798
TRAIN,A,04799
TRAIN,A,04802
TRAIN,A,04803
TRAIN,A,04924
TRAIN,A,04929
TEST,A,04932
TRAIN,A,04933
TRAIN,A,04936
TRAIN,A,04937
TEST,A,04940
TEST,A,04941
TRAIN,A,04944
TRAIN,A,04945
TRAIN,A,04948
TRAIN,A,04949
TRAIN,A,04952
TRAIN,A,04953
TRAIN,A,05070
TRAIN,A,05074
TRAIN,A,05077
TEST,A,05078
TRAIN,A,05081
TRAIN,A,05082
TRAIN,A,05085
TRAIN,A,05086
TEST,A,05089
TRAIN,A,05090
TRAIN,A,05093
TEST,A,05094
TRAIN,A,05097
TRAIN,A,05098
TEST,A,05101
TRAIN,A,05102
TRAIN,A,05105
TRAIN,A,05200
TRAIN,A,05202
TEST,A,05205
TRAIN,A,05206
TRAIN,A,05209
TRAIN,A,05210
TRAIN,A,05212
TRAIN,A,05213
TRAIN,A,05323
TRAIN,A,05327
TRAIN,A,05330
TRAIN,A,05334
TRAIN,A,05337
TEST,A,05340
TRAIN,A,05341
TRAIN,A,05344
TRAIN,A,05345
TRAIN,A,05348
TRAIN,A,05349
TRAIN,A,05352
TRAIN,A,05353
TRAIN,A,05356
TRAIN,A,05357
TRAIN,A,05360
TRAIN,A,05361
TEST,A,05452
TRAIN,A,05458
TRAIN,A,05459
TRAIN,A,05461
TRAIN,A,05462
TRAIN,A,05465
TRAIN,A,05468
TEST,A,05469
TRAIN,Bm,00006
TRAIN,Bm,00127
TRAIN,Bm,00135
TRAIN,Bm,00139
TRAIN,Bm,00463
TRAIN,Bm,00464
TRAIN,Bm,00465
TRAIN,Bm,00469
TRAIN,Bm,00477
TRAIN,Bm,00501
TRAIN,Bm,00508
TEST,Bm,00511
TEST,Bm,00514
TEST,Bm,00518
TRAIN,Bm,00522
TRAIN,Bm,00525
TRAIN,Bm,00526
TRAIN,Bm,00529
TEST,Bm,00532
TRAIN,Bm,00533
TRAIN,Bm,00534
TRAIN,Bm,00537
TRAIN,Bm,00538
TRAIN,Bm,00539
TRAIN,Bm,00542
TRAIN,Bm,00543
TRAIN,Bm,00544
TRAIN,Bm,00547
TRAIN,Bm,00548
TRAIN,Bm,00551
TRAIN,Bm,00552
TEST,Bm,00553
TRAIN,Bm,00554
TRAIN,Bm,00557
TRAIN,Bm,00560
TRAIN,Bm,00702
TRAIN,Bm,00703
TRAIN,Bm,00704
TRAIN,Bm,00712
TRAIN,Bm,00716
TEST,Bm,00720
TRAIN,Bm,00724
TRAIN,Bm,00728
TRAIN,Bm,00732
TRAIN,Bm,00736
TRAIN,Bm,00740
TRAIN,Bm,00744
TRAIN,Bm,00748
TEST,Bm,00752
TRAIN,Bm,00755
TRAIN,Bm,00758
TRAIN,Bm,00761
TEST,Bm,00764
TEST,Bm,00767
TRAIN,Bm,00770
TRAIN,Bm,00773
TEST,Bm,00914
TEST,Bm,00918
TRAIN,Bm,00922
TRAIN,Bm,00925
TRAIN,Bm,00928
TEST,Bm,00931
TRAIN,Bm,00934
TRAIN,Bm,00937
TRAIN,Bm,00938
TRAIN,Bm,00941
TRAIN,Bm,00944
TRAIN,Bm,00947
TRAIN,Bm,00948
TRAIN,Bm,00949
TRAIN,Bm,01106
TRAIN,Bm,01107
TEST,Bm,01108
TRAIN,Bm,01110
TRAIN,Bm,01114
TRAIN,Bm,01118
TRAIN,Bm,01122
TEST,Bm,01126
TRAIN,Bm,01130
TRAIN,Bm,01134
TRAIN,Bm,01137
TEST,Bm,01140
TRAIN,Bm,01143
TEST,Bm,01146
TRAIN,Bm,01152
TRAIN,Bm,01294
TEST,Bm,01295
TEST,Bm,01299
TRAIN,Bm,01303
TEST,Bm,01307
TRAIN,Bm,01311
TRAIN,Bm,01315
TRAIN,Bm,01319
TRAIN,Bm,01322
TRAIN,Bm,01331
TRAIN,Bm,01332
TEST,Bm,01335
TRAIN,Bm,01338
TRAIN,Bm,01341
TRAIN,Bm,01344
TRAIN,Bm,01347
TRAIN,Bm,01350
TRAIN,Bm,01353
TEST,Bm,01356
TEST,Bm,01359
TRAIN,Bm,01362
TRAIN,Bm,01365
TRAIN,Bm,01482
TRAIN,Bm,01483
TEST,Bm,01484
TRAIN,Bm,01486
TRAIN,Bm,01487
TRAIN,Bm,01491
TRAIN,Bm,01495
TRAIN,Bm,01499
TRAIN,Bm,01503
TEST,Bm,01509
TRAIN,Bm,01512
TRAIN,Bm,01515
TEST,Bm,01518
TEST,Bm,01521
TRAIN,Bm,01524
TRAIN,Bm,01527
TRAIN,Bm,01530
TRAIN,Bm,01533
TRAIN,Bm,01536
TRAIN,Bm,01539
TEST,Bm,01676
TEST,Bm,01678
TRAIN,Bm,01683
TRAIN,Bm,01687
TRAIN,Bm,01691
TRAIN,Bm,01694
TRAIN,Bm,01698
TRAIN,Bm,01701
TRAIN,Bm,01704
TRAIN,Bm,01707
TRAIN,Bm,01711
TRAIN,Bm,01714
TRAIN,Bm,01717
TRAIN,Bm,01720
TRAIN,Bm,01844
TRAIN,Bm,01845
TEST,Bm,01846
TRAIN,Bm,01848
TRAIN,Bm,01849
TRAIN,Bm,01850
TRAIN,Bm,01852
TRAIN,Bm,01853
TRAIN,Bm,01857
TRAIN,Bm,01861
TRAIN,Bm,01865
TRAIN,Bm,01873
TRAIN,Bm,01876
TRAIN,Bm,01879
TRAIN,Bm,01880
TEST,Bm,01881
TRAIN,Bm,01884
TRAIN,Bm,01885
TEST,Bm,01886
TRAIN,Bm,01889
TRAIN,Bm,01890
TRAIN,Bm,01893
TRAIN,Bm,01896
TEST,Bm,01897
TEST,Bm,01900
TEST,Bm,02038
TRAIN,Bm,02039
TEST,Bm,02040
TRAIN,Bm,02041
TEST,Bm,02043
TRAIN,Bm,02044
TRAIN,Bm,02045
TRAIN,Bm,02047
TRAIN,Bm,02048
TRAIN,Bm,02049
TRAIN,Bm,02051
TRAIN,Bm,02052
TRAIN,Bm,02056
TEST,Bm,02060
TRAIN,Bm,02064
TRAIN,Bm,02068
TRAIN,Bm,02072
TRAIN,Bm,02075
TEST,Bm,02078
TEST,Bm,02081
TEST,Bm,02084
TRAIN,Bm,02087
TRAIN,Bm,02090
TRAIN,Bm,02093
TEST,Bm,02096
TRAIN,Bm,02099
TRAIN,Bm,02102
TRAIN,Bm,02105
TEST,Bm,02108
TRAIN,Bm,02207
TRAIN,Bm,02233
TRAIN,Bm,02234
TRAIN,Bm,02235
TRAIN,Bm,02236
TRAIN,Bm,02237
TRAIN,Bm,02239
TRAIN,Bm,02240
TRAIN,Bm,02244
TRAIN,Bm,02248
TEST,Bm,02252
TRAIN,Bm,02256
TRAIN,Bm,02260
TRAIN,Bm,02264
TEST,Bm,02268
TEST,Bm,02272
TRAIN,Bm,02275
TEST,Bm,02278
TRAIN,Bm,02281
TEST,Bm,02284
TEST,Bm,02287
TRAIN,Bm,02290
TEST,Bm,02293
TRAIN,Bm,02296
TRAIN,Bm,02299
TRAIN,Bm,02302
TRAIN,Bm,02305
TRAIN,Bm,02431
TRAIN,Bm,02436
TRAIN,Bm,02440
TRAIN,Bm,02444
TRAIN,Bm,02448
TRAIN,Bm,02452
TRAIN,Bm,02456
TRAIN,Bm,02459
TRAIN,Bm,02462
TRAIN,Bm,02465
TEST,Bm,02468
TRAIN,Bm,02471
TRAIN,Bm,02472
TRAIN,Bm,02600
TEST,Bm,02601
TRAIN,Bm,02602
TRAIN,Bm,02604
TRAIN,Bm,02605
TRAIN,Bm,02606
TRAIN,Bm,02608
TRAIN,Bm,02609
TRAIN,Bm,02613
TRAIN,Bm,02617
TEST,Bm,02621
TRAIN,Bm,02625
TRAIN,Bm,02629
TRAIN,Bm,02633
TRAIN,Bm,02637
TRAIN,Bm,02640
TRAIN,Bm,02643
TRAIN,Bm,02646
TEST,Bm,02649
TEST,Bm,02652
TRAIN,Bm,02655
TRAIN,Bm,02658
TRAIN,Bm,02661
TRAIN,Bm,02664
TRAIN,Bm,02723
TEST,Bm,02724
TRAIN,Bm,02725
TRAIN,Bm,02729
TRAIN,Bm,02733
TEST,Bm,02737
TRAIN,Bm,02741
TRAIN,Bm,02745
TRAIN,Bm,02749
TRAIN,Bm,02752
TRAIN,Bm,02755
TRAIN,Bm,02758
TRAIN,Bm,02761
TRAIN,Bm,02764
TEST,Bm,02767
TEST,Bm,02770
