N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
1, 512, 0, 0, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 1, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 5, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 10, 90.41, 91.56, 89.45, 90.78
1, 1024, 0, 0, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 1, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 5, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 10, 92.73, 93.86, 92.2, 93.31
1, 2048, 0, 0, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 1, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 5, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 10, 94.21, 95.06, 92.42, 93.82
1, 4096, 0, 0, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 1, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 5, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 10, 95.23, 95.99, 93.08, 94.19
2, 512, 0, 0, 90.05, 90.92, 88.68, 89.79
2, 512, 0, 1, 90.05, 91.58, 89.01, 90.94
2, 512, 0, 5, 88.37, 90.03, 87.58, 89.19
2, 512, 0, 10, 85.64, 89.85, 84.18, 88.47
2, 1024, 0, 0, 91.02, 92.73, 90, 92.01
2, 1024, 0, 1, 92.48, 93.65, 91.76, 92.87
2, 1024, 0, 5, 92.39, 93.36, 91.21, 92.19
2, 1024, 0, 10, 93.22, 94.18, 91.21, 92.03
2, 2048, 0, 0, 92.23, 93.95, 90.55, 93.08
2, 2048, 0, 1, 93.97, 94.9, 91.98, 93.44
2, 2048, 0, 5, 94.54, 95.53, 92.2, 93.28
2, 2048, 0, 10, 93.99, 94.94, 91.87, 93.33
2, 4096, 0, 0, 93.99, 95.04, 91.65, 93.07
2, 4096, 0, 1, 95.56, 96.22, 93.3, 94.3
2, 4096, 0, 5, 95.21, 95.95, 92.86, 94.08
2, 4096, 0, 10, 95.78, 96.42, 92.64, 93.97
3, 512, 0, 0, 90, 90.84, 89.45, 90.18
3, 512, 0, 1, 90.85, 92.15, 89.89, 91.38
3, 512, 0, 5, 89.28, 90.87, 89.12, 90.23
3, 512, 0, 10, 89.09, 90.69, 89.12, 90.76
3, 1024, 0, 0, 92.28, 93.4, 91.43, 92.67
3, 1024, 0, 1, 92.73, 93.86, 91.98, 92.97
3, 1024, 0, 5, 91.6, 92.78, 90.22, 91.53
3, 1024, 0, 10, 87.54, 91.48, 85.6, 88.97
3, 2048, 0, 0, 93.77, 94.68, 91.65, 92.8
3, 2048, 0, 1, 94.24, 95.09, 93.08, 94.16
3, 2048, 0, 5, 94.21, 95.31, 92.42, 93.93
3, 2048, 0, 10, 89.97, 92.93, 88.57, 91.05
3, 4096, 0, 0, 94.63, 95.61, 92.42, 94.08
3, 4096, 0, 1, 95.34, 96.07, 93.52, 94.56
3, 4096, 0, 5, 95.26, 96.09, 92.09, 93.68
3, 4096, 0, 10, 94.57, 95.7, 91.98, 93.53
5, 512, 0, 0, 89.83, 91.21, 88.9, 89.97
5, 512, 0, 1, 90.14, 91.51, 89.56, 90.97
5, 512, 0, 5, 90.14, 91.46, 88.57, 89.96
5, 512, 0, 10, 90.16, 90.8, 88.35, 88.9
5, 1024, 0, 0, 91.87, 93.24, 90.22, 91.59
5, 1024, 0, 1, 92.59, 94.03, 91.32, 92.8
5, 1024, 0, 5, 93.11, 94.56, 90.99, 92.11
5, 1024, 0, 10, 92.28, 94.21, 91.21, 93.13
5, 2048, 0, 0, 93.55, 94.54, 91.87, 93.35
5, 2048, 0, 1, 94.05, 94.96, 92.09, 93.4
5, 2048, 0, 5, 94.74, 95.81, 92.42, 93.93
5, 2048, 0, 10, 91.43, 92.42, 88.79, 90.37
5, 4096, 0, 0, 95.1, 95.89, 92.31, 93.68
5, 4096, 0, 1, 95.56, 96.28, 93.41, 94.49
5, 4096, 0, 5, 96.14, 96.94, 92.97, 94.26
5, 4096, 0, 10, 93.61, 95.76, 90.22, 93.59
8, 512, 0, 0, 88.7, 89.96, 86.92, 88.62
8, 512, 0, 1, 90.58, 92.13, 89.78, 91.25
8, 512, 0, 5, 88.15, 90.93, 87.25, 90.19
8, 512, 0, 10, 88.54, 91.06, 87.36, 89.89
8, 1024, 0, 0, 91.93, 93.23, 90.99, 91.68
8, 1024, 0, 1, 92.86, 94.09, 91.65, 93.02
8, 1024, 0, 5, 93.39, 94.43, 90.88, 91.8
8, 1024, 0, 10, 91.15, 93.59, 89.23, 91.83
8, 2048, 0, 0, 94.32, 95.29, 92.09, 93.41
8, 2048, 0, 1, 94.32, 95.21, 92.09, 93.62
8, 2048, 0, 5, 94.3, 95.53, 91.76, 93.52
8, 2048, 0, 10, 95.15, 96.25, 90.88, 92.66
8, 4096, 0, 0, 95.29, 96.05, 92.64, 93.61
8, 4096, 0, 1, 95.62, 96.36, 93.19, 94.34
8, 4096, 0, 5, 96.2, 96.99, 93.08, 94.28
8, 4096, 0, 10, 94.6, 96.44, 90.33, 93.31
10, 512, 0, 0, 87.6, 90, 87.36, 89.7
10, 512, 0, 1, 90.74, 92.02, 88.79, 90.25
10, 512, 0, 5, 88.51, 91.02, 86.7, 89
10, 512, 0, 10, 89.64, 91.7, 88.46, 90.83
10, 1024, 0, 0, 92.12, 92.95, 90.55, 91.86
10, 1024, 0, 1, 92.34, 93.65, 91.65, 92.96
10, 1024, 0, 5, 92.39, 93.88, 90.55, 92.2
10, 1024, 0, 10, 92.12, 93.41, 88.46, 90.2
10, 2048, 0, 0, 93.97, 94.86, 92.2, 93.39
10, 2048, 0, 1, 94.43, 95.38, 92.86, 94.06
10, 2048, 0, 5, 94.87, 96.02, 92.09, 93.43
10, 2048, 0, 10, 93.72, 95.39, 89.89, 92.05
10, 4096, 0, 0, 95.1, 95.93, 92.97, 93.91
10, 4096, 0, 1, 95.56, 96.28, 92.97, 94.09
10, 4096, 0, 5, 96.42, 97.18, 92.64, 94.2
10, 4096, 0, 10, 97.08, 97.58, 91.98, 92.08
12, 512, 0, 0, 90.16, 91.24, 89.56, 90.44
12, 512, 0, 1, 90.47, 91.96, 89.34, 90.81
12, 512, 0, 5, 89.17, 91.3, 87.14, 89.13
12, 512, 0, 10, 89.17, 91.41, 87.91, 90.2
12, 1024, 0, 0, 91.65, 93.12, 90.44, 92.27
12, 1024, 0, 1, 92.89, 94.13, 91.87, 92.86
12, 1024, 0, 5, 92.12, 94.01, 89.34, 91.5
12, 1024, 0, 10, 92.64, 94.05, 90.66, 91.63
12, 2048, 0, 0, 93.69, 94.57, 91.21, 92.26
12, 2048, 0, 1, 94.63, 95.58, 92.64, 93.85
12, 2048, 0, 5, 92.62, 94.75, 90.33, 92.57
12, 2048, 0, 10, 93.88, 95.45, 90.11, 92.33
12, 4096, 0, 0, 94.87, 95.66, 92.64, 93.74
12, 4096, 0, 1, 95.87, 96.56, 93.41, 94.49
12, 4096, 0, 5, 96.56, 97.32, 92.42, 93.58
