N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
1, 512, 0, 0, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 1, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 2, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 3, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 4, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 5, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 6, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 7, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 8, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 9, 90.41, 91.56, 89.45, 90.78
1, 512, 0, 10, 90.41, 91.56, 89.45, 90.78
1, 1024, 0, 0, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 1, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 2, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 3, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 4, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 5, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 6, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 7, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 8, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 9, 92.73, 93.86, 92.2, 93.31
1, 1024, 0, 10, 92.73, 93.86, 92.2, 93.31
1, 2048, 0, 0, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 1, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 2, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 3, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 4, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 5, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 6, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 7, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 8, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 9, 94.21, 95.06, 92.42, 93.82
1, 2048, 0, 10, 94.21, 95.06, 92.42, 93.82
1, 4096, 0, 0, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 1, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 2, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 3, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 4, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 5, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 6, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 7, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 8, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 9, 95.23, 95.99, 93.08, 94.19
1, 4096, 0, 10, 95.23, 95.99, 93.08, 94.19
2, 512, 0, 0, 90.41, 91.7, 89.34, 90.97
2, 512, 0, 1, 90.47, 91.97, 89.34, 91.12
2, 512, 0, 2, 90.58, 91.98, 89.01, 90.83
2, 512, 0, 3, 89.83, 90.99, 88.24, 89.91
2, 512, 0, 4, 90.36, 91.82, 88.02, 89.65
2, 512, 0, 5, 89.83, 91.09, 87.58, 89.27
2, 512, 0, 6, 89.67, 90.9, 87.58, 89.22
2, 512, 0, 7, 89.2, 90.55, 87.8, 89.3
2, 512, 0, 8, 88.9, 90.36, 86.7, 88.29
2, 512, 0, 9, 88.92, 90.35, 87.03, 88.67
2, 512, 0, 10, 89.01, 90.5, 86.48, 88.35
2, 1024, 0, 0, 92.95, 94.14, 91.76, 93.27
2, 1024, 0, 1, 92.53, 93.85, 91.21, 92.7
2, 1024, 0, 2, 92.48, 93.91, 91.32, 92.84
2, 1024, 0, 3, 92.48, 93.89, 91.1, 92.64
2, 1024, 0, 4, 90.77, 92.7, 88.9, 91.12
2, 1024, 0, 5, 92.17, 93.34, 90.77, 92.13
2, 1024, 0, 6, 92.04, 93.24, 91.1, 92.51
2, 1024, 0, 7, 92.15, 93.21, 90.44, 91.81
2, 1024, 0, 8, 91.98, 93.01, 89.89, 91.26
2, 1024, 0, 9, 91.9, 92.84, 89.78, 91.02
2, 1024, 0, 10, 92.12, 93.08, 89.89, 91.1
2, 2048, 0, 0, 94.41, 95.31, 92.53, 94.09
2, 2048, 0, 1, 94.16, 95.09, 92.2, 93.6
2, 2048, 0, 2, 94.3, 95.35, 91.98, 93.42
2, 2048, 0, 3, 94.13, 95.24, 91.98, 93.25
2, 2048, 0, 4, 93.86, 95.08, 91.65, 92.92
2, 2048, 0, 5, 93.77, 95, 91.54, 93.01
2, 2048, 0, 6, 93.69, 94.91, 91.65, 93.24
2, 2048, 0, 7, 93.72, 95, 91.32, 92.83
2, 2048, 0, 8, 93.69, 94.94, 91.1, 92.6
2, 2048, 0, 9, 93.77, 94.85, 90.77, 92.2
2, 2048, 0, 10, 93.8, 94.9, 90.99, 92.72
2, 4096, 0, 0, 95.78, 96.42, 92.64, 93.85
2, 4096, 0, 1, 95.7, 96.29, 92.09, 93.5
2, 4096, 0, 2, 95.54, 96.21, 92.64, 93.9
2, 4096, 0, 3, 95.48, 96.23, 92.31, 93.75
2, 4096, 0, 4, 95.48, 96.31, 92.53, 93.87
2, 4096, 0, 5, 95.67, 96.47, 92.31, 93.68
2, 4096, 0, 6, 95.54, 96.49, 92.31, 93.87
2, 4096, 0, 7, 95.48, 96.5, 92.31, 93.8
2, 4096, 0, 8, 95.51, 96.56, 91.98, 93.66
2, 4096, 0, 9, 95.62, 96.62, 92.2, 93.82
2, 4096, 0, 10, 95.45, 96.49, 91.87, 93.4
3, 512, 0, 0, 89.39, 90.89, 88.35, 90.14
3, 512, 0, 1, 88.84, 90.61, 88.13, 90.22
3, 512, 0, 5, 87.02, 88.69, 86.59, 88.2
3, 512, 0, 10, 84.68, 85.45, 82.86, 83.93
3, 1024, 0, 0, 91.93, 93.43, 90.66, 92.59
3, 1024, 0, 1, 93.44, 94.52, 90.88, 92.44
3, 1024, 0, 5, 90.69, 92.6, 88.46, 90.12
3, 1024, 0, 10, 90.05, 90.88, 88.35, 89.45
3, 2048, 0, 0, 94.19, 95.1, 92.09, 93.71
3, 2048, 0, 1, 94.24, 95.18, 92.09, 93.58
3, 2048, 0, 5, 92.2, 93.62, 89.67, 91.63
3, 2048, 0, 10, 92.2, 94.16, 89.56, 91.34
3, 4096, 0, 0, 95.62, 96.32, 92.42, 93.7
3, 4096, 0, 1, 95.81, 96.42, 92.2, 93.61
3, 4096, 0, 5, 95.73, 96.62, 92.2, 93.84
3, 4096, 0, 10, 94.38, 95.14, 90.66, 91.99
4, 4096, 0, 0, 95.95, 96.58, 92.42, 93.69
4, 4096, 0, 1, 95.89, 96.5, 93.19, 94.3
4, 4096, 0, 5, 93.91, 95.12, 91.54, 93.25
4, 4096, 0, 10, 94.19, 95.2, 90.22, 91.53
9, 4096, 0, 0, 96.58, 97.09, 92.31, 93.6
9, 4096, 0, 1, 97.16, 97.58, 92.09, 93.22
