M,Train Ac,Train avgAc,Test Ac,Test avgAc
2, 30.06338, 25.255016, 29.890112, 25.121672
4, 40.1488, 40.048687, 42.197803, 43.065887
8, 64.01212, 67.34177, 63.956047, 67.47381
16, 75.00689, 77.789825, 74.06593, 76.83897
32, 79.74648, 82.67607, 77.91209, 80.35858
64, 86.96611, 88.64756, 84.50549, 85.13558
128, 92.72527, 93.412865, 88.57143, 88.92205
256, 94.73685, 95.09533, 88.79121, 88.96184
512, 95.61863, 95.6274, 90.76923, 91.20575
1024, 97.46487, 97.5822, 90.54945, 90.940735
2048, 98.87021, 98.99996, 89.45055, 90.36859
4096, 99.64178, 99.70153, 88.9011, 91.095146
