tt,class,selection
TEST,A,00003
TRAIN,A,00004
TRAIN,A,00007
TRAIN,A,00008
TEST,A,00011
TRAIN,A,00012
TRAIN,A,00015
TRAIN,A,00016
TRAIN,A,00019
TRAIN,A,00020
TRAIN,A,00118
TRAIN,A,00122
TRAIN,A,00124
TRAIN,A,00125
TRAIN,A,00128
TRAIN,A,00129
TRAIN,A,00132
TRAIN,A,00133
TEST,A,00136
TRAIN,A,00137
TRAIN,A,00140
TRAIN,A,00141
TEST,A,00144
TEST,A,00145
TEST,A,00227
TRAIN,A,00231
TRAIN,A,00235
TRAIN,A,00236
TRAIN,A,00239
TRAIN,A,00240
TRAIN,A,00243
TRAIN,A,00244
TRAIN,A,00247
TRAIN,A,00248
TRAIN,A,00251
TEST,A,00252
TEST,A,00255
TRAIN,A,00256
TEST,A,00259
TRAIN,A,00260
TEST,A,00263
TRAIN,A,00264
TRAIN,A,00457
TRAIN,A,00462
TRAIN,A,00466
TRAIN,A,00467
TRAIN,A,00470
TRAIN,A,00471
TRAIN,A,00474
TRAIN,A,00475
TRAIN,A,00478
TRAIN,A,00479
TRAIN,A,00482
TEST,A,00483
TEST,A,00486
TRAIN,A,00487
TRAIN,A,00490
TRAIN,A,00491
TRAIN,A,00494
TRAIN,A,00495
TEST,A,00498
TEST,A,00499
TRAIN,A,00502
TRAIN,A,00503
TRAIN,A,00506
TEST,A,00509
TRAIN,A,00512
TRAIN,A,00515
TRAIN,A,00516
TRAIN,A,00519
TRAIN,A,00520
TRAIN,A,00523
TRAIN,A,00701
TRAIN,A,00705
TEST,A,00706
TRAIN,A,00709
TRAIN,A,00710
TRAIN,A,00713
TRAIN,A,00714
TRAIN,A,00717
TRAIN,A,00718
TRAIN,A,00721
TRAIN,A,00722
TRAIN,A,00725
TRAIN,A,00726
TRAIN,A,00729
TRAIN,A,00730
TRAIN,A,00733
TRAIN,A,00734
TRAIN,A,00737
TEST,A,00738
TRAIN,A,00741
TRAIN,A,00742
TRAIN,A,00745
TRAIN,A,00746
TRAIN,A,00749
TRAIN,A,00750
TRAIN,A,00753
TRAIN,A,00756
TRAIN,A,00759
TEST,A,00895
TRAIN,A,00900
TRAIN,A,00904
TRAIN,A,00907
TRAIN,A,00908
TRAIN,A,00911
TRAIN,A,00912
TRAIN,A,00915
TEST,A,00916
TRAIN,A,00919
TRAIN,A,00920
TEST,A,01105
TRAIN,A,01109
TRAIN,A,01111
TRAIN,A,01112
TRAIN,A,01115
TRAIN,A,01116
TEST,A,01119
TRAIN,A,01120
TRAIN,A,01123
TRAIN,A,01124
TRAIN,A,01127
TEST,A,01128
TEST,A,01131
TRAIN,A,01132
TRAIN,A,01135
TRAIN,A,01138
TRAIN,A,01285
TEST,A,01289
TRAIN,A,01293
TRAIN,A,01296
TEST,A,01297
TEST,A,01300
TRAIN,A,01301
TEST,A,01304
TRAIN,A,01305
TEST,A,01308
TEST,A,01309
TRAIN,A,01312
TRAIN,A,01313
TRAIN,A,01316
TEST,A,01317
TRAIN,A,01320
TRAIN,A,01481
TRAIN,A,01485
TRAIN,A,01488
TEST,A,01489
TRAIN,A,01492
TRAIN,A,01493
TRAIN,A,01496
TRAIN,A,01497
TRAIN,A,01500
TEST,A,01501
TRAIN,A,01504
TRAIN,A,01507
TRAIN,A,01510
TEST,A,01668
TRAIN,A,01672
TEST,A,01674
TRAIN,A,01677
TRAIN,A,01680
TEST,A,01681
TRAIN,A,01684
TRAIN,A,01685
TRAIN,A,01688
TRAIN,A,01689
TRAIN,A,01692
TEST,A,01695
TRAIN,A,01696
TRAIN,A,01699
TRAIN,A,01702
TRAIN,A,01705
TRAIN,A,01708
TRAIN,A,01709
TRAIN,A,01712
TRAIN,A,01715
TRAIN,A,01843
TRAIN,A,01847
TEST,A,01851
TRAIN,A,01854
TRAIN,A,01855
TRAIN,A,01858
TRAIN,A,01859
TEST,A,01862
TRAIN,A,01863
TRAIN,A,01866
TRAIN,A,01867
TRAIN,A,01870
TRAIN,A,01871
TRAIN,A,01874
TRAIN,A,02042
TRAIN,A,02046
TRAIN,A,02050
TRAIN,A,02053
TRAIN,A,02054
TRAIN,A,02057
TEST,A,02058
TRAIN,A,02061
TRAIN,A,02062
TRAIN,A,02065
TEST,A,02066
TEST,A,02069
TRAIN,A,02070
TRAIN,A,02073
TRAIN,A,02076
TEST,A,02238
TRAIN,A,02241
TRAIN,A,02242
TRAIN,A,02245
TEST,A,02246
TRAIN,A,02249
TRAIN,A,02250
TRAIN,A,02253
TRAIN,A,02254
TRAIN,A,02257
TRAIN,A,02258
TEST,A,02261
TRAIN,A,02262
TEST,A,02265
TRAIN,A,02266
TEST,A,02269
TRAIN,A,02270
TRAIN,A,02273
TEST,A,02276
TRAIN,A,02421
TRAIN,A,02426
TRAIN,A,02430
TRAIN,A,02433
TRAIN,A,02434
TRAIN,A,02437
TRAIN,A,02438
TRAIN,A,02441
TRAIN,A,02442
TRAIN,A,02445
TRAIN,A,02446
TRAIN,A,02449
TEST,A,02450
TRAIN,A,02453
TEST,A,02454
TRAIN,A,02457
TRAIN,A,02599
TEST,A,02603
TRAIN,A,02607
TRAIN,A,02610
TRAIN,A,02611
TRAIN,A,02614
TRAIN,A,02615
TRAIN,A,02618
TRAIN,A,02619
TEST,A,02622
TRAIN,A,02623
TRAIN,A,02626
TRAIN,A,02627
TRAIN,A,02630
TRAIN,A,02631
TEST,A,02634
TRAIN,A,02635
TRAIN,A,02638
TRAIN,A,02721
TRAIN,A,02722
TRAIN,A,02726
TRAIN,A,02727
TEST,A,02730
TRAIN,A,02731
TRAIN,A,02734
TRAIN,A,02735
TRAIN,A,02738
TRAIN,A,02739
TRAIN,A,02742
TEST,A,02743
TRAIN,A,02746
TRAIN,A,02747
TEST,A,02750
TRAIN,A,02753
TEST,A,02756
TRAIN,A,02887
TRAIN,A,02891
TRAIN,A,02894
TRAIN,A,02895
TRAIN,A,02898
TRAIN,A,02899
TRAIN,A,02902
TRAIN,A,02903
TRAIN,A,02906
TRAIN,A,02907
TRAIN,A,02910
TRAIN,A,02911
TRAIN,A,02914
TRAIN,A,03033
TRAIN,A,03037
TRAIN,A,03041
TRAIN,A,03044
TRAIN,A,03045
TRAIN,A,03047
TRAIN,A,03048
TRAIN,A,03051
TRAIN,A,03052
TRAIN,A,03055
TRAIN,A,03056
TRAIN,A,03059
TEST,A,03060
TRAIN,A,03063
TEST,A,03177
TRAIN,A,03313
TRAIN,A,03318
TRAIN,A,03321
TRAIN,A,03324
TRAIN,A,03325
TRAIN,A,03328
TRAIN,A,03329
TRAIN,A,03332
TRAIN,A,03333
TRAIN,A,03336
TRAIN,A,03337
TRAIN,A,03340
TRAIN,A,03341
TRAIN,A,03444
TRAIN,A,03449
TRAIN,A,03453
TRAIN,A,03457
TRAIN,A,03460
TRAIN,A,03461
TRAIN,A,03464
TRAIN,A,03465
TRAIN,A,03468
TRAIN,A,03469
TEST,A,03472
TRAIN,A,03473
TRAIN,A,03476
TRAIN,A,03477
TRAIN,A,03480
TRAIN,A,03483
TEST,A,03581
TRAIN,A,03582
TRAIN,A,03585
TRAIN,A,03586
TEST,A,03589
TRAIN,A,03590
TRAIN,A,03593
TRAIN,A,03594
TRAIN,A,03597
TEST,A,03598
TRAIN,A,03601
TRAIN,A,03602
TRAIN,A,03758
TRAIN,A,03761
TRAIN,A,03764
TRAIN,A,03765
TEST,A,03767
TRAIN,A,03768
TRAIN,A,03771
TEST,A,03772
TRAIN,A,03901
TRAIN,A,03905
TRAIN,A,03909
TEST,A,03913
TRAIN,A,03915
TRAIN,A,03916
TRAIN,A,03919
TEST,A,03920
TRAIN,A,03923
TRAIN,A,03924
TRAIN,A,03927
TRAIN,A,03930
TRAIN,A,04122
TRAIN,A,04126
TRAIN,A,04129
TRAIN,A,04130
TRAIN,A,04133
TRAIN,A,04134
TRAIN,A,04137
TRAIN,A,04138
TRAIN,A,04141
TEST,A,04142
TEST,A,04145
TRAIN,A,04146
TRAIN,A,04149
TEST,A,04253
TRAIN,A,04254
TRAIN,A,04256
TEST,A,04260
TRAIN,A,04261
TRAIN,A,04266
TRAIN,A,04267
TRAIN,A,04377
TEST,A,04382
TRAIN,A,04386
TRAIN,A,04390
TRAIN,A,04394
TRAIN,A,04396
TRAIN,A,04397
TRAIN,A,04400
TRAIN,A,04401
TRAIN,A,04404
TRAIN,A,04405
TRAIN,A,04408
TRAIN,A,04409
TEST,A,04412
TRAIN,A,04413
TRAIN,A,04416
TRAIN,A,04417
TRAIN,A,04514
TRAIN,A,04519
TRAIN,A,04522
TRAIN,A,04523
TRAIN,A,04526
TRAIN,A,04527
TEST,A,04530
TEST,A,04531
TRAIN,A,04534
TRAIN,A,04535
TEST,A,04538
TEST,A,04539
TRAIN,A,04542
TEST,A,04543
TRAIN,A,04546
TEST,A,04666
TRAIN,A,04670
TRAIN,A,04673
TEST,A,04674
TEST,A,04677
TRAIN,A,04678
TRAIN,A,04681
TRAIN,A,04682
TRAIN,A,04685
TEST,A,04686
TRAIN,A,04689
TRAIN,A,04690
TRAIN,A,04693
TRAIN,A,04694
TRAIN,A,04697
TRAIN,A,04698
TEST,A,04771
TEST,A,04774
TRAIN,A,04778
TEST,A,04779
TRAIN,A,04782
TRAIN,A,04783
TRAIN,A,04786
TRAIN,A,04787
TRAIN,A,04790
TRAIN,A,04791
TRAIN,A,04794
TEST,A,04795
TEST,A,04798
TRAIN,A,04799
TRAIN,A,04802
TRAIN,A,04803
TEST,A,04924
TRAIN,A,04929
TRAIN,A,04932
TRAIN,A,04933
TRAIN,A,04936
TRAIN,A,04937
TRAIN,A,04940
TRAIN,A,04941
TRAIN,A,04944
TRAIN,A,04945
TRAIN,A,04948
TRAIN,A,04949
TRAIN,A,04952
TRAIN,A,04953
TRAIN,A,05070
TRAIN,A,05074
TRAIN,A,05077
TEST,A,05078
TRAIN,A,05081
TRAIN,A,05082
TRAIN,A,05085
TRAIN,A,05086
TRAIN,A,05089
TRAIN,A,05090
TEST,A,05093
TEST,A,05094
TEST,A,05097
TEST,A,05098
TEST,A,05101
TEST,A,05102
TEST,A,05105
TRAIN,A,05200
TRAIN,A,05202
TRAIN,A,05205
TRAIN,A,05206
TEST,A,05209
