P,M,Train Ac,Train avgAc,Test Ac,Test avgAc
18, 32, 65.30725, 67.07053, 64.17583, 66.0264
18, 64, 71.23175, 73.41877, 70.98901, 72.565445
18, 128, 76.77046, 78.91133, 77.58242, 78.83116
18, 256, 79.14026, 81.56222, 79.23077, 81.42651
18, 512, 82.30917, 84.28957, 81.0989, 82.80121
18, 1024, 84.15542, 86.17577, 83.07693, 85.08262
18, 2048, 86.38743, 88.075775, 82.52747, 84.44793
18, 4096, 88.12345, 89.75902, 82.74725, 84.29519
19, 32, 68.20061, 69.98875, 66.04395, 66.6066
19, 64, 72.52686, 74.64342, 73.62637, 74.87103
19, 128, 78.01047, 80.40519, 75.82418, 77.32371
19, 256, 81.15183, 82.98426, 78.68132, 80.61906
19, 512, 83.71452, 85.29883, 80.989006, 83.34063
19, 1024, 84.7892, 86.51334, 81.648346, 83.381836
19, 2048, 86.99367, 88.69231, 79.56044, 82.66028
19, 4096, 88.95012, 90.65752, 83.73627, 85.70643
20, 32, 68.53127, 70.4974, 67.14285, 69.346214
20, 64, 73.79443, 75.72819, 74.28571, 76.08276
20, 128, 77.34913, 79.654236, 76.92308, 79.31018
20, 256, 81.20694, 83.34422, 78.57143, 80.248085
20, 512, 82.44696, 84.66441, 81.97802, 82.92782
20, 1024, 84.7892, 86.80558, 82.85715, 84.20353
20, 2048, 87.544785, 89.19301, 83.73627, 85.545494
20, 4096, 89.55635, 91.04696, 83.84615, 85.40047
21, 32, 69.27528, 70.705505, 66.37363, 68.30391
21, 64, 75.089554, 77.31736, 69.34066, 71.83738
21, 128, 78.31358, 80.162506, 77.69231, 80.03729
21, 256, 81.647835, 83.45742, 80.21978, 81.9399
21, 512, 83.76963, 85.234856, 80, 81.75153
21, 1024, 86.139435, 87.98122, 82.08791, 84.29743
21, 2048, 88.04078, 89.53737, 83.84615, 85.58324
21, 4096, 90.7137, 92.13459, 83.84615, 85.50824
22, 32, 67.95261, 70.887764, 64.72527, 68.21266
22, 64, 73.68421, 75.89718, 72.30769, 74.26742
22, 128, 80.02204, 81.571365, 78.68132, 81.02186
22, 256, 82.033615, 83.75637, 80.549446, 81.965034
22, 512, 84.734085, 86.42585, 82.74725, 83.92257
22, 1024, 86.66299, 88.304504, 83.29671, 85.566444
22, 2048, 87.59989, 89.13042, 83.51649, 85.41073
22, 4096, 90.49325, 91.56968, 85.49451, 87.14585
23, 32, 68.44861, 70.34847, 67.25275, 69.68056
23, 64, 75.03445, 76.62309, 74.72527, 76.08072
23, 128, 78.25848, 80.76181, 76.26374, 77.187386
23, 256, 80.79361, 82.92752, 82.30769, 84.37589
23, 512, 84.23808, 86.39994, 83.40659, 85.48544
23, 1024, 86.63544, 88.36834, 85.49451, 87.45703
23, 2048, 88.26123, 90.04908, 84.72527, 86.25906
23, 4096, 90.135025, 91.693214, 85.27473, 87.86387
24, 32, 66.960594, 69.80644, 66.15385, 69.318375
24, 64, 74.51089, 75.677444, 73.62637, 75.11855
24, 128, 78.8647, 81.33645, 77.14286, 79.33458
24, 256, 81.97851, 83.62535, 80.65934, 82.03371
24, 512, 85.56076, 87.2345, 82.63737, 84.376114
24, 1024, 86.69055, 88.54673, 83.95605, 85.606705
24, 2048, 89.253235, 90.839676, 85.27473, 87.2705
24, 4096, 90.906586, 92.32435, 86.92307, 88.4181
25, 32, 66.685036, 69.5167, 64.17583, 66.35222
25, 64, 75.55801, 76.93127, 73.73626, 75.07011
25, 128, 79.93938, 81.636116, 77.69231, 80.25176
25, 256, 82.58473, 84.682465, 83.07693, 83.943
25, 512, 85.86388, 87.50022, 81.53846, 84.14418
25, 1024, 87.71011, 89.13608, 84.61539, 86.5375
25, 2048, 89.55635, 91.24955, 84.61539, 86.23537
25, 4096, 91.62304, 92.94329, 84.39561, 86.49002
30, 32, 71.14908, 73.28637, 72.1978, 75.35086
30, 64, 74.45577, 76.95276, 74.94505, 77.12962
30, 128, 80.40783, 82.855064, 80.65934, 83.380936
30, 256, 83.41141, 85.613434, 83.95605, 85.40918
30, 512, 86.41499, 88.533295, 85.27473, 86.849304
30, 1024, 88.01323, 89.772606, 84.83517, 86.07491
30, 2048, 90.35547, 92.07655, 87.47253, 88.20917
30, 4096, 92.091484, 93.58723, 84.39561, 86.12797
35, 32, 66.437035, 70.5181, 68.46154, 71.66522
35, 64, 75.25489, 77.86356, 74.06593, 76.039825
35, 128, 80.32516, 83.076225, 79.67033, 81.79037
35, 256, 84.81676, 86.7812, 84.61539, 87.62155
35, 512, 86.08432, 88.27088, 85.16483, 87.86504
35, 1024, 88.867455, 90.619774, 87.25275, 89.51066
35, 2048, 91.2097, 92.95886, 86.59341, 89.01105
35, 4096, 92.03637, 93.68623, 87.14285, 88.96934
40, 32, 71.09396, 74.87268, 69.230774, 72.76154
40, 64, 76.219345, 79.00728, 73.40659, 75.424126
40, 128, 80.986496, 84.13379, 80.65934, 84.17659
40, 256, 85.89143, 88.13457, 85.60439, 87.98462
40, 512, 88.78479, 90.70464, 86.48351, 88.53755
40, 1024, 90.05235, 91.964325, 88.13187, 90.12975
40, 2048, 91.37504, 93.090805, 88.79121, 90.27764
40, 4096, 92.863045, 94.62767, 88.35165, 90.085945
