P,M,Test avgAc
20,2,57.73
20,4,66.00
20,8,72.16
20,16,78.53
20,32,81.72
20,64,84.43
20,128,85.71
20,256,86.89
20,512,86.36
20,1024,87.21
20,2048,86.38
20,4096,86.89
42,2,66.52
42,4,72.15
42,8,80.39
42,16,85.59
42,32,89.38
42,64,90.21
42,128,90.71
42,256,92.14
42,512,93.19
42,1024,92.27
42,2048,92.65
42,4096,92.37
80,2,68.53
80,4,75.52
80,8,82.86
80,16,86.69
80,32,89.16
80,64,92.47
80,128,94.02
80,256,95.04
80,512,94.96
80,1024,95.16
80,2048,94.54
80,4096,94.75
120,2,70.96
120,4,75.49
120,8,84.05
120,16,88.24
120,32,91.28
120,64,92.67
120,128,94.26
120,256,95.61
120,512,96.01
120,1024,95.59
120,2048,95.24
120,4096,94.98
160,2,71.54
160,4,77.17
160,8,84.46
160,16,89.15
160,32,91.75
160,64,93.28
160,128,94.36
160,256,95.29
160,512,95.14
160,1024,94.70
160,2048,94.47
160,4096,93.26
200,2,71.26
200,4,76.94
200,8,85.23
200,16,88.83
200,32,92.04
200,64,93.73
200,128,94.57
200,256,95.44
200,512,95.63
200,1024,94.56
200,2048,94.43
200,4096,92.25
